All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v2_1_MP  r10_1bin_v2_1_MP_helen  r10_1bin_v2_1_r1_medaka  r10_1bin_v2_1_r2_medaka  r10_1bin_v2_1_racon_r1  r10_1bin_v2_1_racon_r2  r10_1bin_v2_1_raw  r10_1bin_v2_2_MP  r10_1bin_v2_2_MP_helen  r10_1bin_v2_2_r1_medaka  r10_1bin_v2_2_r2_medaka  r10_1bin_v2_2_racon_r1  r10_1bin_v2_2_racon_r2  r10_1bin_v2_2_raw  r10_1bin_v2_3_MP  r10_1bin_v2_3_MP_helen  r10_1bin_v2_3_r1_medaka  r10_1bin_v2_3_r2_medaka  r10_1bin_v2_3_racon_r1  r10_1bin_v2_3_racon_r2  r10_1bin_v2_3_raw
# misassemblies                                 171               168                     171                      173                      174                     174                     175                171               169                     169                      176                      170                     177                     172                170               170                     168                      173                      168                     174                     176              
  # contig misassemblies                        171               168                     171                      173                      174                     174                     175                171               169                     169                      176                      170                     177                     172                170               170                     168                      173                      168                     174                     176              
    # c. relocations                            6                 4                       4                        6                        4                       6                       5                  6                 4                       4                        9                        4                       9                       5                  6                 5                       5                        7                        5                       5                       6                
    # c. translocations                         163               162                     165                      165                      168                     166                     166                163               163                     163                      165                      164                     166                     163                162               163                     161                      164                      161                     167                     166              
    # c. inversions                             2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                
    # c. interspecies translocations            0                 0                       0                        0                        0                       0                       2                  0                 0                       0                        0                        0                       0                       2                  0                 0                       0                        0                        0                       0                       2                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. interspecies translocations            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          8                 8                       8                        8                        8                       8                       8                  8                 8                       8                        8                        8                       8                       8                  8                 8                       8                        8                        8                       8                       8                
Misassembled contigs length                     30867141          30861676                30864248                 30856517                 30851576                30847638                30847730           30866597          30861823                30864057                 30853121                 30851361                30844132                30848669           30867787          30864288                30867356                 30861838                 30856703                30852242                30851275         
# possibly misassembled contigs                 7                 7                       7                        7                        7                       7                       8                  7                 7                       7                        7                        7                       7                       8                  7                 7                       7                        7                        7                       7                       8                
    # possible misassemblies                    98                102                     94                       98                       94                      92                      174                98                98                      96                       98                       98                      94                      167                96                98                      96                       94                       98                      92                      173              
# local misassemblies                           116               121                     127                      131                      152                     138                     218                115               119                     136                      130                      146                     145                     211                114               113                     122                      124                      142                     139                     213              
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  252               251                     250                      252                      248                     248                     174                252               253                     252                      252                      250                     249                     179                252               252                     253                      253                      250                     246                     172              
# unaligned mis. contigs                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# mismatches                                    52850             50772                   54355                    52976                    53887                   53887                   81767              53463             51200                   53520                    53288                    53373                   54436                   83035              52696             50497                   54055                    53452                    53791                   54583                   82871            
# indels                                        11501             6654                    8104                     7997                     20130                   18969                   92976              11596             7379                    7985                     7907                     20153                   18970                   93579              11426             6714                    8233                     8071                     20576                   19254                   93592            
    # indels (<= 5 bp)                          10852             5985                    7508                     7384                     19493                   18320                   91747              10928             6689                    7385                     7310                     19503                   18335                   92348              10767             6055                    7627                     7466                     19899                   18599                   92399            
    # indels (> 5 bp)                           649               669                     596                      613                      637                     649                     1229               668               690                     600                      597                      650                     635                     1231               659               659                     606                      605                      677                     655                     1193             
Indels length                                   45828             40929                   40991                    41020                    57729                   56080                   156862             46131             41731                   40539                    40620                    58096                   55505                   158088             45650             40784                   41179                    40905                    59218                   56704                   156644           
