All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                 # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50   NGA75   LGA50  LGA75
r10_1bin_v2_1_MP         7                       7                        7                        7                        24074864                   24074864                    24074864                    24074864                    7          4765873         24074864      3985829           44.80   43.82             4045598  4765873  2845425  4765873  3    1     5    1     34               1                       4045598                      13                     0                         0                         6                         0 + 7 part           19977169          99.999               1.028              0.00               97.60                     11.27                 788689             4097143               329474  257050  4      8    
r10_1bin_v2_1_MP_helen   7                       7                        7                        7                        24069434                   24069434                    24069434                    24069434                    7          4765292         24069434      3985829           44.80   43.82             4045624  4765292  2845362  4765292  3    1     5    1     34               1                       4045624                      13                     0                         0                         6                         0 + 7 part           19974309          99.999               1.027              0.04               94.11                     11.04                 788690             4094617               329468  257051  4      8    
r10_1bin_v2_1_r1_medaka  7                       7                        7                        7                        24071998                   24071998                    24071998                    24071998                    7          4765363         24071998      3985829           44.80   43.82             4045593  4765363  2845428  4765363  3    1     5    1     34               1                       4045593                      13                     0                         0                         6                         0 + 7 part           19975362          99.999               1.028              0.00               96.04                     10.44                 788691             4096138               329466  257051  4      8    
r10_1bin_v2_1_r2_medaka  7                       7                        7                        7                        24064261                   24064261                    24064261                    24064261                    7          4765370         24064261      3985829           44.80   43.82             4045588  4765370  2845425  4765370  3    1     5    1     34               1                       4045588                      13                     0                         0                         6                         0 + 7 part           19967757          99.999               1.028              0.00               95.74                     10.54                 788688             4096006               329465  257051  4      8    
r10_1bin_v2_1_racon_r1   7                       7                        7                        7                        24059992                   24059992                    24059992                    24059992                    7          4764541         24059992      3985829           44.78   43.82             4045161  4764541  2845303  4764541  3    1     5    1     34               1                       4045161                      13                     0                         0                         6                         0 + 7 part           19962982          99.999               1.028              0.00               98.30                     23.99                 788606             4096513               329433  257022  4      8    
r10_1bin_v2_1_racon_r2   7                       7                        7                        7                        24055964                   24055964                    24055964                    24055964                    7          4764622         24055964      3985829           44.78   43.82             4045292  4764622  2845317  4764622  3    1     5    1     34               1                       4045292                      13                     0                         0                         6                         0 + 7 part           19959156          99.999               1.028              0.00               98.10                     20.47                 788620             4096310               329450  257026  4      8    
r10_1bin_v2_1_raw        7                       7                        7                        7                        24060023                   24060023                    24060023                    24060023                    7          4763407         24060023      3985829           44.77   43.82             4043043  4763407  2843846  4763407  3    1     5    1     31               1                       4043043                      19                     0                         0                         5                         0 + 7 part           20001076          99.993               1.018              0.00               88.92                     104.70                788112             4057959               329353  256895  4      8    
r10_1bin_v2_2_MP         7                       7                        7                        7                        24074405                   24074405                    24074405                    24074405                    7          4765365         24074405      3985829           44.80   43.82             4045604  4765365  2845427  4765365  3    1     5    1     34               1                       4045604                      13                     0                         0                         6                         0 + 7 part           19976530          99.999               1.028              0.00               98.00                     11.29                 788681             4097378               315065  257050  5      8    
r10_1bin_v2_2_MP_helen   7                       7                        7                        7                        24069671                   24069671                    24069671                    24069671                    7          4765330         24069671      3985829           44.80   43.82             4045480  4765330  2845365  4765330  3    1     5    1     34               1                       4045480                      13                     0                         0                         6                         0 + 7 part           19973307          99.999               1.028              0.00               96.22                     12.70                 788687             4095921               315070  257052  5      8    
r10_1bin_v2_2_r1_medaka  7                       7                        7                        7                        24071816                   24071816                    24071816                    24071816                    7          4765353         24071816      3985829           44.80   43.82             4045604  4765353  2845431  4765353  3    1     5    1     34               1                       4045604                      13                     0                         0                         6                         0 + 7 part           19975868          99.999               1.028              0.00               95.46                     10.46                 788691             4095451               315066  257051  5      8    
r10_1bin_v2_2_r2_medaka  7                       7                        7                        7                        24060875                   24060875                    24060875                    24060875                    7          4765356         24060875      3985829           44.80   43.82             4045608  4765356  2845433  4765356  3    1     5    1     34               1                       4045608                      13                     0                         0                         6                         0 + 7 part           19964584          99.999               1.028              0.00               95.89                     10.34                 788690             4095794               315066  257052  5      8    
r10_1bin_v2_2_racon_r1   7                       7                        7                        7                        24059808                   24059808                    24059808                    24059808                    7          4764481         24059808      3985829           44.78   43.82             4045229  4764481  2845282  4764481  3    1     5    1     34               1                       4045229                      13                     0                         0                         6                         0 + 7 part           19962199          99.999               1.028              0.00               99.60                     23.38                 788627             4097111               315027  257027  5      8    
r10_1bin_v2_2_racon_r2   7                       7                        7                        7                        24052467                   24052467                    24052467                    24052467                    7          4764622         24052467      3985829           44.78   43.82             4045315  4764622  2845346  4764622  3    1     5    1     34               1                       4045315                      14                     0                         0                         6                         0 + 7 part           19955344          99.999               1.028              0.00               99.38                     20.35                 788626             4096626               315041  257027  5      8    
r10_1bin_v2_2_raw        7                       7                        7                        7                        24060967                   24060967                    24060967                    24060967                    7          4763482         24060967      3985829           44.77   43.82             4042940  4763482  2843855  4763482  3    1     5    1     32               1                       4042940                      17                     0                         0                         5                         0 + 7 part           19999168          99.996               1.019              0.00               86.16                     103.60                788148             4060790               314876  256896  5      8    
r10_1bin_v2_3_MP         7                       7                        7                        7                        24075545                   24075545                    24075545                    24075545                    7          4765372         24075545      3985829           44.80   43.82             4045596  4765372  2845434  4765372  3    1     5    1     33               1                       4045596                      13                     0                         0                         6                         0 + 7 part           19978065          99.998               1.028              0.00               97.20                     11.19                 788615             4097162               329413  257050  4      8    
r10_1bin_v2_3_MP_helen   7                       7                        7                        7                        24072103                   24072103                    24072103                    24072103                    7          4765362         24072103      3985829           44.81   43.82             4045614  4765362  2845416  4765362  3    1     5    1     33               1                       4045614                      13                     0                         0                         6                         0 + 7 part           19975780          99.998               1.028              0.00               95.59                     11.27                 788613             4096059               329412  257054  4      8    
r10_1bin_v2_3_r1_medaka  7                       7                        7                        7                        24075113                   24075113                    24075113                    24075113                    7          4765559         24075113      3985829           44.80   43.82             4045597  4765559  2845426  4765559  3    1     5    1     33               1                       4045597                      13                     0                         0                         6                         0 + 7 part           19977848          99.998               1.028              0.00               97.07                     10.64                 788616             4097001               329410  257050  4      8    
r10_1bin_v2_3_r2_medaka  7                       7                        7                        7                        24069593                   24069593                    24069593                    24069593                    7          4765361         24069593      3985829           44.80   43.82             4045593  4765361  2845429  4765361  3    1     5    1     33               1                       4045593                      13                     0                         0                         6                         0 + 7 part           19973498          99.998               1.028              0.00               95.69                     10.46                 788615             4095831               329410  257050  4      8    
r10_1bin_v2_3_racon_r1   7                       7                        7                        7                        24065155                   24065155                    24065155                    24065155                    7          4764967         24065155      3985829           44.79   43.82             4045228  4764967  2845240  4764967  3    1     5    1     33               1                       4045228                      13                     0                         0                         6                         0 + 7 part           19968251          99.998               1.028              0.00               97.15                     22.98                 788557             4096584               329383  257018  4      8    
