Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_v2_1_MP	15	15	0	13	2	0	0	0	0	1	4758918	1	6	8	0	0	14	6	19260	958	863	95	5483
r10_1bin_v2_1_MP_helen	15	15	0	13	2	0	0	0	0	1	4757927	1	4	9	0	0	14	6	19136	721	624	97	5303
r10_1bin_v2_1_r1_medaka	15	15	0	13	2	0	0	0	0	1	4758579	1	4	8	0	0	14	6	19226	539	449	90	4971
r10_1bin_v2_1_r2_medaka	15	15	0	13	2	0	0	0	0	1	4758111	1	4	8	0	0	14	6	19183	534	443	91	4987
r10_1bin_v2_1_racon_r1	15	15	0	13	2	0	0	0	0	1	4757861	1	4	8	0	0	14	6	19561	1880	1788	92	6482
r10_1bin_v2_1_racon_r2	15	15	0	13	2	0	0	0	0	1	4757873	1	4	8	0	0	14	6	19456	1777	1687	90	6330
r10_1bin_v2_1_raw	19	19	0	17	2	0	0	0	0	1	4755626	1	18	28	0	0	8	6	21876	10330	10161	169	18477
r10_1bin_v2_2_MP	15	15	0	13	2	0	0	0	0	1	4758939	1	6	8	0	0	14	6	19264	973	877	96	5519
r10_1bin_v2_2_MP_helen	16	16	0	14	2	0	0	0	0	1	4757856	1	4	8	0	0	14	6	19199	745	645	100	5271
r10_1bin_v2_2_r1_medaka	15	15	0	13	2	0	0	0	0	1	4758583	1	4	8	0	0	14	6	19202	539	449	90	4972
r10_1bin_v2_2_r2_medaka	15	15	0	13	2	0	0	0	0	1	4758093	1	4	8	0	0	14	6	19162	533	443	90	4965
r10_1bin_v2_2_racon_r1	15	15	0	13	2	0	0	0	0	1	4757899	1	4	8	0	0	14	6	19340	1869	1779	90	6458
r10_1bin_v2_2_racon_r2	15	15	0	13	2	0	0	0	0	1	4757820	1	4	8	0	0	14	6	19786	1791	1701	90	6344
r10_1bin_v2_2_raw	18	18	0	16	2	0	0	0	0	1	4756102	1	14	20	0	0	11	6	21625	10536	10360	176	19243
r10_1bin_v2_3_MP	15	15	0	13	2	0	0	0	0	1	4758920	1	6	8	0	0	14	6	19162	959	864	95	5482
r10_1bin_v2_3_MP_helen	16	16	0	14	2	0	0	0	0	1	4757780	1	4	8	0	0	14	6	19145	756	656	100	5307
r10_1bin_v2_3_r1_medaka	15	15	0	13	2	0	0	0	0	1	4758582	1	4	8	0	0	14	6	18943	529	440	89	4955
r10_1bin_v2_3_r2_medaka	15	15	0	13	2	0	0	0	0	1	4758118	1	4	8	0	0	14	6	19054	522	433	89	4945
r10_1bin_v2_3_racon_r1	15	15	0	13	2	0	0	0	0	1	4757872	1	4	8	0	0	14	6	19516	1905	1812	93	6526
r10_1bin_v2_3_racon_r2	15	15	0	13	2	0	0	0	0	1	4757851	1	4	8	0	0	14	6	19480	1802	1710	92	6366
r10_1bin_v2_3_raw	19	19	0	17	2	0	0	0	0	1	4755682	1	18	29	0	0	7	6	21863	10334	10164	170	18535
