Assembly	r10_1bin_v3_1_MP	r10_1bin_v3_1_MP_helen	r10_1bin_v3_1_r1_medaka	r10_1bin_v3_1_r2_medaka	r10_1bin_v3_1_racon_r1	r10_1bin_v3_1_racon_r2	r10_1bin_v3_1_raw	r10_1bin_v3_2_MP	r10_1bin_v3_2_MP_helen	r10_1bin_v3_2_r1_medaka	r10_1bin_v3_2_r2_medaka	r10_1bin_v3_2_racon_r1	r10_1bin_v3_2_racon_r2	r10_1bin_v3_2_raw	r10_1bin_v3_3_MP	r10_1bin_v3_3_MP_helen	r10_1bin_v3_3_r1_medaka	r10_1bin_v3_3_r2_medaka	r10_1bin_v3_3_racon_r1	r10_1bin_v3_3_racon_r2	r10_1bin_v3_3_raw
# misassemblies	34	34	34	34	33	34	31	34	34	34	34	34	34	32	34	34	34	34	34	34	31
  # contig misassemblies	34	34	34	34	33	34	31	34	34	34	34	34	34	32	34	34	34	34	34	34	31
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	34	34	34	34	33	34	31	34	34	34	34	34	34	32	34	34	34	34	34	34	31
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4045594	4045616	4045591	4045596	4045200	4045302	4042945	4045598	4045623	4045846	4045845	4045161	4045304	4043043	4045599	4045602	4045842	4045840	4045210	4045276	4043035
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	10	10	10	10	10	10	11	10	10	10	10	10	10	13	10	10	10	10	10	10	13
# local misassemblies	13	13	13	13	12	13	17	13	13	13	13	13	13	18	13	13	13	13	13	13	18
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	49	49	49	49	50	49	33	49	49	49	49	49	49	29	49	49	49	49	49	49	31
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	4	6	6	6	6	6	6	5
# mismatches	3914	3834	3749	3825	3894	3979	3366	3894	3813	3943	3893	3898	3911	3523	3871	3797	3939	3909	3914	3942	3529
# indels	450	449	410	413	901	828	4046	441	438	686	666	958	821	4205	439	447	691	675	949	869	4206
    # indels (<= 5 bp)	399	399	362	365	854	779	3991	392	389	637	618	907	772	4141	390	397	642	626	898	819	4146
    # indels (> 5 bp)	51	50	48	48	47	49	55	49	49	49	48	51	49	64	49	50	49	49	51	50	60
Indels length	2606	2601	2531	2533	3093	3038	7038	2576	2578	2826	2788	3212	3031	7419	2574	2604	2833	2816	3230	3124	7321
