All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                 # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75    LGA50  LGA75
r10_1bin_v3_1_MP         7                       7                        7                        7                        24074828                   24074828                    24074828                    24074828                    7          4765884         24074828      2958570           44.80   37.84             4045594  4765884  2845421  4765884  3    1     5    1     2                1                       2992085                      7                      0                         0                         6                         0 + 7 part           20956540          99.984               1.054              0.00               230.85                    22.08                 1569038            3117814               1569038  1410523  1      2    
r10_1bin_v3_1_MP_helen   7                       7                        7                        7                        24070090                   24070090                    24070090                    24070090                    7          4765881         24070090      2958570           44.80   37.84             4045616  4765881  2845364  4765881  3    1     5    1     2                1                       2992067                      7                      0                         0                         6                         0 + 7 part           20949552          99.984               1.055              0.04               236.83                    22.38                 1569031            3120054               1569031  1410493  1      2    
r10_1bin_v3_1_r1_medaka  7                       7                        7                        7                        24071888                   24071888                    24071888                    24071888                    7          4765833         24071888      2958570           44.80   37.84             4045591  4765833  2845429  4765833  3    1     5    1     2                1                       2992074                      7                      0                         0                         6                         0 + 7 part           20952382          99.984               1.055              0.00               231.46                    22.38                 1569032            3119032               1569032  1410518  1      2    
r10_1bin_v3_1_r2_medaka  7                       7                        7                        7                        24063470                   24063470                    24063470                    24063470                    7          4765837         24063470      2958570           44.80   37.84             4045596  4765837  2845429  4765837  3    1     5    1     2                1                       2992074                      7                      0                         0                         6                         0 + 7 part           20945364          99.984               1.054              0.00               226.72                    21.54                 1569032            3117632               1569032  1410518  1      2    
r10_1bin_v3_1_racon_r1   7                       7                        7                        7                        24060900                   24060900                    24060900                    24060900                    7          4765031         24060900      2958570           44.79   37.84             4045200  4765031  2845295  4765031  3    1     5    1     2                1                       2991917                      7                      0                         0                         6                         0 + 7 part           20942573          99.984               1.054              0.00               227.97                    31.92                 1568962            3117853               1568962  1410429  1      2    
r10_1bin_v3_1_racon_r2   7                       7                        7                        7                        24056048                   24056048                    24056048                    24056048                    7          4765076         24056048      2958570           44.78   37.84             4045302  4765076  2845304  4765076  3    1     5    1     2                1                       2991951                      7                      0                         0                         6                         0 + 7 part           20937602          99.984               1.054              0.00               229.63                    29.72                 1568962            3117972               1568962  1410466  1      2    
r10_1bin_v3_1_raw        8                       8                        8                        8                        30848193                   30848193                    30848193                    30848193                    8          6787707         30848193      2958570           49.48   37.84             4756098  6787707  2990633  6787707  3    1     5    1     2                1                       2990633                      14                     0                         0                         7                         0 + 8 part           27788160          99.981               1.035              0.00               148.14                    116.05                1568349            3059650               1568349  1409725  1      2    
r10_1bin_v3_2_MP         7                       7                        7                        7                        24074490                   24074490                    24074490                    24074490                    7          4765366         24074490      2958570           44.80   37.84             4045598  4765366  2845423  4765366  3    1     5    1     2                1                       2992084                      7                      0                         0                         6                         0 + 7 part           20956888          99.984               1.054              0.00               228.75                    21.30                 1569037            3117128               1569037  1410523  1      2    
r10_1bin_v3_2_MP_helen   7                       7                        7                        7                        24070611                   24070611                    24070611                    24070611                    7          4765332         24070611      2958570           44.80   37.84             4045623  4765332  2845360  4765332  3    1     5    1     2                1                       2992067                      7                      0                         0                         6                         0 + 7 part           20950605          99.984               1.055              0.00               235.55                    21.71                 1569031            3119532               1569031  1410493  1      2    
r10_1bin_v3_2_r1_medaka  7                       7                        7                        7                        24075114                   24075114                    24075114                    24075114                    7          4765684         24075114      2958570           44.80   37.84             4045846  4765684  2845571  4765684  3    1     5    1     2                1                       2992184                      7                      0                         0                         6                         0 + 7 part           20957178          99.984               1.054              0.00               228.65                    26.27                 1569095            3117462               1569095  1410565  1      2    
r10_1bin_v3_2_r2_medaka  7                       7                        7                        7                        24065831                   24065831                    24065831                    24065831                    7          4765663         24065831      2958570           44.79   37.84             4045845  4765663  2845564  4765663  3    1     5    1     2                1                       2992173                      7                      0                         0                         6                         0 + 7 part           20948833          99.984               1.054              0.00               225.20                    25.60                 1569093            3116524               1569093  1410556  1      2    
r10_1bin_v3_2_racon_r1   7                       7                        7                        7                        24060635                   24060635                    24060635                    24060635                    7          4764521         24060635      2958570           44.79   37.84             4045161  4764521  2845301  4764521  3    1     5    1     2                1                       2991893                      7                      0                         0                         6                         0 + 7 part           20942016          99.984               1.055              0.00               228.96                    31.89                 1568941            3118145               1568941  1410429  1      2    
r10_1bin_v3_2_racon_r2   7                       7                        7                        7                        24055783                   24055783                    24055783                    24055783                    7          4764646         24055783      2958570           44.78   37.84             4045304  4764646  2845301  4764646  3    1     5    1     2                1                       2991931                      7                      0                         0                         6                         0 + 7 part           20936441          99.984               1.055              0.00               232.07                    29.62                 1568951            3118868               1568951  1410455  1      2    
r10_1bin_v3_2_raw        8                       8                        8                        8                        30848654                   30848654                    30848654                    30848654                    8          6787721         30848654      2958570           49.48   37.84             4756089  6787721  2990628  6787721  3    1     5    1     2                1                       2990628                      12                     0                         0                         7                         0 + 8 part           27792561          99.983               1.033              0.00               140.97                    115.61                1568344            3055655               1568344  1409713  1      2    
