All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_1bin_v3_1_MP  r10_1bin_v3_1_MP_helen  r10_1bin_v3_1_r1_medaka  r10_1bin_v3_1_r2_medaka  r10_1bin_v3_1_racon_r1  r10_1bin_v3_1_racon_r2  r10_1bin_v3_1_raw  r10_1bin_v3_2_MP  r10_1bin_v3_2_MP_helen  r10_1bin_v3_2_r1_medaka  r10_1bin_v3_2_r2_medaka  r10_1bin_v3_2_racon_r1  r10_1bin_v3_2_racon_r2  r10_1bin_v3_2_raw  r10_1bin_v3_3_MP  r10_1bin_v3_3_MP_helen  r10_1bin_v3_3_r1_medaka  r10_1bin_v3_3_r2_medaka  r10_1bin_v3_3_racon_r1  r10_1bin_v3_3_racon_r2  r10_1bin_v3_3_raw
# contigs (>= 5000 bp)       7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 10000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 25000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 50000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
Total length (>= 5000 bp)    24074828          24070090                24071888                 24063470                 24060900                24056048                28129756           24074490          24070611                24075114                 24065831                 24060635                24055783                28129787           24078180          24070683                24078524                 24071188                 24064158                24059056                28132800         
Total length (>= 10000 bp)   24074828          24070090                24071888                 24063470                 24060900                24056048                28129756           24074490          24070611                24075114                 24065831                 24060635                24055783                28129787           24078180          24070683                24078524                 24071188                 24064158                24059056                28132800         
Total length (>= 25000 bp)   24074828          24070090                24071888                 24063470                 24060900                24056048                28129756           24074490          24070611                24075114                 24065831                 24060635                24055783                28129787           24078180          24070683                24078524                 24071188                 24064158                24059056                28132800         
Total length (>= 50000 bp)   24074828          24070090                24071888                 24063470                 24060900                24056048                28129756           24074490          24070611                24075114                 24065831                 24060635                24055783                28129787           24078180          24070683                24078524                 24071188                 24064158                24059056                28132800         
# contigs                    7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
Largest contig               4765884           4765881                 4765833                  4765837                  4765031                 4765076                 6787707            4765366           4765332                 4765684                  4765663                  4764521                 4764646                 6787721            4765358           4765330                 4765688                  4765655                  4764491                 4764636                 6787718          
Total length                 24074828          24070090                24071888                 24063470                 24060900                24056048                28129756           24074490          24070611                24075114                 24065831                 24060635                24055783                28129787           24078180          24070683                24078524                 24071188                 24064158                24059056                28132800         
Reference length             4738357           4738357                 4738357                  4738357                  4738357                 4738357                 4738357            4738357           4738357                 4738357                  4738357                  4738357                 4738357                 4738357            4738357           4738357                 4738357                  4738357                  4738357                 4738357                 4738357          
GC (%)                       44.80             44.80                   44.80                    44.80                    44.79                   44.78                   51.10              44.80             44.80                   44.80                    44.79                    44.79                   44.78                   51.10              44.80             44.81                   44.80                    44.79                    44.79                   44.79                   51.10            
Reference GC (%)             52.15             52.15                   52.15                    52.15                    52.15                   52.15                   52.15              52.15             52.15                   52.15                    52.15                    52.15                   52.15                   52.15              52.15             52.15                   52.15                    52.15                    52.15                   52.15                   52.15            
N50                          4045594           4045616                 4045591                  4045596                  4045200                 4045302                 4756098            4045598           4045623                 4045846                  4045845                  4045161                 4045304                 4756089            4045599           4045602                 4045842                  4045840                  4045210                 4045276                 4756074          
NG50                         4765884           4765881                 4765833                  4765837                  4765031                 4765076                 6787707            4765366           4765332                 4765684                  4765663                  4764521                 4764646                 6787721            4765358           4765330                 4765688                  4765655                  4764491                 4764636                 6787718          
N75                          2845421           2845364                 2845429                  2845429                  2845295                 2845304                 2990633            2845423           2845360                 2845571                  2845564                  2845301                 2845301                 2990628            2845422           2845361                 2845572                  2845563                  2845260                 2845299                 2990626          
NG75                         4765884           4765881                 4765833                  4765837                  4765031                 4765076                 6787707            4765366           4765332                 4765684                  4765663                  4764521                 4764646                 6787721            4765358           4765330                 4765688                  4765655                  4764491                 4764636                 6787718          
L50                          3                 3                       3                        3                        3                       3                       3                  3                 3                       3                        3                        3                       3                       3                  3                 3                       3                        3                        3                       3                       3                
