Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_1bin_v3_1_MP	7	7	7	7	24074828	24074828	24074828	24074828	7	4765884	24074828	4738357	44.80	52.15	4045594	4765884	2845421	4765884	3	1	5	1	15	1	4758942	8	0	0	6	0 + 7 part	19036922	98.918	1.075	0.00	415.61	21.11	2147343	5035509	613187	520322	2	4
r10_1bin_v3_1_MP_helen	7	7	7	7	24070090	24070090	24070090	24070090	7	4765881	24070090	4738357	44.80	52.15	4045616	4765881	2845364	4765881	3	1	5	1	15	1	4758045	8	0	0	6	0 + 7 part	19032575	98.920	1.075	0.04	412.85	15.22	2147007	5035108	613135	520294	2	4
r10_1bin_v3_1_r1_medaka	7	7	7	7	24071888	24071888	24071888	24071888	7	4765833	24071888	4738357	44.80	52.15	4045591	4765833	2845429	4765833	3	1	5	1	15	1	4758082	7	0	0	6	0 + 7 part	19037152	98.920	1.074	0.00	406.27	11.16	2147107	5032339	613152	520304	2	4
r10_1bin_v3_1_r2_medaka	7	7	7	7	24063470	24063470	24063470	24063470	7	4765837	24063470	4738357	44.80	52.15	4045596	4765837	2845429	4765837	3	1	5	1	15	1	4757996	7	0	0	6	0 + 7 part	19028552	98.920	1.074	0.00	406.74	11.22	2147023	5032521	613150	520304	2	4
r10_1bin_v3_1_racon_r1	7	7	7	7	24060900	24060900	24060900	24060900	7	4765031	24060900	4738357	44.79	52.15	4045200	4765031	2845295	4765031	3	1	5	1	15	1	4757676	8	0	0	6	0 + 7 part	19022583	98.920	1.075	0.00	419.10	40.50	2147099	5035917	613070	520214	2	4
r10_1bin_v3_1_racon_r2	7	7	7	7	24056048	24056048	24056048	24056048	7	4765076	24056048	4738357	44.78	52.15	4045302	4765076	2845304	4765076	3	1	5	1	15	1	4757433	7	0	0	6	0 + 7 part	19014683	98.920	1.076	0.00	426.16	37.17	2146784	5038966	613072	520249	2	4
r10_1bin_v3_1_raw	7	7	7	7	28129756	28129756	28129756	28129756	7	6787707	28129756	4738357	51.10	52.15	4756098	6787707	2990633	6787707	3	1	5	1	19	1	4756098	20	0	0	6	0 + 7 part	23175629	98.894	1.057	0.00	461.64	224.45	1864181	4951958	612982	373736	2	5
r10_1bin_v3_2_MP	7	7	7	7	24074490	24074490	24074490	24074490	7	4765366	24074490	4738357	44.80	52.15	4045598	4765366	2845423	4765366	3	1	5	1	15	1	4758934	8	0	0	6	0 + 7 part	19037407	98.918	1.075	0.00	412.19	21.15	1342502	5034741	745393	611508	3	5
r10_1bin_v3_2_MP_helen	7	7	7	7	24070611	24070611	24070611	24070611	7	4765332	24070611	4738357	44.80	52.15	4045623	4765332	2845360	4765332	3	1	5	1	16	1	4757811	8	0	0	6	0 + 7 part	19034250	98.919	1.075	0.00	409.33	16.26	1342445	5034074	745356	611476	3	5
r10_1bin_v3_2_r1_medaka	7	7	7	7	24075114	24075114	24075114	24075114	7	4765684	24075114	4738357	44.80	52.15	4045846	4765684	2845571	4765684	3	1	5	1	15	1	4759010	8	0	0	6	0 + 7 part	19036354	98.920	1.075	0.00	413.98	23.00	1342625	5036417	745429	611574	3	5
r10_1bin_v3_2_r2_medaka	7	7	7	7	24065831	24065831	24065831	24065831	7	4765663	24065831	4738357	44.79	52.15	4045845	4765663	2845564	4765663	3	1	5	1	15	1	4758465	7	0	0	6	0 + 7 part	19027194	98.920	1.075	0.00	415.58	22.81	1342628	5036294	745422	611566	3	5
r10_1bin_v3_2_racon_r1	7	7	7	7	24060635	24060635	24060635	24060635	7	4764521	24060635	4738357	44.79	52.15	4045161	4764521	2845301	4764521	3	1	5	1	15	1	4757950	8	0	0	6	0 + 7 part	19025633	98.920	1.074	0.00	409.69	39.52	1342266	5032658	745296	611445	3	5
r10_1bin_v3_2_racon_r2	7	7	7	7	24055783	24055783	24055783	24055783	7	4764646	24055783	4738357	44.78	52.15	4045304	4764646	2845301	4764646	3	1	5	1	15	1	4757851	8	0	0	6	0 + 7 part	19017988	98.920	1.075	0.00	416.88	37.20	1342305	5035452	745265	611452	3	5
r10_1bin_v3_2_raw	7	7	7	7	28129787	28129787	28129787	28129787	7	6787721	28129787	4738357	51.10	52.15	4756089	6787721	2990628	6787721	3	1	5	1	18	1	4756089	22	0	0	6	0 + 7 part	23176116	98.896	1.057	0.00	462.06	224.32	1341457	4951489	744988	433868	3	5
r10_1bin_v3_3_MP	7	7	7	7	24078180	24078180	24078180	24078180	7	4765358	24078180	4738357	44.80	52.15	4045599	4765358	2845422	4765358	3	1	5	1	15	1	4758933	8	0	0	6	0 + 7 part	19041213	98.918	1.075	0.00	411.57	20.87	1342502	5034624	745393	611507	3	5
r10_1bin_v3_3_MP_helen	7	7	7	7	24070683	24070683	24070683	24070683	7	4765330	24070683	4738357	44.81	52.15	4045602	4765330	2845361	4765330	3	1	5	1	16	1	4757839	8	0	0	6	0 + 7 part	19034298	98.919	1.075	0.00	409.16	15.96	1342444	5034098	745355	611503	3	5
r10_1bin_v3_3_r1_medaka	7	7	7	7	24078524	24078524	24078524	24078524	7	4765688	24078524	4738357	44.80	52.15	4045842	4765688	2845572	4765688	3	1	5	1	15	1	4759025	8	0	0	6	0 + 7 part	19039111	98.920	1.075	0.00	416.13	23.30	1342628	5037070	745435	611578	3	5
r10_1bin_v3_3_r2_medaka	7	7	7	7	24071188	24071188	24071188	24071188	7	4765655	24071188	4738357	44.79	52.15	4045840	4765655	2845563	4765655	3	1	5	1	15	1	4758469	7	0	0	6	0 + 7 part	19031709	98.920	1.075	0.00	417.50	22.96	1342618	5037135	745424	611575	3	5
r10_1bin_v3_3_racon_r1	7	7	7	7	24064158	24064158	24064158	24064158	7	4764491	24064158	4738357	44.79	52.15	4045210	4764491	2845260	4764491	3	1	5	1	15	1	4757998	8	0	0	6	0 + 7 part	19026842	98.920	1.075	0.00	416.09	39.69	1342279	5034971	745286	611454	3	5
r10_1bin_v3_3_racon_r2	7	7	7	7	24059056	24059056	24059056	24059056	7	4764636	24059056	4738357	44.79	52.15	4045276	4764636	2845299	4764636	3	1	5	1	15	1	4757867	8	0	0	6	0 + 7 part	19018766	98.920	1.076	0.00	422.81	36.90	1342297	5037946	745274	611450	3	5
r10_1bin_v3_3_raw	7	7	7	7	28132800	28132800	28132800	28132800	7	6787718	28132800	4738357	51.10	52.15	4756074	6787718	2990626	6787718	3	1	5	1	18	1	4756074	20	0	0	6	0 + 7 part	23177021	98.896	1.058	0.36	464.52	225.45	1341457	4953501	744979	433862	3	5
