Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_v4_1_MP	34	34	0	34	0	0	0	0	0	1	4045594	1	10	13	0	0	49	6	3904	453	402	51	2609
r10_1bin_v4_1_MP_helen	34	34	0	34	0	0	0	0	0	1	4045614	1	10	13	0	0	49	6	3834	450	400	50	2604
r10_1bin_v4_1_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045830	1	10	13	0	0	49	6	3888	677	628	49	2824
r10_1bin_v4_1_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045830	1	10	13	0	0	49	6	3891	658	610	48	2783
r10_1bin_v4_1_racon_r1	33	33	0	33	0	0	0	0	0	1	4045233	1	10	12	0	0	50	6	3949	887	841	46	3047
r10_1bin_v4_1_racon_r2	34	34	0	34	0	0	0	0	0	1	4045289	1	10	13	0	0	49	6	3949	832	782	50	3053
r10_1bin_v4_1_raw	31	31	0	31	0	0	0	0	0	1	4042947	1	11	18	0	0	30	5	3341	4123	4066	57	7183
r10_1bin_v4_2_MP	34	34	0	34	0	0	0	0	0	1	4045599	1	10	13	0	0	49	6	3918	452	401	51	2608
r10_1bin_v4_2_MP_helen	34	34	0	34	0	0	0	0	0	1	4045618	1	10	13	0	0	49	6	3819	448	398	50	2601
r10_1bin_v4_2_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045837	1	10	13	0	0	49	6	3879	676	627	49	2822
r10_1bin_v4_2_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045836	1	10	13	0	0	49	6	3910	673	624	49	2819
r10_1bin_v4_2_racon_r1	33	33	0	33	0	0	0	0	0	1	4045198	1	12	13	0	0	50	6	4001	894	845	49	3100
r10_1bin_v4_2_racon_r2	34	34	0	34	0	0	0	0	0	1	4045283	1	10	13	0	0	49	6	3962	852	804	48	3055
r10_1bin_v4_2_raw	31	31	0	31	0	0	0	0	0	1	4042978	1	11	18	0	0	31	5	3392	4140	4083	57	7230
r10_1bin_v4_3_MP	34	34	0	34	0	0	0	0	0	1	4045594	1	10	13	0	0	49	6	3925	450	399	51	2606
r10_1bin_v4_3_MP_helen	34	34	0	34	0	0	0	0	0	1	4045616	1	10	13	0	0	49	6	3846	448	398	50	2600
r10_1bin_v4_3_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045840	1	10	13	0	0	49	6	3912	667	619	48	2794
r10_1bin_v4_3_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045837	1	10	13	0	0	49	6	3827	666	617	49	2808
r10_1bin_v4_3_racon_r1	34	34	0	34	0	0	0	0	0	1	4045212	1	10	13	0	0	49	6	3963	910	863	47	3138
r10_1bin_v4_3_racon_r2	34	34	0	34	0	0	0	0	0	1	4045325	1	10	13	0	0	49	6	3927	798	749	49	3018
r10_1bin_v4_3_raw	32	32	0	32	0	0	0	0	0	1	4042951	1	11	17	0	0	32	4	3484	4096	4039	57	7150
