All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                 # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75   LGA50  LGA75
r10_1bin_v4_1_MP         7                       7                        7                        7                        24074239                   24074239                    24074239                    24074239                    7          4765380         24074239      4787036           44.80   50.45             4045594  4765380  2845424  4765380  3    1     5    1     21               1                       4765380                      36                     0                         0                         6                         0 + 7 part           19038707          97.703               1.077              0.00               443.32                    20.40                 1408828            5030193               1103278  393562  2      5    
r10_1bin_v4_1_MP_helen   7                       7                        7                        7                        24070847                   24070847                    24070847                    24070847                    7          4765358         24070847      4787036           44.80   50.45             4045614  4765358  2845373  4765358  3    1     5    1     21               1                       4765358                      36                     0                         0                         6                         0 + 7 part           19035805          97.703               1.077              0.04               439.21                    17.92                 1408802            5029734               1103269  393566  2      5    
r10_1bin_v4_1_r1_medaka  7                       7                        7                        7                        24075790                   24075790                    24075790                    24075790                    7          4765659         24075790      4787036           44.80   50.45             4045830  4765659  2845569  4765659  3    1     5    1     21               1                       4765659                      36                     0                         0                         6                         0 + 7 part           19038701          97.703               1.077              0.00               445.48                    21.08                 1408908            5031751               1103328  393580  2      5    
r10_1bin_v4_1_r2_medaka  7                       7                        7                        7                        24065267                   24065267                    24065267                    24065267                    7          4765647         24065267      4787036           44.79   50.45             4045830  4765647  2845565  4765647  3    1     5    1     21               1                       4765647                      37                     0                         0                         6                         0 + 7 part           19030255          97.701               1.077              0.00               441.57                    20.85                 1408894            5032046               1105700  393580  2      5    
r10_1bin_v4_1_racon_r1   7                       7                        7                        7                        24060416                   24060416                    24060416                    24060416                    7          4764472         24060416      4787036           44.79   50.45             4045233  4764472  2845263  4764472  3    1     5    1     21               1                       4764472                      36                     0                         0                         6                         0 + 7 part           19024960          97.703               1.077              0.00               444.77                    39.94                 1408596            5030259               1103072  393533  2      5    
r10_1bin_v4_1_racon_r2   7                       7                        7                        7                        24054361                   24054361                    24054361                    24054361                    7          4764668         24054361      4787036           44.78   50.45             4045289  4764668  2845303  4764668  3    1     5    1     21               1                       4764668                      37                     0                         0                         6                         0 + 7 part           19016740          97.701               1.077              0.00               450.96                    36.37                 1408655            5034794               1105485  393552  2      5    
r10_1bin_v4_1_raw        7                       7                        7                        7                        28131261                   28131261                    28131261                    28131261                    7          6788614         28131261      4787036           51.10   50.45             4755996  6788614  2990670  6788614  3    1     5    1     19               1                       4763504                      58                     0                         0                         6                         0 + 7 part           23182737          97.668               1.059              0.00               486.97                    239.35                1102556            4943675               586349   376967  3      6    
r10_1bin_v4_2_MP         7                       7                        7                        7                        24074830                   24074830                    24074830                    24074830                    7          4765857         24074830      4787036           44.80   50.45             4045599  4765857  2845424  4765857  3    1     5    1     21               1                       4765857                      37                     0                         0                         6                         0 + 7 part           19039665          97.703               1.077              0.00               442.59                    20.40                 1408860            5029783               1103285  393562  2      5    
r10_1bin_v4_2_MP_helen   7                       7                        7                        7                        24070579                   24070579                    24070579                    24070579                    7          4765290         24070579      4787036           44.80   50.45             4045618  4765290  2845368  4765290  3    1     5    1     21               1                       4765290                      36                     0                         0                         6                         0 + 7 part           19035014          97.703               1.077              0.00               440.26                    18.05                 1408818            5030238               1103272  393564  2      5    
r10_1bin_v4_2_r1_medaka  7                       7                        7                        7                        24075879                   24075879                    24075879                    24075879                    7          4765665         24075879      4787036           44.80   50.45             4045837  4765665  2845573  4765665  3    1     5    1     21               1                       4765665                      37                     0                         0                         6                         0 + 7 part           19037635          97.701               1.077              0.00               448.37                    21.19                 1408977            5035302               1105706  393579  2      5    
