Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_v4_1_MP	1	1	0	1	0	0	0	0	0	1	2845424	0	0	16	0	0	19	6	7034	431	390	41	2440
r10_1bin_v4_1_MP_helen	1	1	0	1	0	0	0	0	0	1	2845373	0	0	16	0	0	19	6	6978	420	378	42	2436
r10_1bin_v4_1_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845569	0	0	16	0	0	19	6	7058	549	508	41	2529
r10_1bin_v4_1_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845565	0	0	16	0	0	19	6	7012	529	490	39	2486
r10_1bin_v4_1_racon_r1	1	1	0	1	0	0	0	0	0	1	2845263	0	0	16	0	0	19	6	6476	622	583	39	2591
r10_1bin_v4_1_racon_r2	1	1	0	1	0	0	0	0	0	1	2845303	0	0	16	0	0	19	6	6890	579	540	39	2557
r10_1bin_v4_1_raw	1	1	0	1	0	0	0	0	0	1	2843857	1	6	20	0	0	11	6	4180	3548	3512	36	6142
r10_1bin_v4_2_MP	1	1	0	1	0	0	0	0	0	1	2845424	0	0	16	0	0	19	6	6994	431	390	41	2440
r10_1bin_v4_2_MP_helen	1	1	0	1	0	0	0	0	0	1	2845368	0	0	16	0	0	19	6	7033	439	396	43	2469
r10_1bin_v4_2_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845573	0	0	16	0	0	19	6	7096	570	529	41	2570
r10_1bin_v4_2_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845566	0	0	16	0	0	19	6	7049	538	497	41	2530
r10_1bin_v4_2_racon_r1	1	1	0	1	0	0	0	0	0	1	2845303	0	0	16	0	0	19	6	6617	595	555	40	2587
r10_1bin_v4_2_racon_r2	1	1	0	1	0	0	0	0	0	1	2845324	0	0	16	0	0	19	6	6837	645	606	39	2691
r10_1bin_v4_2_raw	1	1	0	1	0	0	0	0	0	1	2843857	1	6	20	0	0	11	6	4193	3534	3498	36	6122
r10_1bin_v4_3_MP	1	1	0	1	0	0	0	0	0	1	2845425	0	0	16	0	0	19	6	7001	441	400	41	2459
r10_1bin_v4_3_MP_helen	1	1	0	1	0	0	0	0	0	1	2845368	0	0	16	0	0	19	6	7085	444	402	42	2474
r10_1bin_v4_3_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845568	0	0	16	0	0	19	5	7016	552	511	41	2531
r10_1bin_v4_3_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845560	0	0	16	0	0	19	6	6897	533	492	41	2517
r10_1bin_v4_3_racon_r1	1	1	0	1	0	0	0	0	0	1	2845287	0	0	16	0	0	19	5	6653	660	618	42	2716
r10_1bin_v4_3_racon_r2	1	1	0	1	0	0	0	0	0	1	2845313	0	0	16	0	0	19	6	6911	617	578	39	2639
r10_1bin_v4_3_raw	1	1	0	1	0	0	0	0	0	1	2843857	1	6	20	0	0	11	6	4311	3540	3504	36	6130
