All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                 # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75    LGA50  LGA75
r10_1bin_v4_1_MP         7                       7                        7                        7                        24074239                   24074239                    24074239                    24074239                    7          4765380         24074239      2820294           44.80   37.44             4045594  4765380  2845424  4765380  3    1     5    1     1                1                       2845424                      16                     0                         0                         6                         0 + 6 part           21096644          99.954               1.056              0.00               249.57                    15.29                 2560117            2972166               2560117  2560117  1      1    
r10_1bin_v4_1_MP_helen   7                       7                        7                        7                        24070847                   24070847                    24070847                    24070847                    7          4765358         24070847      2820294           44.80   37.44             4045614  4765358  2845373  4765358  3    1     5    1     1                1                       2845373                      16                     0                         0                         6                         0 + 6 part           21093803          99.954               1.056              0.04               247.58                    14.90                 2560082            2971621               2560082  2560082  1      1    
r10_1bin_v4_1_r1_medaka  7                       7                        7                        7                        24075790                   24075790                    24075790                    24075790                    7          4765659         24075790      2820294           44.80   37.44             4045830  4765659  2845569  4765659  3    1     5    1     1                1                       2845569                      16                     0                         0                         6                         0 + 6 part           21097770          99.954               1.057              0.00               250.42                    19.48                 2560238            2972591               2560238  2560238  1      1    
r10_1bin_v4_1_r2_medaka  7                       7                        7                        7                        24065267                   24065267                    24065267                    24065267                    7          4765647         24065267      2820294           44.79   37.44             4045830  4765647  2845565  4765647  3    1     5    1     1                1                       2845565                      16                     0                         0                         6                         0 + 6 part           21088186          99.954               1.056              0.00               248.79                    18.77                 2560235            2971652               2560235  2560235  1      1    
r10_1bin_v4_1_racon_r1   7                       7                        7                        7                        24060416                   24060416                    24060416                    24060416                    7          4764472         24060416      2820294           44.79   37.44             4045233  4764472  2845263  4764472  3    1     5    1     1                1                       2845263                      16                     0                         0                         6                         0 + 6 part           21088322          99.954               1.055              0.00               229.77                    22.07                 2559977            2966665               2559977  2559977  1      1    
r10_1bin_v4_1_racon_r2   7                       7                        7                        7                        24054361                   24054361                    24054361                    24054361                    7          4764668         24054361      2820294           44.78   37.44             4045289  4764668  2845303  4764668  3    1     5    1     1                1                       2845303                      16                     0                         0                         6                         0 + 6 part           21078268          99.954               1.056              0.00               244.46                    20.54                 2560017            2970668               2560017  2560017  1      1    
r10_1bin_v4_1_raw        7                       7                        7                        7                        24061513                   24061513                    24061513                    24061513                    7          4763504         24061513      2820294           44.77   37.44             4042947  4763504  2843857  4763504  3    1     5    1     1                1                       2843857                      20                     0                         0                         6                         0 + 7 part           21152484          99.949               1.032              0.00               148.32                    125.89                2556100            2907298               2556100  2556100  1      1    
r10_1bin_v4_2_MP         7                       7                        7                        7                        24074830                   24074830                    24074830                    24074830                    7          4765857         24074830      2820294           44.80   37.44             4045599  4765857  2845424  4765857  3    1     5    1     1                1                       2845424                      16                     0                         0                         6                         0 + 6 part           21097744          99.954               1.056              0.00               248.15                    15.29                 2560120            2971657               2560120  2560120  1      1    
r10_1bin_v4_2_MP_helen   7                       7                        7                        7                        24070579                   24070579                    24070579                    24070579                    7          4765290         24070579      2820294           44.80   37.44             4045618  4765290  2845368  4765290  3    1     5    1     1                1                       2845368                      16                     0                         0                         6                         0 + 6 part           21093393          99.954               1.056              0.00               249.54                    15.58                 2560017            2971708               2560017  2560017  1      1    
r10_1bin_v4_2_r1_medaka  7                       7                        7                        7                        24075879                   24075879                    24075879                    24075879                    7          4765665         24075879      2820294           44.80   37.44             4045837  4765665  2845573  4765665  3    1     5    1     1                1                       2845573                      16                     0                         0                         6                         0 + 6 part           21097618          99.954               1.057              0.00               251.77                    20.22                 2560247            2972832               2560247  2560247  1      1    
r10_1bin_v4_2_r2_medaka  7                       7                        7                        7                        24065198                   24065198                    24065198                    24065198                    7          4765638         24065198      2820294           44.79   37.44             4045836  4765638  2845566  4765638  3    1     5    1     1                1                       2845566                      16                     0                         0                         6                         0 + 6 part           21087627          99.954               1.056              0.00               250.10                    19.09                 2560240            2972142               2560240  2560240  1      1    
r10_1bin_v4_2_racon_r1   7                       7                        7                        7                        24060552                   24060552                    24060552                    24060552                    7          4764540         24060552      2820294           44.79   37.44             4045198  4764540  2845303  4764540  3    1     5    1     1                1                       2845303                      16                     0                         0                         6                         0 + 6 part           21087037          99.954               1.055              0.00               234.78                    21.11                 2560005            2968087               2560005  2560005  1      1    
r10_1bin_v4_2_racon_r2   7                       7                        7                        7                        24053082                   24053082                    24053082                    24053082                    7          4764597         24053082      2820294           44.78   37.44             4045283  4764597  2845324  4764597  3    1     5    1     1                1                       2845324                      16                     0                         0                         6                         0 + 6 part           21077720          99.954               1.056              0.00               242.58                    22.89                 2560018            2969934               2560018  2560018  1      1    
r10_1bin_v4_2_raw        7                       7                        7                        7                        24061431                   24061431                    24061431                    24061431                    7          4763606         24061431      2820294           44.77   37.44             4042978  4763606  2843857  4763606  3    1     5    1     1                1                       2843857                      20                     0                         0                         6                         0 + 7 part           21152048          99.949               1.032              0.00               148.78                    125.40                2556103            2907652               2556103  2556103  1      1    
r10_1bin_v4_3_MP         7                       7                        7                        7                        24074372                   24074372                    24074372                    24074372                    7          4765360         24074372      2820294           44.80   37.44             4045594  4765360  2845425  4765360  3    1     5    1     1                1                       2845425                      16                     0                         0                         6                         0 + 6 part           21097245          99.954               1.056              0.00               248.40                    15.65                 2390859            2971698               2390859  2390859  1      1    
r10_1bin_v4_3_MP_helen   7                       7                        7                        7                        24070528                   24070528                    24070528                    24070528                    7          4765338         24070528      2820294           44.80   37.44             4045616  4765338  2845368  4765338  3    1     5    1     1                1                       2845368                      16                     0                         0                         6                         0 + 6 part           21092484          99.954               1.057              0.00               251.38                    15.75                 2390838            2972639               2390838  2390838  1      1    
r10_1bin_v4_3_r1_medaka  7                       7                        7                        7                        24075072                   24075072                    24075072                    24075072                    7          4765695         24075072      2820294           44.80   37.44             4045840  4765695  2845568  4765695  3    1     5    1     1                1                       2845568                      16                     0                         0                         5                         0 + 6 part           21097723          99.954               1.056              0.00               248.93                    19.59                 2390971            2971919               2390971  2390971  1      1    
r10_1bin_v4_3_r2_medaka  7                       7                        7                        7                        24062757                   24062757                    24062757                    24062757                    7          4765649         24062757      2820294           44.79   37.44             4045837  4765649  2845560  4765649  3    1     5    1     1                1                       2845560                      16                     0                         0                         6                         0 + 6 part           21086783          99.954               1.056              0.00               244.71                    18.91                 2390963            2970545               2390963  2390963  1      1    
r10_1bin_v4_3_racon_r1   7                       7                        7                        7                        24061106                   24061106                    24061106                    24061106                    7          4764493         24061106      2820294           44.78   37.44             4045212  4764493  2845287  4764493  3    1     5    1     1                1                       2845287                      16                     0                         0                         5                         0 + 6 part           21087781          99.954               1.055              0.00               236.05                    23.42                 2390760            2967907               2390760  2390760  1      1    
r10_1bin_v4_3_racon_r2   7                       7                        7                        7                        24053558                   24053558                    24053558                    24053558                    7          4764872         24053558      2820294           44.78   37.44             4045325  4764872  2845313  4764872  3    1     5    1     1                1                       2845313                      16                     0                         0                         6                         0 + 6 part           21077271          99.954               1.056              0.00               245.21                    21.89                 2390767            2970859               2390767  2390767  1      1    
r10_1bin_v4_3_raw        7                       7                        7                        7                        24060936                   24060936                    24060936                    24060936                    7          4763509         24060936      2820294           44.77   37.44             4042951  4763509  2843857  4763509  3    1     5    1     1                1                       2843857                      20                     0                         0                         6                         0 + 7 part           21149899          99.949               1.033              0.00               152.97                    125.61                2387805            2909306               2387805  2387805  1      1    
