Assembly	r10_1bin_v4_1_MP	r10_1bin_v4_1_MP_helen	r10_1bin_v4_1_r1_medaka	r10_1bin_v4_1_r2_medaka	r10_1bin_v4_1_racon_r1	r10_1bin_v4_1_racon_r2	r10_1bin_v4_1_raw	r10_1bin_v4_2_MP	r10_1bin_v4_2_MP_helen	r10_1bin_v4_2_r1_medaka	r10_1bin_v4_2_r2_medaka	r10_1bin_v4_2_racon_r1	r10_1bin_v4_2_racon_r2	r10_1bin_v4_2_raw	r10_1bin_v4_3_MP	r10_1bin_v4_3_MP_helen	r10_1bin_v4_3_r1_medaka	r10_1bin_v4_3_r2_medaka	r10_1bin_v4_3_racon_r1	r10_1bin_v4_3_racon_r2	r10_1bin_v4_3_raw
# misassemblies	73	73	74	80	74	83	75	74	73	74	80	74	82	75	74	73	74	77	74	80	76
  # contig misassemblies	73	73	74	80	74	83	75	74	73	74	80	74	82	75	74	73	74	77	74	80	76
    # c. relocations	3	3	3	8	3	8	4	4	3	3	8	3	8	4	4	3	3	7	3	7	4
    # c. translocations	70	70	71	72	71	75	71	70	70	71	72	71	74	71	70	70	71	70	71	73	72
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	1947266	1946666	1946507	1936457	1935141	1928687	1945673	1947348	1946223	1946508	1936339	1935113	1927460	1945673	1947385	1946387	1945652	1933881	1935632	1927607	1945498
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	36	36	34	34	34	30	42	36	36	34	32	34	28	42	36	36	34	36	36	30	40
# local misassemblies	12	13	28	28	44	34	29	11	13	28	30	44	37	28	12	12	28	30	44	32	30
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	66	66	65	65	64	64	36	66	66	65	65	63	63	37	66	66	64	66	64	64	39
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	4853	4839	5396	5235	4804	4864	6599	4871	4848	5354	5301	4883	4928	6521	4894	4843	5499	5091	4896	4872	6726
# indels	214	293	417	465	1073	969	6286	207	305	418	435	1084	972	6285	212	183	446	394	1038	1008	6301
    # indels (<= 5 bp)	164	237	369	417	997	891	6181	157	248	370	382	1004	898	6179	164	131	398	343	968	939	6199
    # indels (> 5 bp)	50	56	48	48	76	78	105	50	57	48	53	80	74	106	48	52	48	51	70	69	102
Indels length	2731	2830	2818	2969	5123	4732	11247	2721	2992	2821	3198	5183	4983	11367	2600	2712	2959	2930	4893	4544	11317
