Assembly	r10_1bin_v4_1_MP	r10_1bin_v4_1_MP_helen	r10_1bin_v4_1_r1_medaka	r10_1bin_v4_1_r2_medaka	r10_1bin_v4_1_racon_r1	r10_1bin_v4_1_racon_r2	r10_1bin_v4_1_raw	r10_1bin_v4_2_MP	r10_1bin_v4_2_MP_helen	r10_1bin_v4_2_r1_medaka	r10_1bin_v4_2_r2_medaka	r10_1bin_v4_2_racon_r1	r10_1bin_v4_2_racon_r2	r10_1bin_v4_2_raw	r10_1bin_v4_3_MP	r10_1bin_v4_3_MP_helen	r10_1bin_v4_3_r1_medaka	r10_1bin_v4_3_r2_medaka	r10_1bin_v4_3_racon_r1	r10_1bin_v4_3_racon_r2	r10_1bin_v4_3_raw
# misassemblies	8	6	8	8	8	8	10	8	6	6	6	6	6	10	8	6	6	6	6	6	10
  # contig misassemblies	8	6	8	8	8	8	10	8	6	6	6	6	6	10	8	6	6	6	6	6	10
    # c. relocations	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
    # c. translocations	7	6	7	7	7	7	10	7	6	6	6	6	6	10	7	6	6	6	6	6	10
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792205	6792208	6792382	6792380	6791578	6791619	6788614	6792242	6792185	6792389	6792392	6791549	6791659	6788581	6792242	6792185	6792389	6792392	6791549	6791658	6788581
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	16	18	16	16	16	16	34	16	18	18	18	18	18	34	16	18	18	18	18	18	34
# local misassemblies	11	11	11	11	11	11	24	11	11	11	11	11	11	25	11	11	11	11	11	11	25
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	20	21	20	20	20	20	16	20	21	21	21	21	21	16	20	21	21	21	21	21	16
# unaligned mis. contigs	7	7	7	7	7	7	7	7	7	7	6	7	7	6	7	7	7	6	7	7	7
# mismatches	3951	3757	3840	3844	3977	3938	4340	3957	3778	3805	3785	3974	3947	4347	3949	3776	3840	3803	3941	3959	4387
# indels	381	258	431	427	1019	948	6540	364	340	430	428	1057	992	6535	364	339	430	428	1054	994	6534
    # indels (<= 5 bp)	286	163	338	334	925	855	6416	269	243	336	334	963	897	6412	269	242	336	334	960	899	6411
    # indels (> 5 bp)	95	95	93	93	94	93	124	95	97	94	94	94	95	123	95	97	94	94	94	95	123
Indels length	5422	5292	5436	5434	6142	6040	12965	5394	5401	5447	5445	6177	6103	12930	5394	5399	5447	5445	6174	6106	12929
