Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_v4_1_MP	8	8	1	7	0	0	0	0	0	1	6792205	1	16	11	0	0	20	7	3951	381	286	95	5422
r10_1bin_v4_1_MP_helen	6	6	0	6	0	0	0	0	0	1	6792208	1	18	11	0	0	21	7	3757	258	163	95	5292
r10_1bin_v4_1_r1_medaka	8	8	1	7	0	0	0	0	0	1	6792382	1	16	11	0	0	20	7	3840	431	338	93	5436
r10_1bin_v4_1_r2_medaka	8	8	1	7	0	0	0	0	0	1	6792380	1	16	11	0	0	20	7	3844	427	334	93	5434
r10_1bin_v4_1_racon_r1	8	8	1	7	0	0	0	0	0	1	6791578	1	16	11	0	0	20	7	3977	1019	925	94	6142
r10_1bin_v4_1_racon_r2	8	8	1	7	0	0	0	0	0	1	6791619	1	16	11	0	0	20	7	3938	948	855	93	6040
r10_1bin_v4_1_raw	10	10	0	10	0	0	0	0	0	1	6788614	1	34	24	0	0	16	7	4340	6540	6416	124	12965
r10_1bin_v4_2_MP	8	8	1	7	0	0	0	0	0	1	6792242	1	16	11	0	0	20	7	3957	364	269	95	5394
r10_1bin_v4_2_MP_helen	6	6	0	6	0	0	0	0	0	1	6792185	1	18	11	0	0	21	7	3778	340	243	97	5401
r10_1bin_v4_2_r1_medaka	6	6	0	6	0	0	0	0	0	1	6792389	1	18	11	0	0	21	7	3805	430	336	94	5447
r10_1bin_v4_2_r2_medaka	6	6	0	6	0	0	0	0	0	1	6792392	1	18	11	0	0	21	6	3785	428	334	94	5445
r10_1bin_v4_2_racon_r1	6	6	0	6	0	0	0	0	0	1	6791549	1	18	11	0	0	21	7	3974	1057	963	94	6177
r10_1bin_v4_2_racon_r2	6	6	0	6	0	0	0	0	0	1	6791659	1	18	11	0	0	21	7	3947	992	897	95	6103
r10_1bin_v4_2_raw	10	10	0	10	0	0	0	0	0	1	6788581	1	34	25	0	0	16	6	4347	6535	6412	123	12930
r10_1bin_v4_3_MP	8	8	1	7	0	0	0	0	0	1	6792242	1	16	11	0	0	20	7	3949	364	269	95	5394
r10_1bin_v4_3_MP_helen	6	6	0	6	0	0	0	0	0	1	6792185	1	18	11	0	0	21	7	3776	339	242	97	5399
r10_1bin_v4_3_r1_medaka	6	6	0	6	0	0	0	0	0	1	6792389	1	18	11	0	0	21	7	3840	430	336	94	5447
r10_1bin_v4_3_r2_medaka	6	6	0	6	0	0	0	0	0	1	6792392	1	18	11	0	0	21	6	3803	428	334	94	5445
r10_1bin_v4_3_racon_r1	6	6	0	6	0	0	0	0	0	1	6791549	1	18	11	0	0	21	7	3941	1054	960	94	6174
r10_1bin_v4_3_racon_r2	6	6	0	6	0	0	0	0	0	1	6791658	1	18	11	0	0	21	7	3959	994	899	95	6106
r10_1bin_v4_3_raw	10	10	0	10	0	0	0	0	0	1	6788581	1	34	25	0	0	16	7	4387	6534	6411	123	12929
