Assembly	r10_1bin_v4_1_MP	r10_1bin_v4_1_MP_helen	r10_1bin_v4_1_r1_medaka	r10_1bin_v4_1_r2_medaka	r10_1bin_v4_1_racon_r1	r10_1bin_v4_1_racon_r2	r10_1bin_v4_1_raw	r10_1bin_v4_2_MP	r10_1bin_v4_2_MP_helen	r10_1bin_v4_2_r1_medaka	r10_1bin_v4_2_r2_medaka	r10_1bin_v4_2_racon_r1	r10_1bin_v4_2_racon_r2	r10_1bin_v4_2_raw	r10_1bin_v4_3_MP	r10_1bin_v4_3_MP_helen	r10_1bin_v4_3_r1_medaka	r10_1bin_v4_3_r2_medaka	r10_1bin_v4_3_racon_r1	r10_1bin_v4_3_racon_r2	r10_1bin_v4_3_raw
# misassemblies	15	16	15	15	15	15	18	15	15	15	15	15	15	18	15	16	15	15	15	15	18
  # contig misassemblies	15	16	15	15	15	15	18	15	15	15	15	15	15	18	15	16	15	15	15	15	18
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	13	14	13	13	13	13	16	13	13	13	13	13	13	16	13	14	13	13	13	13	16
    # c. inversions	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4758902	4757799	4759020	4758488	4757908	4757843	4755996	4758906	4758018	4759008	4758481	4757940	4757851	4755926	4758924	4757804	4759024	4758498	4757988	4757863	4756050
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	6	4	4	4	4	4	14	6	4	4	4	4	4	16	6	4	4	4	4	4	14
# local misassemblies	8	8	8	7	8	8	19	8	8	8	7	8	8	27	8	8	8	7	8	8	22
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	14	14	14	14	14	14	11	14	14	14	14	14	14	7	14	14	14	14	14	14	10
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	19458	19323	19506	19546	19578	19380	21554	19285	19157	19480	19551	19777	19593	21879	19336	19205	19518	19578	19259	19619	21728
# indels	1011	773	1094	1098	1886	1791	10517	974	714	1083	1091	1884	1789	10274	992	762	1090	1101	1866	1774	10530
    # indels (<= 5 bp)	914	672	1004	1007	1794	1701	10335	879	619	993	1000	1793	1699	10101	895	660	1000	1010	1775	1684	10354
    # indels (> 5 bp)	97	101	90	91	92	90	182	95	95	90	91	91	90	173	97	102	90	91	91	90	176
Indels length	5578	5348	5548	5613	6518	6355	19338	5533	5237	5526	5600	6516	6348	18601	5557	5343	5549	5615	6455	6326	19193
