Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# misassemblies	74	73	75	77	75	79	75	73	73	74	78	75	78	75	74	73	75	78	79	79	75
  # contig misassemblies	74	73	75	77	75	79	75	73	73	74	78	75	78	75	74	73	75	78	79	79	75
    # c. relocations	4	3	3	5	3	5	4	3	3	3	6	3	6	4	4	3	3	5	3	5	4
    # c. translocations	70	70	72	72	72	74	71	70	70	71	72	72	72	71	70	70	72	73	76	74	71
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	1947367	1945999	1945572	1938095	1935544	1929697	1945498	1947264	1945994	1946130	1935173	1934812	1930121	1945704	1947347	1944592	1945545	1938875	1934569	1930417	1945410
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	36	38	34	36	34	30	42	36	36	32	34	34	34	44	36	38	32	34	32	32	42
# local misassemblies	12	14	27	32	43	41	30	12	13	28	26	42	34	29	11	15	28	26	47	33	29
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	66	66	64	65	65	63	41	66	66	65	64	63	63	38	66	64	63	65	62	64	42
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	4824	4804	5400	5168	4949	4907	6320	4818	4814	5307	5153	4833	4860	6522	4847	4832	5510	5142	4907	4820	6360
# indels	211	210	274	233	1046	933	6318	223	195	264	213	1085	982	6318	212	222	268	254	1027	1019	6341
    # indels (<= 5 bp)	162	153	223	180	973	866	6220	174	146	213	162	1011	913	6214	161	167	220	203	955	948	6240
    # indels (> 5 bp)	49	57	51	53	73	67	98	49	49	51	51	74	69	104	51	55	48	51	72	71	101
Indels length	2607	2777	2820	2832	4904	4460	11218	2711	2704	2749	2643	5045	4607	11321	2737	2867	2771	2824	4764	4824	11278
