Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# misassemblies	15	16	15	15	15	15	18	15	16	15	15	15	15	18	15	16	15	15	15	15	19
  # contig misassemblies	15	16	15	15	15	15	18	15	16	15	15	15	15	18	15	16	15	15	15	15	19
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	13	14	13	13	13	13	16	13	14	13	13	13	13	16	13	14	13	13	13	13	17
    # c. inversions	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4758939	4757842	4758592	4758097	4757948	4757880	4756088	4758938	4757859	4758591	4758127	4757960	4757842	4756101	4758939	4757830	4758588	4758127	4757931	4757812	4756002
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	6	4	4	4	4	4	14	6	4	4	4	4	4	14	6	4	4	4	4	4	14
# local misassemblies	8	8	8	8	8	8	20	8	8	8	8	8	8	20	8	8	8	8	8	8	22
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	14	14	14	14	14	14	11	14	14	14	14	14	14	11	14	14	14	14	14	14	10
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	7	6	6	6	6	6	6	6
# mismatches	19294	19170	19198	19123	19173	19564	21588	19320	19190	19199	19171	19397	19606	21736	19315	19181	19162	19160	19545	19514	21859
# indels	975	748	535	529	1850	1773	10545	973	746	541	534	1899	1761	10625	996	762	538	535	1882	1746	10761
    # indels (<= 5 bp)	879	649	445	438	1758	1683	10369	877	646	451	444	1808	1670	10449	899	660	448	445	1791	1655	10582
    # indels (> 5 bp)	96	99	90	91	92	90	176	96	100	90	90	91	91	176	97	102	90	90	91	91	179
Indels length	5521	5292	4966	4968	6451	6318	19245	5519	5271	4972	4965	6537	6287	19367	5562	5316	4969	4967	6492	6283	19619
