All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
# misassemblies                                 169                169                      169                       174                       169                      178                      172                 168                168                      169                       171                       169                      172                      176                 168                168                      169                       177                       168                      175                      172               
  # contig misassemblies                        169                169                      169                       174                       169                      178                      172                 168                168                      169                       171                       169                      172                      176                 168                168                      169                       177                       168                      175                      172               
    # c. relocations                            5                  5                        4                         9                         4                        9                        5                   5                  4                        4                         6                         4                        6                        5                   5                  4                        4                         10                        4                        7                        5                 
    # c. translocations                         162                162                      163                       163                       163                      167                      163                 161                162                      163                       163                       163                      164                      167                 161                162                      163                       165                       162                      166                      163               
    # c. inversions                             2                  2                        2                         2                         2                        2                        2                   2                  2                        2                         2                         2                        2                        2                   2                  2                        2                         2                         2                        2                        2                 
    # c. interspecies translocations            0                  0                        0                         0                         0                        0                        2                   0                  0                        0                         0                         0                        0                        2                   0                  0                        0                         0                         0                        0                        2                 
  # scaffold misassemblies                      0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. translocations                         0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. interspecies translocations            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassembled contigs                          8                  8                        8                         8                         8                        8                        8                   8                  8                        8                         8                         8                        8                        8                   8                  8                        8                         8                         8                        8                        8                 
Misassembled contigs length                     30866559           30861633                 30864249                  30853622                  30851421                 30845671                 30849678            30866756           30862760                 30864301                  30855523                  30851886                 30847576                 30849158            30866651           30863115                 30864187                  30847828                  30851884                 30843598                 30848199          
# possibly misassembled contigs                 7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                 
    # possible misassemblies                    98                 98                       96                        98                        98                       96                       168                 100                98                       96                        96                        96                       96                       168                 100                98                       96                        96                        98                       94                       164               
# local misassemblies                           118                117                      138                       131                       149                      139                      208                 115                116                      132                       133                       149                      135                      211                 115                117                      134                       130                       150                      145                      204               
# scaffold gap ext. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# scaffold gap loc. mis.                        0                  1                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassemblies caused by fragmented reference  252                253                      250                       252                       249                      249                      172                 253                253                      250                       251                       250                      250                      173                 253                253                      250                       251                       251                      248                      181               
# unaligned mis. contigs                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# mismatches                                    53441              51005                    53448                     53163                     54372                    54301                    82153               53232              50808                    54062                     52943                     53413                    53645                    83129               53370              51141                    53166                     52746                     53505                    53583                    83275             
# indels                                        11611              7304                     7990                      8075                      19279                    18073                    93739               11555              6980                     8217                      7994                      19089                    18171                    94105               11578              7241                     8043                      8004                      19128                    18068                    93530             
    # indels (<= 5 bp)                          10951              6630                     7393                      7474                      18618                    17440                    92494               10903              6320                     7613                      7391                      18438                    17513                    92885               10910              6575                     7452                      7411                      18475                    17433                    92300             
    # indels (> 5 bp)                           660                674                      597                       601                       661                      633                      1245                652                660                      604                       603                       651                      658                      1220                668                666                      591                       593                       653                      635                      1230              
Indels length                                   45792              41705                    40616                     41121                     56997                    54561                    158364              45916              41322                    41318                     40914                     57107                    55122                    158766              46106              41387                    40634                     40565                     56803                    55379                    158210            
