All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                  # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  N50      N75      L50  L75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NA50    NA75    LA50  LA75
r10_2bins_v2_1_MP         8                    8                       8                       8                        8                        8                        30866559                30866559                   30866559                   30866559                    30866559                    30866559                    8          6792242         30866559      30512959          4758939  2992083  3    5    169              8                       30866559                     118                    0                         0                         0                         0 + 7 part           78429             99.400               1.044              0.00               176.22                    38.29                 2390995            30757047              948799  399300  11    24  
r10_2bins_v2_1_MP_helen   8                    8                       8                       8                        8                        8                        30861633                30861633                   30861633                   30861633                    30861633                    30861633                    8          6792185         30861633      30512959          4757800  2992068  3    5    169              8                       30861633                     117                    0                         1                         0                         0 + 7 part           78867             99.393               1.044              0.03               168.20                    24.09                 2390975            30749353              948170  399300  11    23  
r10_2bins_v2_1_r1_medaka  8                    8                       8                       8                        8                        8                        30864249                30864249                   30864249                   30864249                    30864249                    30864249                    8          6792244         30864249      30512959          4758594  2992071  3    5    169              8                       30864249                     138                    0                         0                         0                         0 + 7 part           82596             99.398               1.043              0.00               176.25                    26.35                 2390993            30748342              948783  399301  11    23  
r10_2bins_v2_1_r2_medaka  8                    8                       8                       8                        8                        8                        30853622                30853622                   30853622                   30853622                    30853622                    30853622                    8          6792252         30853622      30512959          4758071  2992074  3    5    174              8                       30853622                     131                    0                         0                         0                         0 + 7 part           81033             99.397               1.043              0.00               175.31                    26.63                 2390991            30739190              948793  399300  11    23  
r10_2bins_v2_1_racon_r1   8                    8                       8                       8                        8                        8                        30851421                30851421                   30851421                   30851421                    30851421                    30851421                    8          6791600         30851421      30512959          4757983  2991898  3    5    169              8                       30851421                     149                    0                         0                         0                         0 + 7 part           78571             99.398               1.043              0.00               179.29                    63.57                 2390867            30742141              949039  399235  11    23  
r10_2bins_v2_1_racon_r2   8                    8                       8                       8                        8                        8                        30845671                30845671                   30845671                   30845671                    30845671                    30845671                    8          6791732         30845671      30512959          4757672  2991964  3    5    178              8                       30845671                     139                    0                         0                         0                         0 + 7 part           78067             99.396               1.043              0.00               179.06                    59.60                 2390936            30736356              949083  399235  11    23  
r10_2bins_v2_1_raw        8                    8                       8                       8                        8                        8                        30849678                30849678                   30849678                   30849678                    30849678                    30849678                    8          6788581         30849678      30512959          4756051  2990667  3    5    172              8                       30849678                     208                    0                         0                         0                         0 + 8 part           141701            99.370               1.027              0.00               270.98                    309.19                2387840            30682147              777743  381417  12    26  
r10_2bins_v2_2_MP         8                    8                       8                       8                        8                        8                        30866756                30866756                   30866756                   30866756                    30866756                    30866756                    8          6792252         30866756      30512959          4758953  2992084  3    5    168              8                       30866756                     115                    0                         0                         0                         0 + 7 part           79248             99.400               1.044              0.00               175.53                    38.10                 2390995            30741473              948896  394048  11    24  
r10_2bins_v2_2_MP_helen   8                    8                       8                       8                        8                        8                        30862760                30862760                   30862760                   30862760                    30862760                    30862760                    8          6792198         30862760      30512959          4757846  2992066  3    5    168              8                       30862760                     116                    0                         0                         0                         0 + 7 part           78734             99.397               1.044              0.00               167.54                    23.02                 2390975            30738065              948227  394042  11    24  
r10_2bins_v2_2_r1_medaka  8                    8                       8                       8                        8                        8                        30864301                30864301                   30864301                   30864301                    30864301                    30864301                    8          6792245         30864301      30512959          4758592  2992071  3    5    169              8                       30864301                     132                    0                         0                         0                         0 + 7 part           81756             99.399               1.044              0.00               178.27                    27.10                 2390992            30736691              948794  394044  11    24  
r10_2bins_v2_2_r2_medaka  8                    8                       8                       8                        8                        8                        30855523                30855523                   30855523                   30855523                    30855523                    30855523                    8          6792243         30855523      30512959          4758065  2992072  3    5    171              8                       30855523                     133                    0                         0                         0                         0 + 7 part           80845             99.399               1.043              0.00               174.58                    26.36                 2390994            30728759              948812  394044  11    24  
r10_2bins_v2_2_racon_r1   8                    8                       8                       8                        8                        8                        30851886                30851886                   30851886                   30851886                    30851886                    30851886                    8          6791577         30851886      30512959          4757922  2991914  3    5    169              8                       30851886                     149                    0                         0                         0                         0 + 7 part           78355             99.398               1.043              0.00               176.13                    62.95                 2390894            30726623              949149  393977  11    24  
r10_2bins_v2_2_racon_r2   8                    8                       8                       8                        8                        8                        30847576                30847576                   30847576                   30847576                    30847576                    30847576                    8          6791686         30847576      30512959          4757649  2991953  3    5    172              8                       30847576                     135                    0                         0                         0                         0 + 7 part           77917             99.399               1.043              0.00               176.89                    59.92                 2390901            30723937              949090  393997  11    24  
r10_2bins_v2_2_raw        8                    8                       8                       8                        8                        8                        30849158                30849158                   30849158                   30849158                    30849158                    30849158                    8          6787718         30849158      30512959          4756088  2990633  3    5    176              8                       30849158                     211                    0                         0                         0                         0 + 8 part           136441            99.371               1.028              0.00               274.19                    310.40                2387942            30674984              777743  369917  12    28  
r10_2bins_v2_3_MP         8                    8                       8                       8                        8                        8                        30866651                30866651                   30866651                   30866651                    30866651                    30866651                    8          6792252         30866651      30512959          4758954  2992084  3    5    168              8                       30866651                     115                    0                         0                         0                         0 + 7 part           79252             99.400               1.044              0.00               175.99                    38.18                 2390995            30749160              948794  399300  11    24  
r10_2bins_v2_3_MP_helen   8                    8                       8                       8                        8                        8                        30863115                30863115                   30863115                   30863115                    30863115                    30863115                    8          6792198         30863115      30512959          4757856  2992066  3    5    168              8                       30863115                     117                    0                         0                         0                         0 + 7 part           78804             99.399               1.044              0.00               168.64                    23.88                 2390978            30748514              948178  399300  11    24  
r10_2bins_v2_3_r1_medaka  8                    8                       8                       8                        8                        8                        30864187                30864187                   30864187                   30864187                    30864187                    30864187                    8          6792245         30864187      30512959          4758593  2992071  3    5    169              8                       30864187                     134                    0                         0                         0                         0 + 7 part           81829             99.398               1.043              0.00               175.32                    26.52                 2390995            30746660              948784  399302  11    24  
r10_2bins_v2_3_r2_medaka  8                    8                       8                       8                        8                        8                        30847828                30847828                   30847828                   30847828                    30847828                    30847828                    8          6792243         30847828      30512959          4758140  2992073  3    5    177              8                       30847828                     130                    0                         0                         0                         0 + 7 part           80999             99.398               1.043              0.00               173.93                    26.39                 2390990            30730897              948763  399302  11    24  
r10_2bins_v2_3_racon_r1   8                    8                       8                       8                        8                        8                        30851884                30851884                   30851884                   30851884                    30851884                    30851884                    8          6791577         30851884      30512959          4757950  2991916  3    5    168              8                       30851884                     150                    0                         0                         0                         0 + 7 part           78252             99.398               1.043              0.00               176.43                    63.08                 2390895            30740025              949082  399226  11    24  
r10_2bins_v2_3_racon_r2   8                    8                       8                       8                        8                        8                        30843598                30843598                   30843598                   30843598                    30843598                    30843598                    8          6791686         30843598      30512959          4757852  2991960  3    5    175              8                       30843598                     145                    0                         0                         0                         0 + 7 part           77033             99.396               1.043              0.00               176.69                    59.58                 2390906            30730863              949108  402942  11    23  
r10_2bins_v2_3_raw        8                    8                       8                       8                        8                        8                        30848199                30848199                   30848199                   30848199                    30848199                    30848199                    8          6787718         30848199      30512959          4756101  2990633  3    5    172              8                       30848199                     204                    0                         0                         0                         0 + 8 part           134441            99.370               1.028              0.00               274.68                    308.51                2387930            30683073              777741  381417  12    26  
