All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
# misassemblies                                 34                 34                       34                        34                        34                       34                       30                  34                 34                       34                        34                        34                       34                       31                  34                 34                       34                        34                        33                       34                       32                
  # contig misassemblies                        34                 34                       34                        34                        34                       34                       30                  34                 34                       34                        34                        34                       34                       31                  34                 34                       34                        34                        33                       34                       32                
    # c. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # c. translocations                         34                 34                       34                        34                        34                       34                       30                  34                 34                       34                        34                        34                       34                       31                  34                 34                       34                        34                        33                       34                       32                
    # c. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
  # scaffold misassemblies                      0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. translocations                         0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassembled contigs                          1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
Misassembled contigs length                     4045600            4045625                  4045591                   4045593                   4045204                  4045287                  4043049             4045597            4045613                  4045604                   4045605                   4045243                  4045295                  4043007             4045597            4045617                  4045586                   4045593                   4045248                  4045340                  4042483           
# possibly misassembled contigs                 1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
    # possible misassemblies                    10                 10                       10                        10                        10                       10                       11                  10                 10                       10                        10                        10                       10                       11                  10                 10                       10                        10                        10                       10                       11                
# local misassemblies                           13                 13                       13                        13                        13                       13                       17                  13                 13                       13                        13                        13                       13                       17                  13                 13                       13                        13                        12                       13                       18                
# scaffold gap ext. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# scaffold gap loc. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassemblies caused by fragmented reference  49                 49                       49                        49                        49                       49                       29                  49                 49                       49                        49                        49                       49                       30                  49                 49                       49                        49                        50                       49                       33                
# unaligned mis. contigs                        6                  6                        6                         6                         6                        6                        4                   6                  6                        6                         6                         6                        6                        5                   6                  6                        6                         6                         6                        6                        5                 
# mismatches                                    3978               3861                     3891                      3853                      3924                     3893                     3243                3871               3794                     3880                      3818                      3881                     3878                     3387                3921               3830                     3851                      3850                      3931                     3956                     3504              
# indels                                        447                450                      425                       407                       906                      781                      4092                436                436                      422                       409                       857                      822                      4192                454                450                      415                       423                       885                      793                      4082              
    # indels (<= 5 bp)                          398                401                      376                       359                       855                      731                      4031                387                387                      373                       361                       809                      774                      4129                403                400                      367                       374                       839                      745                      4026              
    # indels (> 5 bp)                           49                 49                       49                        48                        51                       50                       61                  49                 49                       49                        48                        48                       48                       63                  51                 50                       48                        49                        46                       48                       56                
Indels length                                   2593               2599                     2571                      2527                      3178                     2996                     7267                2567               2576                     2560                      2530                      3088                     3053                     7365                2614               2606                     2535                      2562                      3063                     3016                     7087              
