Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# misassemblies	21	21	21	21	21	21	19	21	21	21	21	21	21	19	21	21	21	21	21	21	18
  # contig misassemblies	21	21	21	21	21	21	19	21	21	21	21	21	21	19	21	21	21	21	21	21	18
    # c. relocations	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. translocations	20	20	20	20	20	20	18	20	20	20	20	20	20	18	20	20	20	20	20	20	17
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4765357	4765332	4765357	4765355	4764584	4764687	4763514	4765355	4765369	4765398	4765353	4764761	4764686	4763493	4765363	4765342	4765361	4765354	4764595	4764670	4763481
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	12	12	12	12	12	12	34	12	12	12	12	12	12	34	12	12	12	12	12	12	32
# local misassemblies	36	36	37	37	36	37	58	36	36	36	36	38	36	61	36	36	37	37	36	36	57
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	42	42	42	42	42	42	36	42	42	42	42	42	42	35	42	42	42	42	42	42	35
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	20714	20524	20647	20660	20862	21205	22509	20704	20542	20694	20642	21042	21074	22670	20724	20561	20700	20610	20644	21133	22491
# indels	971	862	706	704	1743	1581	10972	953	775	720	719	1741	1592	11069	950	839	714	715	1744	1581	11041
    # indels (<= 5 bp)	872	760	610	608	1646	1485	10772	852	675	621	621	1645	1495	10869	851	740	618	619	1645	1483	10841
    # indels (> 5 bp)	99	102	96	96	97	96	200	101	100	99	98	96	97	200	99	99	96	96	99	98	200
Indels length	6250	6192	5835	5830	7122	6833	20126	6236	6052	5996	5959	7059	6934	20304	6216	6133	5842	5845	7130	6934	20238
