Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_2bins_v2_1_MP	21	21	1	20	0	0	0	0	0	1	4765357	1	12	36	0	0	42	6	20714	971	872	99	6250
r10_2bins_v2_1_MP_helen	21	21	1	20	0	0	0	0	0	1	4765332	1	12	36	0	0	42	6	20524	862	760	102	6192
r10_2bins_v2_1_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765357	1	12	37	0	0	42	6	20647	706	610	96	5835
r10_2bins_v2_1_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765355	1	12	37	0	0	42	6	20660	704	608	96	5830
r10_2bins_v2_1_racon_r1	21	21	1	20	0	0	0	0	0	1	4764584	1	12	36	0	0	42	6	20862	1743	1646	97	7122
r10_2bins_v2_1_racon_r2	21	21	1	20	0	0	0	0	0	1	4764687	1	12	37	0	0	42	6	21205	1581	1485	96	6833
r10_2bins_v2_1_raw	19	19	1	18	0	0	0	0	0	1	4763514	1	34	58	0	0	36	5	22509	10972	10772	200	20126
r10_2bins_v2_2_MP	21	21	1	20	0	0	0	0	0	1	4765355	1	12	36	0	0	42	6	20704	953	852	101	6236
r10_2bins_v2_2_MP_helen	21	21	1	20	0	0	0	0	0	1	4765369	1	12	36	0	0	42	6	20542	775	675	100	6052
r10_2bins_v2_2_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765398	1	12	36	0	0	42	6	20694	720	621	99	5996
r10_2bins_v2_2_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765353	1	12	36	0	0	42	6	20642	719	621	98	5959
r10_2bins_v2_2_racon_r1	21	21	1	20	0	0	0	0	0	1	4764761	1	12	38	0	0	42	6	21042	1741	1645	96	7059
r10_2bins_v2_2_racon_r2	21	21	1	20	0	0	0	0	0	1	4764686	1	12	36	0	0	42	6	21074	1592	1495	97	6934
r10_2bins_v2_2_raw	19	19	1	18	0	0	0	0	0	1	4763493	1	34	61	0	0	35	6	22670	11069	10869	200	20304
r10_2bins_v2_3_MP	21	21	1	20	0	0	0	0	0	1	4765363	1	12	36	0	0	42	6	20724	950	851	99	6216
r10_2bins_v2_3_MP_helen	21	21	1	20	0	0	0	0	0	1	4765342	1	12	36	0	0	42	6	20561	839	740	99	6133
r10_2bins_v2_3_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765361	1	12	37	0	0	42	6	20700	714	618	96	5842
r10_2bins_v2_3_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765354	1	12	37	0	0	42	6	20610	715	619	96	5845
r10_2bins_v2_3_racon_r1	21	21	1	20	0	0	0	0	0	1	4764595	1	12	36	0	0	42	6	20644	1744	1645	99	7130
r10_2bins_v2_3_racon_r2	21	21	1	20	0	0	0	0	0	1	4764670	1	12	36	0	0	42	6	21133	1581	1483	98	6934
r10_2bins_v2_3_raw	18	18	1	17	0	0	0	0	0	1	4763481	1	32	57	0	0	35	6	22491	11041	10841	200	20238
