All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75    LGA50  LGA75
r10_2bins_v2_1_MP         7                       7                        7                        7                        24074317                   24074317                    24074317                    24074317                    7          4765357         24074317      2820294           44.80   37.44             4045600  4765357  2845424  4765357  3    1     5    1     1                1                       2845424                      16                     0                         0                         6                         0 + 6 part           21097256          99.954               1.056              0.00               248.40                    15.58                 2390858            2971632               2390858  2390858  1      1    
r10_2bins_v2_1_MP_helen   7                       7                        7                        7                        24069448                   24069448                    24069448                    24069448                    7          4765332         24069448      2820294           44.80   37.44             4045625  4765332  2845372  4765332  3    1     5    1     1                1                       2845372                      16                     0                         0                         6                         0 + 6 part           21091462          99.954               1.057              0.04               251.38                    15.79                 2390838            2972566               2390838  2390838  1      1    
r10_2bins_v2_1_r1_medaka  7                       7                        7                        7                        24072005                   24072005                    24072005                    24072005                    7          4765357         24072005      2820294           44.80   37.44             4045591  4765357  2845429  4765357  3    1     5    1     1                1                       2845429                      16                     0                         0                         6                         0 + 6 part           21094714          99.954               1.056              0.00               248.08                    14.19                 2390856            2971862               2390856  2390856  1      1    
r10_2bins_v2_1_r2_medaka  7                       7                        7                        7                        24061370                   24061370                    24061370                    24061370                    7          4765355         24061370      2820294           44.79   37.44             4045593  4765355  2845427  4765355  3    1     5    1     1                1                       2845427                      16                     0                         0                         6                         0 + 6 part           21082965          99.954               1.057              0.00               251.81                    13.94                 2390854            2972976               2390854  2390854  1      1    
r10_2bins_v2_1_racon_r1   7                       7                        7                        7                        24059821                   24059821                    24059821                    24059821                    7          4764584         24059821      2820294           44.79   37.44             4045204  4764584  2845272  4764584  3    1     5    1     1                1                       2845272                      16                     0                         0                         6                         0 + 6 part           21085873          99.954               1.055              0.00               238.93                    23.24                 2390730            2968521               2390730  2390730  1      1    
r10_2bins_v2_1_racon_r2   7                       7                        7                        7                        24053939                   24053939                    24053939                    24053939                    7          4764687         24053939      2820294           44.79   37.44             4045287  4764687  2845846  4764687  3    1     5    1     1                1                       2845846                      17                     0                         0                         6                         0 + 6 part           21078978          99.954               1.056              0.00               239.53                    20.51                 2390799            2969045               2390799  2390799  1      1    
r10_2bins_v2_1_raw        7                       7                        7                        7                        24061097                   24061097                    24061097                    24061097                    7          4763514         24061097      2820294           44.77   37.44             4043049  4763514  2843858  4763514  3    1     5    1     1                1                       2843858                      19                     0                         0                         6                         0 + 7 part           21151415          99.947               1.032              0.00               157.16                    131.00                2387703            2907951               2387703  2387703  1      1    
r10_2bins_v2_2_MP         7                       7                        7                        7                        24074504                   24074504                    24074504                    24074504                    7          4765355         24074504      2820294           44.80   37.44             4045597  4765355  2845424  4765355  3    1     5    1     1                1                       2845424                      16                     0                         0                         6                         0 + 6 part           21097385          99.954               1.056              0.00               249.22                    15.90                 2390858            2971690               2390858  2390858  1      1    
r10_2bins_v2_2_MP_helen   7                       7                        7                        7                        24070562                   24070562                    24070562                    24070562                    7          4765369         24070562      2820294           44.80   37.44             4045613  4765369  2845368  4765369  3    1     5    1     1                1                       2845368                      16                     0                         0                         6                         0 + 6 part           21092176          99.954               1.057              0.00               252.80                    15.75                 2390838            2972981               2390838  2390838  1      1    
r10_2bins_v2_2_r1_medaka  7                       7                        7                        7                        24072056                   24072056                    24072056                    24072056                    7          4765398         24072056      2820294           44.80   37.44             4045604  4765398  2845428  4765398  3    1     5    1     1                1                       2845428                      16                     0                         0                         6                         0 + 6 part           21093248          99.954               1.057              0.00               252.98                    14.30                 2390855            2973379               2390855  2390855  1      1    
