Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_2bins_v2_1_MP	7	7	7	7	24074317	24074317	24074317	24074317	7	4765357	24074317	2958570	44.80	37.84	4045600	4765357	2845424	4765357	3	1	5	1	2	1	2992083	7	0	0	6	0 + 7 part	20956493	99.984	1.054	0.00	229.09	21.91	1569036	3117350	1569036	1410523	1	2
r10_2bins_v2_1_MP_helen	7	7	7	7	24069448	24069448	24069448	24069448	7	4765332	24069448	2958570	44.80	37.84	4045625	4765332	2845372	4765332	3	1	5	1	2	1	2992068	7	0	0	6	0 + 7 part	20949269	99.984	1.055	0.04	235.48	22.32	1569031	3119695	1569031	1410494	1	2
r10_2bins_v2_1_r1_medaka	7	7	7	7	24072005	24072005	24072005	24072005	7	4765357	24072005	2958570	44.80	37.84	4045591	4765357	2845429	4765357	3	1	5	1	2	1	2992071	7	0	0	6	0 + 7 part	20951712	99.984	1.055	0.00	234.50	22.32	1569033	3119819	1569033	1410514	1	2
r10_2bins_v2_1_r2_medaka	7	7	7	7	24061370	24061370	24061370	24061370	7	4765355	24061370	2958570	44.79	37.84	4045593	4765355	2845427	4765355	3	1	5	1	2	1	2992074	7	0	0	6	0 + 7 part	20941228	99.984	1.055	0.00	233.59	22.11	1569033	3119668	1569033	1410517	1	2
r10_2bins_v2_1_racon_r1	7	7	7	7	24059821	24059821	24059821	24059821	7	4764584	24059821	2958570	44.79	37.84	4045204	4764584	2845272	4764584	3	1	5	1	2	1	2991898	7	0	0	6	0 + 7 part	20940931	99.984	1.055	0.00	230.58	31.82	1568933	3118416	1568933	1410442	1	2
r10_2bins_v2_1_racon_r2	7	7	7	7	24053939	24053939	24053939	24053939	7	4764687	24053939	2958570	44.79	37.84	4045287	4764687	2845846	4764687	3	1	5	1	2	1	2991964	7	0	0	6	0 + 7 part	20934301	99.984	1.055	0.00	233.76	30.33	1568978	3119164	1568978	1410462	1	2
r10_2bins_v2_1_raw	8	8	8	8	30849678	30849678	30849678	30849678	8	6788581	30849678	2958570	49.48	37.84	4756051	6788581	2990667	6788581	3	1	5	1	2	1	2990667	14	0	0	7	0 + 8 part	27792879	99.981	1.034	0.00	143.34	116.70	1568362	3056409	1568362	1409724	1	2
r10_2bins_v2_2_MP	7	7	7	7	24074504	24074504	24074504	24074504	7	4765355	24074504	2958570	44.80	37.84	4045597	4765355	2845424	4765355	3	1	5	1	2	1	2992084	7	0	0	6	0 + 7 part	20957020	99.984	1.054	0.00	228.41	21.34	1569037	3117010	1569037	1410523	1	2
r10_2bins_v2_2_MP_helen	7	7	7	7	24070562	24070562	24070562	24070562	7	4765369	24070562	2958570	44.80	37.84	4045613	4765369	2845368	4765369	3	1	5	1	2	1	2992066	7	0	0	6	0 + 7 part	20950603	99.984	1.055	0.00	235.38	21.71	1569030	3119485	1569030	1410493	1	2
r10_2bins_v2_2_r1_medaka	7	7	7	7	24072056	24072056	24072056	24072056	7	4765398	24072056	2958570	44.80	37.84	4045604	4765398	2845428	4765398	3	1	5	1	2	1	2992071	7	0	0	6	0 + 7 part	20951976	99.984	1.055	0.00	234.50	22.42	1569033	3119606	1569033	1410514	1	2
r10_2bins_v2_2_r2_medaka	7	7	7	7	24063280	24063280	24063280	24063280	7	4765353	24063280	2958570	44.80	37.84	4045605	4765353	2845430	4765353	3	1	5	1	2	1	2992072	7	0	0	6	0 + 7 part	20943224	99.984	1.055	0.00	233.52	22.32	1569032	3119582	1569032	1410516	1	2
r10_2bins_v2_2_racon_r1	7	7	7	7	24060309	24060309	24060309	24060309	7	4764761	24060309	2958570	44.79	37.84	4045243	4764761	2845282	4764761	3	1	5	1	2	1	2991914	7	0	0	6	0 + 7 part	20942200	99.984	1.054	0.00	226.69	31.51	1568965	3117635	1568965	1410426	1	2
r10_2bins_v2_2_racon_r2	7	7	7	7	24055890	24055890	24055890	24055890	7	4764686	24055890	2958570	44.79	37.84	4045295	4764686	2845321	4764686	3	1	5	1	2	1	2991953	7	0	0	6	0 + 7 part	20936764	99.984	1.055	0.00	231.15	30.37	1568980	3118652	1568980	1410450	1	2
r10_2bins_v2_2_raw	8	8	8	8	30849158	30849158	30849158	30849158	8	6787718	30849158	2958570	49.48	37.84	4756088	6787718	2990633	6787718	3	1	5	1	2	1	2990633	14	0	0	7	0 + 8 part	27791702	99.981	1.034	0.00	144.12	116.43	1568349	3057073	1568349	1409725	1	2
