All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
# misassemblies                                 13                 13                       13                        13                        13                       13                       13                  13                 13                       13                        13                        13                       13                       15                  13                 13                       13                        13                        13                       13                       13                
  # contig misassemblies                        13                 13                       13                        13                        13                       13                       13                  13                 13                       13                        13                        13                       13                       15                  13                 13                       13                        13                        13                       13                       13                
    # c. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # c. translocations                         13                 13                       13                        13                        13                       13                       13                  13                 13                       13                        13                        13                       13                       15                  13                 13                       13                        13                        13                       13                       13                
    # c. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
  # scaffold misassemblies                      0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. translocations                         0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassembled contigs                          1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
Misassembled contigs length                     2719574            2717922                  2719543                   2719562                   2720329                  2720423                  2718431             2719745            2717983                  2719603                   2719633                   2720494                  2720498                  2718867             2719589            2717938                  2719539                   2719544                   2720372                  2720459                  2718437           
# possibly misassembled contigs                 1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
    # possible misassemblies                    10                 10                       10                        10                        10                       10                       18                  10                 10                       10                        10                        10                       10                       20                  10                 10                       10                        10                        10                       10                       16                
# local misassemblies                           10                 9                        9                         9                         10                       10                       20                  9                  9                        9                         9                         9                        10                       19                  9                  9                        9                         9                         10                       9                        19                
# scaffold gap ext. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# scaffold gap loc. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassemblies caused by fragmented reference  26                 26                       26                        26                        26                       26                       23                  26                 26                       26                        26                        26                       26                       22                  26                 26                       26                        26                        26                       26                       25                
# unaligned mis. contigs                        6                  6                        6                         6                         6                        6                        4                   6                  6                        6                         6                         6                        6                        5                   6                  6                        6                         6                         6                        6                        5                 
# mismatches                                    7677               6881                     7675                      7736                      7620                     8017                     6542                7585               6749                     7692                      7598                      7633                     7793                     6850                7676               6889                     7661                      7766                      7472                     7995                     6711              
# indels                                        2965               1176                     2024                      2051                      2937                     3009                     4268                2978               1117                     2058                      2067                      2958                     2940                     4444                2964               1176                     2015                      2058                      2921                     3005                     4262              
    # indels (<= 5 bp)                          2889               1110                     1973                      2000                      2884                     2955                     4205                2911               1054                     2007                      2016                      2906                     2887                     4389                2888               1110                     1964                      2006                      2869                     2953                     4202              
    # indels (> 5 bp)                           76                 66                       51                        51                        53                       54                       63                  67                 63                       51                        51                        52                       53                       55                  76                 66                       51                        52                        52                       52                       60                
Indels length                                   6931               4974                     5351                      5372                      6680                     6687                     8388                6853               4886                     5389                      5399                      6731                     6659                     8526                6929               4979                     5341                      5404                      6672                     6718                     8364              
