S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1196	se_ill_se_contig56	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1197	52855	se_ill_se_contig27	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350707	52856	se_ill_se_contig2	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350708	351100	se_ill_se_contig69	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355167	351101	se_ill_se_contig46	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355168	358839	se_ill_se_contig47	contig_94	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358840	360617	se_ill_se_contig53	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361104	360618	se_ill_se_contig63	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85975	162102	437231	361105	se_ill_se_contig11	contig_94	99.99		True
local misassembly
1	86096	523352	437256	se_ill_se_contig11	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524493	523353	se_ill_se_contig56	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524494	538218	se_ill_se_contig4	contig_94	100.0		True
local misassembly
13844	16547	538219	540922	se_ill_se_contig4	contig_94	98.98		True
local misassembly
16782	245298	540923	769443	se_ill_se_contig4	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769444	771176	se_ill_se_contig54	contig_94	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771177	772022	se_ill_se_contig58	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772023	773536	se_ill_se_contig55	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773537	773968	se_ill_se_contig65	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774459	773969	se_ill_se_contig64	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774460	779180	se_ill_se_contig43	contig_94	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784390	779181	se_ill_se_contig41	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805542	784391	se_ill_se_contig37	contig_94	100.0		True
translocation
103637	104041	805543	805947	se_ill_se_contig19	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	805948	808334	se_ill_se_contig42	contig_94	99.96		True
translocation
1	660	808349	809008	se_ill_se_contig60	contig_94	100.0		True
translocation
3345	5023	809192	810870	se_ill_se_contig42	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	810871	860006	se_ill_se_contig7	contig_94	100.0		True
inversion
49137	50103	860973	860007	se_ill_se_contig7	contig_94	100.0		True
inversion
