Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# misassemblies	15	16	15	15	15	15	18	15	16	15	15	15	15	19	15	16	15	15	15	15	18
  # contig misassemblies	15	16	15	15	15	15	18	15	16	15	15	15	15	19	15	16	15	15	15	15	18
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	13	14	13	13	13	13	16	13	14	13	13	13	13	17	13	14	13	13	13	13	16
    # c. inversions	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4758939	4757800	4758594	4758071	4757983	4757672	4756051	4758953	4757846	4758592	4758065	4757922	4757649	4756088	4758954	4757856	4758593	4758140	4757950	4757852	4756101
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	6	4	4	4	4	4	14	6	4	4	4	4	4	14	6	4	4	4	4	4	14
# local misassemblies	8	8	8	7	8	8	22	8	8	8	7	8	8	20	8	8	8	8	8	8	20
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	14	14	14	14	14	14	10	14	14	14	14	14	14	11	14	14	14	14	14	14	11
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	19357	19224	19202	19199	19365	19488	21709	19318	19291	19026	19024	19510	19761	21607	19348	19236	19202	19188	19463	19653	21735
# indels	1002	767	538	533	1695	1607	10529	986	747	524	520	1678	1626	10559	985	750	539	530	1731	1631	10626
    # indels (<= 5 bp)	905	665	448	442	1603	1517	10353	890	648	435	430	1586	1535	10385	889	650	449	440	1640	1540	10450
    # indels (> 5 bp)	97	102	90	91	92	90	176	96	99	89	90	92	91	174	96	100	90	90	91	91	176
Indels length	5568	5350	4972	5042	6294	6144	19192	5532	5293	4946	5021	6266	6163	19220	5533	5276	4971	4960	6349	6182	19367
