All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50   NGA75   LGA50  LGA75
r10_2bins_v2_1_MP         7                       7                        7                        7                        24074317                   24074317                    24074317                    24074317                    7          4765357         24074317      4738357           44.80   52.15             4045600  4765357  2845424  4765357  3    1     5    1     15               1                       4758939                      8                      0                         0                         6                         0 + 7 part           19036983          98.918               1.075              0.00               413.09                    21.38                 1342500            5034992               745398  611503  3      5    
r10_2bins_v2_1_MP_helen   7                       7                        7                        7                        24069448                   24069448                    24069448                    24069448                    7          4765332         24069448      4738357           44.80   52.15             4045625  4765332  2845372  4765332  3    1     5    1     16               1                       4757800                      8                      0                         0                         6                         0 + 7 part           19032555          98.919               1.075              0.04               410.25                    16.37                 1342442            5034596               745356  611468  3      5    
r10_2bins_v2_1_r1_medaka  7                       7                        7                        7                        24072005                   24072005                    24072005                    24072005                    7          4765357         24072005      4738357           44.80   52.15             4045591  4765357  2845429  4765357  3    1     5    1     15               1                       4758594                      8                      0                         0                         6                         0 + 7 part           19034974          98.920               1.075              0.00               409.77                    11.48                 1342476            5034688               745370  611516  3      5    
r10_2bins_v2_1_r2_medaka  7                       7                        7                        7                        24061370                   24061370                    24061370                    24061370                    7          4765355         24061370      4738357           44.79   52.15             4045593  4765355  2845427  4765355  3    1     5    1     15               1                       4758071                      7                      0                         0                         6                         0 + 7 part           19024809          98.920               1.075              0.00               409.71                    11.37                 1342473            5034218               745370  611516  3      5    
r10_2bins_v2_1_racon_r1   7                       7                        7                        7                        24059821                   24059821                    24059821                    24059821                    7          4764584         24059821      4738357           44.79   52.15             4045204  4764584  2845272  4764584  3    1     5    1     15               1                       4757983                      8                      0                         0                         6                         0 + 7 part           19023463          98.920               1.075              0.00               413.25                    36.17                 1342297            5034014               745283  611440  3      5    
r10_2bins_v2_1_racon_r2   7                       7                        7                        7                        24053939                   24053939                    24053939                    24053939                    7          4764687         24053939      4738357           44.79   52.15             4045287  4764687  2845846  4764687  3    1     5    1     15               1                       4757672                      8                      0                         0                         6                         0 + 7 part           19016971          98.920               1.075              0.00               415.88                    34.29                 1342296            5034705               745276  611432  3      5    
r10_2bins_v2_1_raw        6                       6                        6                        6                        25287389                   25287389                    25287389                    25287389                    6          6788581         25287389      4738357           52.62   52.15             4756051  6788581  4043049  6788581  3    1     4    1     18               1                       4756051                      22                     0                         0                         5                         0 + 6 part           20332702          98.896               1.058              0.00               463.38                    224.74                1341434            4952509               744979  433863  3      5    
r10_2bins_v2_2_MP         7                       7                        7                        7                        24074504                   24074504                    24074504                    24074504                    7          4765355         24074504      4738357           44.80   52.15             4045597  4765355  2845424  4765355  3    1     5    1     15               1                       4758953                      8                      0                         0                         6                         0 + 7 part           19037921          98.918               1.075              0.00               412.26                    21.04                 1342500            5034241               745397  611517  3      5    
r10_2bins_v2_2_MP_helen   7                       7                        7                        7                        24070562                   24070562                    24070562                    24070562                    7          4765369         24070562      4738357           44.80   52.15             4045613  4765369  2845368  4765369  3    1     5    1     16               1                       4757846                      8                      0                         0                         6                         0 + 7 part           19033870          98.919               1.075              0.00               411.68                    15.94                 1342446            5034405               745357  611512  3      5    
r10_2bins_v2_2_r1_medaka  7                       7                        7                        7                        24072056                   24072056                    24072056                    24072056                    7          4765398         24072056      4738357           44.80   52.15             4045604  4765398  2845428  4765398  3    1     5    1     15               1                       4758592                      8                      0                         0                         6                         0 + 7 part           19036923          98.920               1.075              0.00               406.02                    11.18                 1342474            5032791               745369  611516  3      5    
r10_2bins_v2_2_r2_medaka  7                       7                        7                        7                        24063280                   24063280                    24063280                    24063280                    7          4765353         24063280      4738357           44.80   52.15             4045605  4765353  2845430  4765353  3    1     5    1     15               1                       4758065                      7                      0                         0                         6                         0 + 7 part           19028665          98.920               1.074              0.00               405.97                    11.10                 1342473            5032273               745368  611515  3      5    
r10_2bins_v2_2_racon_r1   7                       7                        7                        7                        24060309                   24060309                    24060309                    24060309                    7          4764761         24060309      4738357           44.79   52.15             4045243  4764761  2845282  4764761  3    1     5    1     15               1                       4757922                      8                      0                         0                         6                         0 + 7 part           19023234          98.920               1.075              0.00               416.35                    35.81                 1342276            5034731               745271  611434  3      5    
r10_2bins_v2_2_racon_r2   7                       7                        7                        7                        24055890                   24055890                    24055890                    24055890                    7          4764686         24055890      4738357           44.79   52.15             4045295  4764686  2845321  4764686  3    1     5    1     15               1                       4757649                      8                      0                         0                         6                         0 + 7 part           19016296          98.920               1.075              0.00               421.70                    34.70                 1342300            5037249               745277  611426  3      5    
r10_2bins_v2_2_raw        7                       7                        7                        7                        28130291                   28130291                    28130291                    28130291                    7          6787718         28130291      4738357           51.10   52.15             4756088  6787718  2990633  6787718  3    1     5    1     19               1                       4756088                      20                     0                         0                         6                         0 + 7 part           23176600          98.894               1.057              0.00               461.22                    225.39                958285             4951565               744987  383172  3      6    
r10_2bins_v2_3_MP         7                       7                        7                        7                        24074399                   24074399                    24074399                    24074399                    7          4765363         24074399      4738357           44.80   52.15             4045597  4765363  2845424  4765363  3    1     5    1     15               1                       4758954                      8                      0                         0                         6                         0 + 7 part           19037001          98.918               1.075              0.00               412.90                    21.02                 1342500            5035056               745399  611517  3      5    
r10_2bins_v2_3_MP_helen   7                       7                        7                        7                        24070917                   24070917                    24070917                    24070917                    7          4765342         24070917      4738357           44.80   52.15             4045617  4765342  2845363  4765342  3    1     5    1     16               1                       4757856                      8                      0                         0                         6                         0 + 7 part           19033930          98.918               1.075              0.00               410.51                    16.01                 1342443            5034700               745354  611510  3      5    
r10_2bins_v2_3_r1_medaka  7                       7                        7                        7                        24071942                   24071942                    24071942                    24071942                    7          4765361         24071942      4738357           44.80   52.15             4045586  4765361  2845431  4765361  3    1     5    1     15               1                       4758593                      8                      0                         0                         6                         0 + 7 part           19034839          98.920               1.075              0.00               409.77                    11.50                 1342475            5034760               745372  611515  3      5    
r10_2bins_v2_3_r2_medaka  7                       7                        7                        7                        24055585                   24055585                    24055585                    24055585                    7          4765354         24055585      4738357           44.80   52.15             4045593  4765354  2845427  4765354  3    1     5    1     15               1                       4758140                      8                      0                         0                         6                         0 + 7 part           19019162          98.920               1.075              0.00               409.47                    11.31                 1342474            5034080               745370  611515  3      5    
r10_2bins_v2_3_racon_r1   7                       7                        7                        7                        24060307                   24060307                    24060307                    24060307                    7          4764595         24060307      4738357           44.79   52.15             4045248  4764595  2845312  4764595  3    1     5    1     15               1                       4757950                      8                      0                         0                         6                         0 + 7 part           19023279          98.920               1.075              0.00               415.34                    36.94                 1342281            5034689               745261  611422  3      5    
r10_2bins_v2_3_racon_r2   7                       7                        7                        7                        24051912                   24051912                    24051912                    24051912                    7          4764670         24051912      4738357           44.78   52.15             4045340  4764670  2845321  4764670  3    1     5    1     15               1                       4757852                      8                      0                         0                         6                         0 + 7 part           19013309          98.920               1.075              0.00               419.40                    34.81                 1342299            5036341               745268  611447  3      5    
