All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly               # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  N50      N75      L50  L75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NA50    NA75    LA50  LA75
r10_2bins_1_MP         8                    8                       8                       8                        8                        8                        30867659                30867659                   30867659                   30867659                    30867659                    30867659                    8          6792253         30867659      30512959          4758965  2992084  3    5    168              8                       30867659                     117                    0                         0                         0                         0 + 7 part           79301             99.400               1.044              0.00               175.41                    38.49                 2390997            30752499              948963  399305  11    24  
r10_2bins_1_MP_helen   8                    8                       8                       8                        8                        8                        30863086                30863086                   30863086                   30863086                    30863086                    30863086                    8          6792196         30863086      30512959          4757933  2992068  3    5    167              8                       30863086                     121                    0                         0                         0                         0 + 7 part           79024             99.395               1.044              0.00               168.53                    23.74                 2390976            30750611              948260  399300  11    24  
r10_2bins_1_r1_medaka  8                    8                       8                       8                        8                        8                        30864993                30864993                   30864993                   30864993                    30864993                    30864993                    8          6792240         30864993      30512959          4758577  2992075  3    5    168              8                       30864993                     136                    0                         0                         0                         0 + 7 part           82721             99.399               1.043              0.00               175.77                    26.70                 2390994            30746527              948811  399305  11    24  
r10_2bins_1_r2_medaka  8                    8                       8                       8                        8                        8                        30854445                30854445                   30854445                   30854445                    30854445                    30854445                    8          6792242         30854445      30512959          4758103  2992072  3    5    172              8                       30854445                     135                    0                         0                         0                         0 + 7 part           82427             99.398               1.044              0.00               175.01                    26.23                 2390996            30733907              948796  399302  11    24  
r10_2bins_1_racon_r1   8                    8                       8                       8                        8                        8                        30851823                30851823                   30851823                   30851823                    30851823                    30851823                    8          6791560         30851823      30512959          4757936  2991900  3    5    167              8                       30851823                     149                    0                         0                         0                         0 + 7 part           78902             99.398               1.043              0.00               175.33                    62.95                 2390889            30739809              949071  399225  11    24  
r10_2bins_1_racon_r2   8                    8                       8                       8                        8                        8                        30845869                30845869                   30845869                   30845869                    30845869                    30845869                    8          6791674         30845869      30512959          4757875  2991958  3    5    174              8                       30845869                     140                    0                         0                         0                         0 + 7 part           77927             99.397               1.043              0.00               179.74                    59.78                 2390913            30732404              949118  399227  11    24  
r10_2bins_1_raw        8                    8                       8                       8                        8                        8                        30849737                30849737                   30849737                   30849737                    30849737                    30849737                    8          6787718         30849737      30512959          4756113  2990676  3    5    176              8                       30849737                     203                    0                         0                         0                         0 + 8 part           140331            99.370               1.028              0.00               270.00                    305.83                2387942            30681021              777689  376875  12    27  
r10_2bins_2_MP         8                    8                       8                       8                        8                        8                        30867164                30867164                   30867164                   30867164                    30867164                    30867164                    8          6792241         30867164      30512959          4758986  2992084  3    5    170              8                       30867164                     115                    0                         0                         0                         0 + 7 part           78460             99.400               1.044              0.00               176.66                    38.54                 2390997            30752876              948962  399306  11    24  
r10_2bins_2_MP_helen   8                    8                       8                       8                        8                        8                        30863526                30863526                   30863526                   30863526                    30863526                    30863526                    8          6792182         30863526      30512959          4758029  2992066  3    5    167              8                       30863526                     116                    0                         0                         0                         0 + 7 part           78392             99.400               1.044              0.00               168.47                    23.64                 2390976            30749307              948258  399299  11    23  
r10_2bins_2_r1_medaka  8                    8                       8                       8                        8                        8                        30865115                30865115                   30865115                   30865115                    30865115                    30865115                    8          6792245         30865115      30512959          4758599  2992074  3    5    167              8                       30865115                     132                    0                         0                         0                         0 + 7 part           81958             99.398               1.044              0.00               176.96                    26.60                 2390995            30747422              948799  399302  11    23  
