Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_2bins_1_MP	34	34	0	34	0	0	0	0	0	1	4045595	1	10	13	0	0	49	6	3927	448	397	51	2608
r10_2bins_1_MP_helen	34	34	0	34	0	0	0	0	0	1	4045617	1	10	13	0	0	49	6	3830	448	398	50	2601
r10_2bins_1_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045595	1	10	13	0	0	49	6	3821	409	361	48	2529
r10_2bins_1_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045588	1	10	13	0	0	49	6	3846	419	370	49	2556
r10_2bins_1_racon_r1	33	33	0	33	0	0	0	0	0	1	4045225	1	10	12	0	0	50	6	3921	864	815	49	3043
r10_2bins_1_racon_r2	34	34	0	34	0	0	0	0	0	1	4045305	1	10	13	0	0	49	6	4021	802	753	49	3014
r10_2bins_1_raw	31	31	0	31	0	0	0	0	0	1	4042957	1	11	19	0	0	30	6	3491	4165	4109	56	7179
r10_2bins_2_MP	34	34	0	34	0	0	0	0	0	1	4045604	1	10	13	0	0	49	6	3894	436	386	50	2577
r10_2bins_2_MP_helen	34	34	0	34	0	0	0	0	0	1	4045620	1	10	13	0	0	49	6	3815	440	391	49	2580
r10_2bins_2_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045593	1	10	13	0	0	49	6	3875	416	367	49	2555
r10_2bins_2_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045591	1	10	13	0	0	49	6	3839	425	376	49	2561
r10_2bins_2_racon_r1	34	34	0	34	0	0	0	0	0	1	4045221	1	10	13	0	0	49	6	3918	909	859	50	3163
r10_2bins_2_racon_r2	34	34	0	34	0	0	0	0	0	1	4045309	1	10	13	0	0	49	6	3893	787	737	50	3023
r10_2bins_2_raw	31	31	0	31	0	0	0	0	0	1	4043006	1	11	17	0	0	30	5	3424	4173	4110	63	7354
r10_2bins_3_MP	34	34	0	34	0	0	0	0	0	1	4045604	1	10	13	0	0	49	6	3894	436	386	50	2577
r10_2bins_3_MP_helen	34	34	0	34	0	0	0	0	0	1	4045624	1	10	13	0	0	49	6	3815	439	390	49	2579
r10_2bins_3_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045591	1	10	13	0	0	49	6	3871	425	376	49	2563
r10_2bins_3_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045594	1	10	13	0	0	49	6	3857	414	366	48	2537
r10_2bins_3_racon_r1	34	34	0	34	0	0	0	0	0	1	4045221	1	10	13	0	0	49	6	3972	893	845	48	3149
r10_2bins_3_racon_r2	34	34	0	34	0	0	0	0	0	1	4045286	1	10	13	0	0	49	6	3910	810	762	48	3012
r10_2bins_3_raw	31	31	0	31	0	0	0	0	0	1	4043031	1	11	17	0	0	30	4	3416	4170	4106	64	7350
