All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# misassemblies                                 21              21                    21                     21                     21                    21                    20               21              21                    21                     21                     21                    21                    21               21              21                    21                     21                     21                    21                    19             
  # contig misassemblies                        21              21                    21                     21                     21                    21                    20               21              21                    21                     21                     21                    21                    21               21              21                    21                     21                     21                    21                    19             
    # c. relocations                            1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # c. translocations                         20              20                    20                     20                     20                    20                    19               20              20                    20                     20                     20                    20                    20               20              20                    20                     20                     20                    20                    18             
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     4766016         4765867               4765431                4765364                4764829               4764690               4764018          4765469         4765339               4765413                4765389                4765359               4764750               4763884          4765404         4765326               4765369                4765362                4764572               4764639               4763513        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # possible misassemblies                    12              12                    12                     12                     12                    12                    30               12              12                    12                     12                     12                    12                    36               12              12                    12                     12                     12                    12                    34             
# local misassemblies                           37              38                    37                     36                     37                    37                    47               36              37                    36                     37                     39                    37                    57               36              37                    37                     37                     36                    36                    61             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  42              42                    42                     42                     42                    42                    39               42              42                    42                     42                     42                    42                    38               42              42                    42                     42                     42                    42                    35             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6              
# mismatches                                    20663           20545                 20742                  20679                  20695                 20631                 22805            20496           20425                 20689                  20627                  20848                 20908                 22374            20637           20559                 20705                  20696                  20967                 20871                 22520          
# indels                                        983             877                   715                    700                    1763                  1624                  10758            965             847                   723                    700                    1781                  1603                  10961            995             867                   701                    707                    1791                  1663                  10944          
    # indels (<= 5 bp)                          881             777                   618                    603                    1665                  1526                  10561            863             748                   625                    603                    1683                  1506                  10764            896             766                   605                    611                    1693                  1566                  10746          
    # indels (> 5 bp)                           102             100                   97                     97                     98                    98                    197              102             99                    98                     97                     98                    97                    197              99              101                   96                     96                     98                    97                    198            
Indels length                                   6315            6104                  5914                   5927                   7156                  6916                  19948            6278            6053                  6014                   5853                   7117                  6913                  20448            6276            6102                  5833                   5835                   7187                  7025                  19942          
