Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_2bins_1_MP	1	1	0	1	0	0	0	0	0	1	2845426	0	0	16	0	0	19	6	7037	438	397	41	2456
r10_2bins_1_MP_helen	1	1	0	1	0	0	0	0	0	1	2845369	0	0	16	0	0	19	6	7077	443	401	42	2473
r10_2bins_1_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845429	0	0	16	0	0	19	6	7083	400	359	41	2370
r10_2bins_1_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845431	0	0	16	0	0	19	6	7163	415	374	41	2425
r10_2bins_1_racon_r1	1	1	0	1	0	0	0	0	0	1	2845288	0	0	16	0	0	19	6	6553	582	543	39	2566
r10_2bins_1_racon_r2	1	1	0	1	0	0	0	0	0	1	2845343	0	0	16	0	0	19	6	6809	591	554	37	2592
r10_2bins_1_raw	1	1	0	1	0	0	0	0	0	1	2843857	1	6	20	0	0	11	5	4134	3549	3513	36	6143
r10_2bins_2_MP	1	1	0	1	0	0	0	0	0	1	2845426	0	0	16	0	0	19	6	6986	437	396	41	2455
r10_2bins_2_MP_helen	1	1	0	1	0	0	0	0	0	1	2845369	0	0	16	0	0	19	6	7102	443	401	42	2473
r10_2bins_2_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845430	0	0	16	0	0	19	6	7109	399	360	39	2359
r10_2bins_2_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845431	0	0	16	0	0	19	6	7181	403	363	40	2393
r10_2bins_2_racon_r1	1	1	0	1	0	0	0	0	0	1	2845286	0	0	16	0	0	19	6	6616	616	578	38	2605
r10_2bins_2_racon_r2	1	1	0	1	0	0	0	0	0	1	2845339	0	0	16	0	0	19	6	6612	570	533	37	2547
r10_2bins_2_raw	1	1	0	1	0	0	0	0	0	1	2843857	1	6	20	0	0	11	6	4194	3566	3530	36	6163
r10_2bins_3_MP	1	1	0	1	0	0	0	0	0	1	2845426	0	0	16	0	0	19	6	6986	437	396	41	2455
r10_2bins_3_MP_helen	1	1	0	1	0	0	0	0	0	1	2845369	0	0	16	0	0	19	6	7104	444	402	42	2474
r10_2bins_3_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845430	0	0	16	0	0	19	6	7101	403	364	39	2366
r10_2bins_3_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845431	0	0	16	0	0	19	6	6932	386	346	40	2346
r10_2bins_3_racon_r1	1	1	0	1	0	0	0	0	0	1	2845286	0	0	16	0	0	19	6	6614	609	570	39	2608
r10_2bins_3_racon_r2	1	1	0	1	0	0	0	0	0	1	2845339	0	0	16	0	0	19	6	6719	564	528	36	2519
r10_2bins_3_raw	1	1	0	1	0	0	0	0	0	1	2843857	1	6	20	0	0	11	6	4195	3566	3530	36	6163
