Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_2bins_1_MP	7	7	7	7	24075406	24075406	24075406	24075406	7	4766016	24075406	2820294	44.80	37.44	4045595	4766016	2845426	4766016	3	1	5	1	1	1	2845426	16	0	0	6	0 + 6 part	21097930	99.954	1.056	0.00	249.68	15.54	2390860	2972047	2390860	2390860	1	1
r10_2bins_1_MP_helen	7	7	7	7	24070890	24070890	24070890	24070890	7	4765867	24070890	2820294	44.80	37.44	4045617	4765867	2845369	4765867	3	1	5	1	1	1	2845369	16	0	0	6	0 + 6 part	21092901	99.954	1.057	0.00	251.10	15.72	2390839	2972584	2390839	2390839	1	1
r10_2bins_1_r1_medaka	7	7	7	7	24072753	24072753	24072753	24072753	7	4765431	24072753	2820294	44.80	37.44	4045595	4765431	2845429	4765431	3	1	5	1	1	1	2845429	16	0	0	6	0 + 6 part	21094423	99.954	1.057	0.00	251.31	14.19	2390857	2972901	2390857	2390857	1	1
r10_2bins_1_r2_medaka	7	7	7	7	24062203	24062203	24062203	24062203	7	4765364	24062203	2820294	44.80	37.44	4045588	4765364	2845431	4765364	3	1	5	1	1	1	2845431	16	0	0	6	0 + 6 part	21083316	99.954	1.057	0.00	254.15	14.72	2390859	2973458	2390859	2390859	1	1
r10_2bins_1_racon_r1	7	7	7	7	24060263	24060263	24060263	24060263	7	4764829	24060263	2820294	44.79	37.44	4045225	4764829	2845288	4764829	3	1	5	1	1	1	2845288	16	0	0	6	0 + 6 part	21087603	99.954	1.055	0.00	232.51	20.65	2390752	2967232	2390752	2390752	1	1
r10_2bins_1_racon_r2	7	7	7	7	24054195	24054195	24054195	24054195	7	4764690	24054195	2820294	44.78	37.44	4045305	4764690	2845343	4764690	3	1	5	1	1	1	2845343	16	0	0	6	0 + 6 part	21079114	99.954	1.056	0.00	241.59	20.97	2390776	2969652	2390776	2390776	1	1
r10_2bins_1_raw	7	7	7	7	24062019	24062019	24062019	24062019	7	4764018	24062019	2820294	44.77	37.44	4042957	4764018	2843857	4764018	3	1	5	1	1	1	2843857	20	0	0	5	0 + 7 part	21153360	99.949	1.032	0.00	146.68	125.93	2387805	2906928	2387805	2387805	1	1
r10_2bins_2_MP	7	7	7	7	24074923	24074923	24074923	24074923	7	4765469	24074923	2820294	44.80	37.44	4045604	4765469	2845426	4765469	3	1	5	1	1	1	2845426	16	0	0	6	0 + 6 part	21098146	99.954	1.056	0.00	247.87	15.51	2390860	2971348	2390860	2390860	1	1
r10_2bins_2_MP_helen	7	7	7	7	24071344	24071344	24071344	24071344	7	4765339	24071344	2820294	44.80	37.44	4045620	4765339	2845369	4765339	3	1	5	1	1	1	2845369	16	0	0	6	0 + 6 part	21093152	99.954	1.057	0.00	251.98	15.72	2390839	2972787	2390839	2390839	1	1
r10_2bins_2_r1_medaka	7	7	7	7	24072870	24072870	24072870	24072870	7	4765413	24072870	2820294	44.80	37.44	4045593	4765413	2845430	4765413	3	1	5	1	1	1	2845430	16	0	0	6	0 + 6 part	21094312	99.954	1.057	0.00	252.23	14.16	2390858	2973129	2390858	2390858	1	1
