All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# misassemblies                                 15              15                    15                     15                     15                    15                    19               15              15                    15                     15                     15                    15                    18               15              16                    15                     15                     15                    15                    18             
  # contig misassemblies                        15              15                    15                     15                     15                    15                    19               15              15                    15                     15                     15                    15                    18               15              16                    15                     15                     15                    15                    18             
    # c. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # c. translocations                         13              13                    13                     13                     13                    13                    17               13              13                    13                     13                     13                    13                    16               13              14                    13                     13                     13                    13                    16             
    # c. inversions                             2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     4758965         4757933               4758577                4758103                4757936               4757875               4756113          4758986         4758029               4758599                4758140                4757918               4757909               4756067          4758962         4757806               4758586                4758100                4757923               4757852               4756051        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # possible misassemblies                    6               4                     4                      4                      4                     4                     16               6               4                     4                      4                      6                     4                     14               6               4                     4                      4                      6                     4                     14             
# local misassemblies                           8               8                     8                      8                      8                     8                     27               8               8                     8                      8                      7                     8                     22               8               8                     8                      8                      7                     8                     22             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  14              14                    14                     14                     14                    14                    8                14              14                    14                     14                     14                    14                    10               14              14                    14                     14                     14                    14                    10             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6              
# mismatches                                    19449           19265                 19189                  19225                  19757                 19504                 21641            19512           19310                 19205                  19198                  19721                 19766                 21394            19293           19178                 19202                  19197                  19640                 19725                 21728          
# indels                                        1021            777                   534                    528                    1711                  1607                  10376            1032            742                   534                    543                    1728                  1598                  10393            1014            759                   540                    534                    1735                  1621                  10529          
    # indels (<= 5 bp)                          922             678                   444                    438                    1619                  1516                  10206            934             644                   444                    453                    1637                  1507                  10222            917             657                   450                    444                    1644                  1531                  10353          
    # indels (> 5 bp)                           99              99                    90                     90                     92                    91                    170              98              98                    90                     90                     91                    91                    171              97              102                   90                     90                     91                    90                    176            
Indels length                                   5614            5387                  4966                   4959                   6279                  6132                  18665            5629            5294                  4967                   4974                   6342                  6133                  18902            5575            5340                  4976                   4968                   6345                  6151                  19190          
