All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  N50      N75      L50  L75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NA50    NA75    LA50  LA75
MP_helen_r10_bins_1   8                    8                       8                       8                        8                        8                        30861647                30861647                   30861647                   30861647                    30861647                    30861647                    8          6792153         30861647      30512959          4757946  2992064  3    5    168              8                       30861647                     120                    0                         0                         0                         0 + 7 part           79565             99.394               1.044              0.00               168.17                    24.42                 2559993            30746119              948383  399301  11    23  
MP_helen_r10_bins_2   8                    8                       8                       8                        8                        8                        30864927                30864927                   30864927                   30864927                    30864927                    30864927                    8          6792196         30864927      30512959          4757846  2992055  3    5    170              8                       30864927                     114                    0                         0                         0                         0 + 7 part           78195             99.400               1.044              0.00               166.00                    21.37                 2395781            30740559              948350  394041  11    25  
MP_helen_r10_bins_3   8                    8                       8                       8                        8                        8                        30862476                30862476                   30862476                   30862476                    30862476                    30862476                    8          6792204         30862476      30512959          4757780  2992078  3    5    169              8                       30862476                     118                    0                         0                         0                         0 + 7 part           78875             99.398               1.044              0.00               167.75                    21.94                 2593982            30751251              948302  381438  11    23  
MP_r10_bins_1         8                    8                       8                       8                        8                        8                        30867341                30867341                   30867341                   30867341                    30867341                    30867341                    8          6792195         30867341      30512959          4758962  2992084  3    5    171              8                       30867341                     116                    0                         0                         0                         0 + 7 part           79117             99.400               1.044              0.00               176.47                    38.67                 2560095            30749875              949048  399298  11    23  
MP_r10_bins_2         8                    8                       8                       8                        8                        8                        30868189                30868189                   30868189                   30868189                    30868189                    30868189                    8          6792258         30868189      30512959          4758994  2992059  3    5    168              8                       30868189                     115                    0                         0                         0                         0 + 7 part           78323             99.400               1.043              0.00               173.47                    38.32                 2395774            30742915              948286  394054  11    25  
MP_r10_bins_3         8                    8                       8                       8                        8                        8                        30867430                30867430                   30867430                   30867430                    30867430                    30867430                    8          6792206         30867430      30512959          4758970  2992095  3    5    171              8                       30867430                     116                    0                         0                         0                         0 + 7 part           79121             99.399               1.043              0.00               174.92                    38.65                 2594051            30753462              948950  381657  11    24  
r1_medaka_r10_bins_1  8                    8                       8                       8                        8                        8                        30864833                30864833                   30864833                   30864833                    30864833                    30864833                    8          6792241         30864833      30512959          4758583  2992070  3    5    171              8                       30864833                     129                    0                         0                         0                         0 + 7 part           81460             99.398               1.044              0.00               178.85                    26.56                 2560100            30747605              948968  399301  11    23  
r1_medaka_r10_bins_2  8                    8                       8                       8                        8                        8                        30867104                30867104                   30867104                   30867104                    30867104                    30867104                    8          6792240         30867104      30512959          4758586  2992047  3    5    168              8                       30867104                     129                    0                         0                         0                         0 + 7 part           80932             99.400               1.044              0.00               177.70                    26.89                 2395776            30739946              948851  394045  11    25  
r1_medaka_r10_bins_3  8                    8                       8                       8                        8                        8                        30865019                30865019                   30865019                   30865019                    30865019                    30865019                    8          6792231         30865019      30512959          4758587  2992077  3    5    170              8                       30865019                     127                    0                         0                         0                         0 + 7 part           82331             99.398               1.044              0.00               178.75                    27.16                 2594057            30748203              948875  381619  11    23  
r2_medaka_r10_bins_1  8                    8                       8                       8                        8                        8                        30857195                30857195                   30857195                   30857195                    30857195                    30857195                    8          6792247         30857195      30512959          4758100  2992072  3    5    169              8                       30857195                     140                    0                         0                         0                         0 + 7 part           83674             99.398               1.043              0.00               174.32                    26.23                 2560100            30735289              948989  399302  11    23  
r2_medaka_r10_bins_2  8                    8                       8                       8                        8                        8                        30860390                30860390                   30860390                   30860390                    30860390                    30860390                    8          6792237         30860390      30512959          4758114  2992049  3    5    171              8                       30860390                     131                    0                         0                         0                         0 + 7 part           80168             99.399               1.043              0.00               173.20                    26.12                 2395777            30731381              948885  394045  11    25  
r2_medaka_r10_bins_3  8                    8                       8                       8                        8                        8                        30858038                30858038                   30858038                   30858038                    30858038                    30858038                    8          6792231         30858038      30512959          4758101  2992076  3    5    170              8                       30858038                     137                    0                         0                         0                         0 + 7 part           84789             99.399               1.043              0.00               175.00                    26.79                 2594055            30736256              948890  381615  11    23  
racon_r1_r10_bins_1   8                    8                       8                       8                        8                        8                        30851337                30851337                   30851337                   30851337                    30851337                    30851337                    8          6791608         30851337      30512959          4757934  2991922  3    5    174              8                       30851337                     154                    0                         0                         0                         0 + 7 part           77362             99.397               1.043              0.00               177.22                    62.03                 2559973            30738378              949226  399233  11    23  
