Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
MP_helen_r10_bins_1	21	21	1	20	0	0	0	0	0	1	4765299	1	12	36	0	0	42	6	20460	855	755	100	6175
MP_helen_r10_bins_2	21	21	1	20	0	0	0	0	0	1	4765370	1	12	36	0	0	42	6	20480	788	689	99	6061
MP_helen_r10_bins_3	21	21	1	20	0	0	0	0	0	1	4765301	1	12	37	0	0	42	6	20527	850	751	99	6065
MP_r10_bins_1	21	21	1	20	0	0	0	0	0	1	4765922	1	12	37	0	0	42	6	20568	981	883	98	6243
MP_r10_bins_2	21	21	1	20	0	0	0	0	0	1	4765391	1	12	36	0	0	42	6	20565	960	860	100	6238
MP_r10_bins_3	21	21	1	20	0	0	0	0	0	1	4765920	1	12	37	0	0	42	6	20533	975	877	98	6231
r1_medaka_r10_bins_1	21	21	1	20	0	0	0	0	0	1	4765362	1	12	36	0	0	42	6	20722	710	613	97	5933
r1_medaka_r10_bins_2	21	21	1	20	0	0	0	0	0	1	4765395	1	12	36	0	0	42	6	20655	725	626	99	6001
r1_medaka_r10_bins_3	21	21	1	20	0	0	0	0	0	1	4765360	1	12	37	0	0	42	6	20531	702	606	96	5820
r2_medaka_r10_bins_1	21	21	1	20	0	0	0	0	0	1	4765364	1	12	37	0	0	42	6	20676	704	608	96	5832
r2_medaka_r10_bins_2	21	21	1	20	0	0	0	0	0	1	4765350	1	12	36	0	0	42	6	20602	717	619	98	5950
r2_medaka_r10_bins_3	21	21	1	20	0	0	0	0	0	1	4765359	1	12	37	0	0	42	6	20665	702	606	96	5831
racon_r1_r10_bins_1	21	21	1	20	0	0	0	0	0	1	4764643	1	12	36	0	0	42	6	20461	1710	1612	98	7098
racon_r1_r10_bins_2	21	21	1	20	0	0	0	0	0	1	4764770	1	12	37	0	0	42	6	20737	1742	1645	97	7169
racon_r1_r10_bins_3	21	21	1	20	0	0	0	0	0	1	4764652	1	12	36	0	0	42	6	20521	1704	1606	98	7081
racon_r2_r10_bins_1	21	21	1	20	0	0	0	0	0	1	4764716	1	12	36	0	0	42	6	20949	1561	1464	97	6906
racon_r2_r10_bins_2	21	21	1	20	0	0	0	0	0	1	4764723	1	12	36	0	0	42	6	20948	1566	1469	97	6941
racon_r2_r10_bins_3	21	21	1	20	0	0	0	0	0	1	4764656	1	12	36	0	0	41	6	21095	1552	1454	98	6913
raw_r10_bins_1	19	19	1	18	0	0	0	0	0	1	4763471	1	32	57	0	0	36	6	23221	10941	10742	199	20061
raw_r10_bins_2	19	19	1	18	0	0	0	0	0	1	4763493	1	34	61	0	0	35	6	22663	11070	10870	200	20302
raw_r10_bins_3	19	19	1	18	0	0	0	0	0	1	4763422	1	32	57	0	0	36	6	23497	11077	10878	199	20229
