All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75   LGA50  LGA75
MP_helen_r10_bins_1   7                       7                        7                        7                        24069494                   24069494                    24069494                    24069494                    7          4765299         24069494      4787036           44.80   50.45             4045615  4765299  2845363  4765299  3    1     5    1     21               1                       4765299                      36                     0                         0                         6                         0 + 7 part           19035147          97.703               1.077              0.00               437.50                    18.28                 1408815            5029020               1103277  393565  2      5    
MP_helen_r10_bins_2   7                       7                        7                        7                        24072731                   24072731                    24072731                    24072731                    7          4765370         24072731      4787036           44.81   50.45             4045634  4765370  2845435  4765370  3    1     5    1     21               1                       4765370                      36                     0                         0                         6                         0 + 7 part           19038239          97.703               1.077              0.00               437.93                    16.85                 1414821            5028083               1102966  394041  2      5    
MP_helen_r10_bins_3   7                       7                        7                        7                        24070272                   24070272                    24070272                    24070272                    7          4765301         24070272      4787036           44.80   50.45             4045636  4765301  2845364  4765301  3    1     5    1     21               1                       4765301                      37                     0                         0                         6                         0 + 7 part           19035171          97.701               1.077              0.00               438.94                    18.18                 1408815            5032135               1105648  393564  2      5    
MP_r10_bins_1         7                       7                        7                        7                        24075146                   24075146                    24075146                    24075146                    7          4765922         24075146      4787036           44.80   50.45             4045594  4765922  2845421  4765922  3    1     5    1     21               1                       4765922                      37                     0                         0                         6                         0 + 7 part           19041094          97.703               1.076              0.00               439.81                    20.98                 1408881            5028658               1103292  393569  2      5    
MP_r10_bins_2         7                       7                        7                        7                        24075931                   24075931                    24075931                    24075931                    7          4765391         24075931      4787036           44.80   50.45             4045608  4765391  2845426  4765391  3    1     5    1     21               1                       4765391                      36                     0                         0                         6                         0 + 7 part           19042017          97.703               1.076              0.00               439.75                    20.53                 1414836            5027493               1102968  394054  2      5    
MP_r10_bins_3         7                       7                        7                        7                        24075224                   24075224                    24075224                    24075224                    7          4765920         24075224      4787036           44.80   50.45             4045601  4765920  2845426  4765920  3    1     5    1     21               1                       4765920                      37                     0                         0                         6                         0 + 7 part           19041458          97.703               1.076              0.00               439.06                    20.85                 1408879            5028372               1103290  393569  2      5    
r1_medaka_r10_bins_1  7                       7                        7                        7                        24072592                   24072592                    24072592                    24072592                    7          4765362         24072592      4787036           44.80   50.45             4045589  4765362  2845430  4765362  3    1     5    1     21               1                       4765362                      36                     0                         0                         6                         0 + 7 part           19036067          97.703               1.077              0.00               443.10                    15.18                 1408887            5031176               1103279  393562  2      5    
r1_medaka_r10_bins_2  7                       7                        7                        7                        24074864                   24074864                    24074864                    24074864                    7          4765395         24074864      4787036           44.80   50.45             4045607  4765395  2845432  4765395  3    1     5    1     21               1                       4765395                      36                     0                         0                         6                         0 + 7 part           19039229          97.703               1.077              0.00               441.67                    15.50                 1414865            5029225               1102956  394045  2      5    
r1_medaka_r10_bins_3  7                       7                        7                        7                        24072788                   24072788                    24072788                    24072788                    7          4765360         24072788      4787036           44.80   50.45             4045601  4765360  2845434  4765360  3    1     5    1     21               1                       4765360                      37                     0                         0                         6                         0 + 7 part           19037979          97.701               1.077              0.00               439.03                    15.01                 1408885            5031874               1105652  393560  2      5    
r2_medaka_r10_bins_1  7                       7                        7                        7                        24064948                   24064948                    24064948                    24064948                    7          4765364         24064948      4787036           44.80   50.45             4045589  4765364  2845429  4765364  3    1     5    1     21               1                       4765364                      37                     0                         0                         6                         0 + 7 part           19028842          97.701               1.077              0.00               442.13                    15.05                 1408888            5033142               1105649  393562  2      5    
r2_medaka_r10_bins_2  7                       7                        7                        7                        24068153                   24068153                    24068153                    24068153                    7          4765350         24068153      4787036           44.80   50.45             4045605  4765350  2845433  4765350  3    1     5    1     21               1                       4765350                      36                     0                         0                         6                         0 + 7 part           19032998          97.703               1.077              0.00               440.54                    15.33                 1414829            5028745               1102958  394045  2      5    
r2_medaka_r10_bins_3  7                       7                        7                        7                        24065807                   24065807                    24065807                    24065807                    7          4765359         24065807      4787036           44.80   50.45             4045604  4765359  2845432  4765359  3    1     5    1     21               1                       4765359                      37                     0                         0                         6                         0 + 7 part           19029873          97.701               1.077              0.00               441.89                    15.01                 1408888            5033011               1105647  393561  2      5    
racon_r1_r10_bins_1   7                       7                        7                        7                        24059729                   24059729                    24059729                    24059729                    7          4764643         24059729      4787036           44.79   50.45             4045233  4764643  2845290  4764643  3    1     5    1     21               1                       4764643                      36                     0                         0                         6                         0 + 7 part           19028242          97.703               1.076              0.00               437.52                    36.57                 1408725            5026217               1103090  393561  2      5    
racon_r1_r10_bins_2   7                       7                        7                        7                        24064644                   24064644                    24064644                    24064644                    7          4764770         24064644      4787036           44.79   50.45             4045287  4764770  2845293  4764770  3    1     5    1     21               1                       4764770                      37                     0                         0                         6                         0 + 7 part           19030315          97.703               1.077              0.00               443.42                    37.25                 1414845            5027996               1102776  393984  2      5    
