All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# misassemblies                                 2                    2                    2                    2              2              2              2                     2                     2                     2                     2                     2                     2                    2                    2                    2                    2                    2                    2               2               2             
  # contig misassemblies                        2                    2                    2                    2              2              2              2                     2                     2                     2                     2                     2                     2                    2                    2                    2                    2                    2                    2               2               2             
    # c. relocations                            0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # c. translocations                         2                    2                    2                    2              2              2              2                     2                     2                     2                     2                     2                     2                    2                    2                    2                    2                    2                    2               2               2             
    # c. inversions                             0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
  # scaffold misassemblies                      0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. relocations                            0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. translocations                         0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. inversions                             0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# misassembled contigs                          1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
Misassembled contigs length                     2992064              2992055              2992078              2992084        2992059        2992095        2992070               2992047               2992077               2992072               2992049               2992076               2991922              2991946              2991934              2991954              2991964              2991975              2990633         2990279         2990261       
# possibly misassembled contigs                 1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    2               2               2             
    # possible misassemblies                    8                    8                    8                    8              8              8              8                     8                     8                     8                     8                     8                     8                    8                    8                    8                    8                    8                    9               9               9             
# local misassemblies                           7                    7                    7                    7              7              7              7                     7                     7                     7                     7                     7                     7                    7                    7                    7                    8                    7                    12              13              13            
# scaffold gap ext. mis.                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# scaffold gap loc. mis.                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# misassemblies caused by fragmented reference  16                   16                   16                   16             16             16             16                    16                    16                    16                    16                    16                    16                   16                   16                   16                   15                   16                   11              11              11            
# unaligned mis. contigs                        6                    6                    6                    6              6              6              6                     6                     6                     6                     6                     6                     6                    6                    6                    6                    6                    6                    7               7               7             
# mismatches                                    6966                 6929                 6896                 6853           6712           6795           6858                  6967                  6891                  6746                  6910                  6796                  6849                 6861                 6698                 6797                 6837                 6694                 4310            4175            4063          
# indels                                        661                  623                  654                  651            616            653            655                   671                   648                   654                   647                   642                   909                  917                  931                  879                  839                  876                  3424            3374            3402          
    # indels (<= 5 bp)                          636                  601                  628                  627            593            628            630                   645                   624                   629                   623                   618                   884                  890                  907                  854                  815                  852                  3396            3346            3375          
    # indels (> 5 bp)                           25                   22                   26                   24             23             25             25                    26                    24                    25                    24                    24                    25                   27                   24                   25                   24                   24                   28              28              27            
Indels length                                   1971                 1895                 1967                 1955           1885           1961           1971                  2011                  1943                  1969                  1938                  1933                  2321                 2331                 2323                 2237                 2185                 2249                 5313            5297            5306          
