Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
MP_helen_r10_bins_1	6	6	0	6	0	0	0	0	0	1	6792153	1	18	11	0	0	21	7	3783	366	265	101	5444
MP_helen_r10_bins_2	6	6	0	6	0	0	0	0	0	1	6792196	1	18	11	0	0	21	7	3729	348	250	98	5418
MP_helen_r10_bins_3	6	6	0	6	0	0	0	0	0	1	6792204	1	18	11	0	0	21	7	3710	256	161	95	5294
MP_r10_bins_1	8	8	1	7	0	0	0	0	0	1	6792195	1	16	11	0	0	20	7	3982	395	298	97	5480
MP_r10_bins_2	6	6	0	6	0	0	0	0	0	1	6792258	1	18	11	0	0	21	7	3892	369	273	96	5417
MP_r10_bins_3	8	8	1	7	0	0	0	0	0	1	6792206	1	16	11	0	0	20	7	3936	384	289	95	5428
r1_medaka_r10_bins_1	6	6	0	6	0	0	0	0	0	1	6792241	1	18	11	0	0	21	7	3801	241	148	93	5202
r1_medaka_r10_bins_2	6	6	0	6	0	0	0	0	0	1	6792240	1	18	11	0	0	21	7	3720	246	152	94	5264
r1_medaka_r10_bins_3	6	6	0	6	0	0	0	0	0	1	6792231	1	18	11	0	0	21	7	3748	241	148	93	5243
r2_medaka_r10_bins_1	6	6	0	6	0	0	0	0	0	1	6792247	1	18	11	0	0	21	6	3765	241	148	93	5202
r2_medaka_r10_bins_2	6	6	0	6	0	0	0	0	0	1	6792237	1	18	11	0	0	21	7	3756	253	159	94	5270
r2_medaka_r10_bins_3	6	6	0	6	0	0	0	0	0	1	6792231	1	18	11	0	0	21	7	3716	240	147	93	5239
racon_r1_r10_bins_1	6	6	0	6	0	0	0	0	0	1	6791608	1	18	11	0	0	21	7	3929	952	858	94	6032
racon_r1_r10_bins_2	6	6	0	6	0	0	0	0	0	1	6791632	1	18	11	0	0	21	7	3808	918	822	96	6045
racon_r1_r10_bins_3	6	6	0	6	0	0	0	0	0	1	6791594	1	18	11	0	0	21	7	3869	926	833	93	6039
racon_r2_r10_bins_1	6	6	0	6	0	0	0	0	0	1	6791690	1	18	11	0	0	21	6	3915	840	746	94	5876
racon_r2_r10_bins_2	6	6	0	6	0	0	0	0	0	1	6791710	1	18	11	0	0	21	7	3921	876	779	97	6008
racon_r2_r10_bins_3	6	6	0	6	0	0	0	0	0	1	6791707	1	18	11	0	0	21	7	3865	871	776	95	5993
raw_r10_bins_1	9	9	0	9	0	0	0	0	0	1	6787702	1	33	29	0	0	16	6	4350	6519	6398	121	12832
raw_r10_bins_2	10	10	0	10	0	0	0	0	0	1	6787718	1	34	29	0	0	16	7	4358	6504	6383	121	12818
raw_r10_bins_3	10	10	0	10	0	0	0	0	0	1	6788614	1	34	24	0	0	16	6	4391	6544	6420	124	12975
