Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
MP_helen_r10_bins_1	14	14	0	14	0	0	0	0	0	1	2717987	1	10	10	0	0	26	6	6852	1149	1086	63	4903
MP_helen_r10_bins_2	13	13	0	13	0	0	0	0	0	1	2718054	1	10	10	0	0	26	6	6782	934	871	63	4606
MP_helen_r10_bins_3	14	14	0	14	0	0	0	0	0	1	2718086	1	10	9	0	0	26	6	6822	948	887	61	4601
MP_r10_bins_1	14	14	0	14	0	0	0	0	0	1	2719777	1	10	9	0	0	26	6	7666	2984	2914	70	6868
MP_r10_bins_2	13	13	0	13	0	0	0	0	0	1	2719835	1	10	10	0	0	26	6	7678	2996	2930	66	6836
MP_r10_bins_3	14	14	0	14	0	0	0	0	0	1	2719835	1	10	9	0	0	26	6	7699	3012	2942	70	6849
r1_medaka_r10_bins_1	14	14	0	14	0	0	0	0	0	1	2719552	1	10	9	0	0	26	6	7737	2018	1967	51	5363
r1_medaka_r10_bins_2	13	13	0	13	0	0	0	0	0	1	2719502	1	10	11	0	0	25	6	7616	2047	1995	52	5399
r1_medaka_r10_bins_3	14	14	0	14	0	0	0	0	0	1	2719543	1	10	9	0	0	26	6	7744	2090	2039	51	5444
r2_medaka_r10_bins_1	14	14	0	14	0	0	0	0	0	1	2719584	1	10	9	0	0	26	6	7598	2032	1981	51	5369
r2_medaka_r10_bins_2	13	13	0	13	0	0	0	0	0	1	2719579	1	10	10	0	0	26	6	7565	2039	1988	51	5381
r2_medaka_r10_bins_3	14	14	0	14	0	0	0	0	0	1	2719559	1	10	9	0	0	26	6	7734	2099	2048	51	5442
racon_r1_r10_bins_1	14	14	0	14	0	0	0	0	0	1	2720311	1	10	9	0	0	26	6	7888	2970	2916	54	6706
racon_r1_r10_bins_2	13	13	0	13	0	0	0	0	0	1	2720303	1	10	11	0	0	25	6	7679	2948	2893	55	6716
racon_r1_r10_bins_3	14	14	0	14	0	0	0	0	0	1	2720298	1	8	8	0	0	26	6	7646	2973	2922	51	6642
racon_r2_r10_bins_1	14	14	0	14	0	0	0	0	0	1	2720378	1	10	10	0	0	26	6	8011	2932	2880	52	6613
racon_r2_r10_bins_2	13	13	0	13	0	0	0	0	0	1	2720381	1	8	9	0	0	26	6	7763	2915	2864	51	6559
racon_r2_r10_bins_3	14	14	0	14	0	0	0	0	0	1	2720321	1	10	9	0	0	26	6	7981	2999	2947	52	6709
raw_r10_bins_1	14	14	0	14	0	0	0	0	0	1	2718434	1	18	20	0	0	23	5	6761	4328	4269	59	8430
raw_r10_bins_2	12	12	0	12	0	0	0	0	0	1	2718434	1	16	20	0	0	25	5	6483	4207	4147	60	8316
raw_r10_bins_3	12	12	0	12	0	0	0	0	0	1	2718864	1	19	25	0	0	23	5	6800	4307	4250	57	8350
