All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50   NGA75   LGA50  LGA75
MP_helen_r10_bins_1   7                       7                        7                        7                        24069494                   24069494                    24069494                    24069494                    7          4765299         24069494      4738357           44.80   52.15             4045615  4765299  2845363  4765299  3    1     5    1     15               1                       4757946                      8                      0                         0                         6                         0 + 7 part           19033512          98.920               1.075              0.00               408.49                    16.01                 1342442            5033641               745356  611507  3      5    
MP_helen_r10_bins_2   7                       7                        7                        7                        24072731                   24072731                    24072731                    24072731                    7          4765370         24072731      4738357           44.81   52.15             4045634  4765370  2845435  4765370  3    1     5    1     16               1                       4757846                      8                      0                         0                         6                         0 + 7 part           19036360          98.919               1.075              0.00               411.12                    15.86                 1342445            5034084               745357  611510  3      5    
MP_helen_r10_bins_3   7                       7                        7                        7                        24070272                   24070272                    24070272                    24070272                    7          4765301         24070272      4738357           44.80   52.15             4045636  4765301  2845364  4765301  3    1     5    1     16               1                       4757780                      8                      0                         0                         6                         0 + 7 part           19034564          98.918               1.075              0.00               408.50                    16.18                 1342449            5033421               745355  611506  3      5    
MP_r10_bins_1         7                       7                        7                        7                        24075146                   24075146                    24075146                    24075146                    7          4765922         24075146      4738357           44.80   52.15             4045594  4765922  2845421  4765922  3    1     5    1     15               1                       4758962                      8                      0                         0                         6                         0 + 7 part           19038552          98.920               1.075              0.00               411.22                    21.00                 1342515            5034252               745404  611515  3      5    
MP_r10_bins_2         7                       7                        7                        7                        24075931                   24075931                    24075931                    24075931                    7          4765391         24075931      4738357           44.80   52.15             4045608  4765391  2845426  4765391  3    1     5    1     15               1                       4758994                      8                      0                         0                         6                         0 + 7 part           19039878          98.920               1.075              0.00               410.90                    21.38                 1342521            5033711               745409  611515  3      5    
MP_r10_bins_3         7                       7                        7                        7                        24075224                   24075224                    24075224                    24075224                    7          4765920         24075224      4738357           44.80   52.15             4045601  4765920  2845426  4765920  3    1     5    1     15               1                       4758970                      8                      0                         0                         6                         0 + 7 part           19038661          98.920               1.075              0.00               411.03                    21.02                 1342523            5034221               745404  611517  3      5    
r1_medaka_r10_bins_1  7                       7                        7                        7                        24072592                   24072592                    24072592                    24072592                    7          4765362         24072592      4738357           44.80   52.15             4045589  4765362  2845430  4765362  3    1     5    1     15               1                       4758583                      8                      0                         0                         6                         0 + 7 part           19034885          98.920               1.075              0.00               410.90                    11.57                 1342471            5035364               745366  611515  3      5    
r1_medaka_r10_bins_2  7                       7                        7                        7                        24074864                   24074864                    24074864                    24074864                    7          4765395         24074864      4738357           44.80   52.15             4045607  4765395  2845432  4765395  3    1     5    1     15               1                       4758586                      8                      0                         0                         6                         0 + 7 part           19040241          98.920               1.074              0.00               404.93                    11.25                 1342475            5032281               745369  611515  3      5    
r1_medaka_r10_bins_3  7                       7                        7                        7                        24072788                   24072788                    24072788                    24072788                    7          4765360         24072788      4738357           44.80   52.15             4045601  4765360  2845434  4765360  3    1     5    1     15               1                       4758587                      8                      0                         0                         6                         0 + 7 part           19035546          98.920               1.075              0.00               410.22                    11.52                 1342468            5034898               745372  611517  3      5    
r2_medaka_r10_bins_1  7                       7                        7                        7                        24064948                   24064948                    24064948                    24064948                    7          4765364         24064948      4738357           44.80   52.15             4045589  4765364  2845429  4765364  3    1     5    1     15               1                       4758100                      8                      0                         0                         6                         0 + 7 part           19027937          98.920               1.075              0.00               410.65                    11.61                 1342476            5032189               745367  611515  3      5    
