All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly               # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75   LGA50  LGA75
r10_8bins_1_MP         7                       7                        7                        7                        24074745                   24074745                    24074745                    24074745                    7          4765396         24074745      4787036           44.80   50.45             4045595  4765396  2845436  4765396  3    1     5    1     21               1                       4765396                      36                     0                         0                         6                         0 + 7 part           19040505          97.703               1.076              0.00               440.09                    20.72                 1769075            5028944               1103290  399303  2      4    
r10_8bins_1_MP_helen   7                       7                        7                        7                        24070729                   24070729                    24070729                    24070729                    7          4765339         24070729      4787036           44.80   50.45             4045615  4765339  2845374  4765339  3    1     5    1     21               1                       4765339                      36                     0                         0                         6                         0 + 7 part           19035392          97.703               1.077              0.00               439.64                    17.88                 1769068            5030053               1103273  399301  2      4    
r10_8bins_1_r1_medaka  7                       7                        7                        7                        24072155                   24072155                    24072155                    24072155                    7          4765361         24072155      4787036           44.80   50.45             4045602  4765361  2845428  4765361  3    1     5    1     21               1                       4765361                      36                     0                         0                         6                         0 + 7 part           19036412          97.703               1.077              0.00               442.08                    15.08                 1769076            5030449               1103272  399304  2      4    
r10_8bins_1_r2_medaka  7                       7                        7                        7                        24064354                   24064354                    24064354                    24064354                    7          4765365         24064354      4787036           44.80   50.45             4045598  4765365  2845430  4765365  3    1     5    1     21               1                       4765365                      36                     0                         0                         6                         0 + 7 part           19028914          97.703               1.077              0.00               441.69                    14.69                 1769075            5030158               1103272  399307  2      4    
r10_8bins_1_racon_r1   7                       7                        7                        7                        24061185                   24061185                    24061185                    24061185                    7          4764689         24061185      4787036           44.79   50.45             4045293  4764689  2845286  4764689  3    1     5    1     21               1                       4764689                      36                     0                         0                         6                         0 + 7 part           19026122          97.703               1.077              0.00               445.67                    35.65                 1768838            5029878               1103115  399254  2      4    
r10_8bins_1_racon_r2   7                       7                        7                        7                        24054036                   24054036                    24054036                    24054036                    7          4764726         24054036      4787036           44.79   50.45             4045319  4764726  2845307  4764726  3    1     5    1     21               1                       4764726                      36                     0                         0                         6                         0 + 7 part           19019095          97.703               1.077              0.00               446.59                    33.19                 1768853            5029746               1103124  399241  2      4    
r10_8bins_1_raw        7                       7                        7                        7                        28131334                   28131334                    28131334                    28131334                    7          6788614         28131334      4787036           51.10   50.45             4755933  6788614  2990636  6788614  3    1     5    1     19               1                       4763575                      57                     0                         0                         6                         0 + 7 part           23174629          97.663               1.060              0.00               493.41                    231.87                1104940            4954414               682839   412061  3      5    
r10_8bins_2_MP         7                       7                        7                        7                        24074631                   24074631                    24074631                    24074631                    7          4765403         24074631      4787036           44.80   50.45             4045596  4765403  2845427  4765403  3    1     5    1     21               1                       4765403                      37                     0                         0                         6                         0 + 7 part           19040491          97.701               1.076              0.00               439.84                    20.78                 1408820            5031162               1105658  393569  2      5    
r10_8bins_2_MP_helen   7                       7                        7                        7                        24069339                   24069339                    24069339                    24069339                    7          4765334         24069339      4787036           44.80   50.45             4045616  4765334  2845364  4765334  3    1     5    1     21               1                       4765334                      36                     0                         0                         6                         0 + 7 part           19034214          97.703               1.077              0.00               439.36                    18.11                 1408784            5029786               1103270  393564  2      5    
r10_8bins_2_r1_medaka  7                       7                        7                        7                        24071923                   24071923                    24071923                    24071923                    7          4765359         24071923      4787036           44.80   50.45             4045587  4765359  2845435  4765359  3    1     5    1     21               1                       4765359                      37                     0                         0                         6                         0 + 7 part           19035522          97.701               1.077              0.00               442.81                    15.16                 1408817            5033437               1105646  393562  2      5    
r10_8bins_2_r2_medaka  7                       7                        7                        7                        24062244                   24062244                    24062244                    24062244                    7          4765364         24062244      4787036           44.80   50.45             4045593  4765364  2845433  4765364  3    1     5    1     21               1                       4765364                      37                     0                         0                         6                         0 + 7 part           19026126          97.701               1.077              0.00               442.41                    15.01                 1408818            5033154               1105649  393562  2      5    
r10_8bins_2_racon_r1   7                       7                        7                        7                        24061038                   24061038                    24061038                    24061038                    7          4764683         24061038      4787036           44.79   50.45             4045258  4764683  2845287  4764683  3    1     5    1     21               1                       4764683                      36                     0                         0                         6                         0 + 7 part           19022699          97.703               1.077              0.00               449.93                    35.60                 1408647            5033049               1103118  393555  2      5    
r10_8bins_2_racon_r2   7                       7                        7                        7                        24054829                   24054829                    24054829                    24054829                    7          4764682         24054829      4787036           44.79   50.45             4045323  4764682  2845362  4764682  3    1     5    1     21               1                       4764682                      36                     0                         0                         6                         0 + 7 part           19018419          97.703               1.077              0.00               449.16                    33.12                 1408657            5031223               1103114  393550  2      5    
r10_8bins_2_raw        8                       8                        8                        8                        30849057                   30849057                    30849057                    30849057                    8          6788581         30849057      4787036           49.48   50.45             4756088  6788581  2990626  6788581  3    1     5    1     19               1                       4763493                      60                     0                         0                         6                         0 + 8 part           25901605          97.665               1.058              0.00               484.70                    236.85                1102546            4942673               586349   376968  3      6    
