All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# misassemblies                                 74              73                    73                     77                     73                    80                    77               74              73                    76                     79                     75                    82                    75               74              74                    76                     78                     79                    83                    77             
  # contig misassemblies                        74              73                    73                     77                     73                    80                    77               74              73                    76                     79                     75                    82                    75               74              74                    76                     78                     79                    83                    77             
    # c. relocations                            4               3                     3                      5                      3                     6                     4                4               3                     3                      7                      3                     6                     4                4               3                     3                      5                      3                     5                     4              
    # c. translocations                         70              70                    70                     72                     70                    74                    73               70              70                    73                     72                     72                    76                    71               70              71                    73                     73                     76                    78                    73             
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     1947326         1946182               1945604                1937700                1935646               1928318               1945672          1947356         1945118               1945358                1936107                1935574               1929159               1945498          1947365         1944965               1945429                1938538                1934631               1930127               1945410        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # possible misassemblies                    36              36                    34                     36                     36                    34                    46               36              38                    32                     36                     34                    28                    42               36              38                    32                     38                     32                    28                    46             
# local misassemblies                           11              15                    27                     30                     44                    39                    33               11              14                    25                     28                     43                    35                    30               12              16                    21                     30                     46                    32                    33             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  66              66                    65                     66                     63                    63                    36               66              66                    65                     63                     65                    62                    40               66              65                    63                     65                     62                    61                    40             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6              
# mismatches                                    4817            4821                  5214                   5251                   4819                  4821                  6498             4824            4798                  5429                   5120                   4871                  4905                  6718             4793            4758                  5738                   4962                   4830                  4836                  6527           
# indels                                        205             277                   257                    253                    1036                  956                   6226             212             194                   304                    233                    955                   930                   6345             210             269                   341                    194                    1022                  965                   6308           
    # indels (<= 5 bp)                          155             227                   206                    199                    956                   886                   6124             161             139                   257                    175                    882                   856                   6244             161             208                   293                    143                    955                   898                   6206           
    # indels (> 5 bp)                           50              50                    51                     54                     80                    70                    102              51              55                    47                     58                     73                    74                    101              49              61                    48                     51                     67                    67                    102            
Indels length                                   2705            2757                  2808                   2881                   5168                  4754                  11068            2731            2747                  2830                   3095                   4820                  4879                  11281            2605            3006                  2789                   2729                   4912                  4306                  11182          
