All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly               # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50  NGA75  LGA50  LGA75
r10_8bins_1_MP         7                       7                        7                        7                        24074745                   24074745                    24074745                    24074745                    7          4765396         24074745      1805517           44.80   52.72             4045595  4765396  2845436  4765396  3    1     5    1     74               1                       1947326                      11                     0                         0                         6                         0 + 7 part           22082720          99.943               1.104              0.00               266.98                    11.36                 177205             1985939               89790  35033  8      17   
r10_8bins_1_MP_helen   7                       7                        7                        7                        24070729                   24070729                    24070729                    24070729                    7          4765339         24070729      1805517           44.80   52.72             4045615  4765339  2845374  4765339  3    1     5    1     73               1                       1946182                      15                     0                         0                         6                         0 + 7 part           22079951          99.889               1.104              0.00               267.34                    15.36                 177204             1987024               88849  35503  8      16   
r10_8bins_1_r1_medaka  7                       7                        7                        7                        24072155                   24072155                    24072155                    24072155                    7          4765361         24072155      1805517           44.80   52.72             4045602  4765361  2845428  4765361  3    1     5    1     73               1                       1945604                      27                     0                         0                         6                         0 + 7 part           22085137          99.926               1.101              0.00               289.03                    14.25                 177198             1980994               89788  35031  8      17   
r10_8bins_1_r2_medaka  7                       7                        7                        7                        24064354                   24064354                    24064354                    24064354                    7          4765365         24064354      1805517           44.80   52.72             4045598  4765365  2845430  4765365  3    1     5    1     77               1                       1937700                      30                     0                         0                         6                         0 + 7 part           22085618          99.895               1.097              0.00               291.17                    14.03                 176920             1972765               81510  35032  8      17   
r10_8bins_1_racon_r1   7                       7                        7                        7                        24061185                   24061185                    24061185                    24061185                    7          4764689         24061185      1805517           44.79   52.72             4045293  4764689  2845286  4764689  3    1     5    1     73               1                       1935646                      44                     0                         0                         6                         0 + 7 part           22080726          99.897               1.098              0.00               267.21                    57.45                 176816             1976871               81489  35015  8      17   
r10_8bins_1_racon_r2   7                       7                        7                        7                        24054036                   24054036                    24054036                    24054036                    7          4764726         24054036      1805517           44.79   52.72             4045319  4764726  2845307  4764726  3    1     5    1     80               1                       1928318                      39                     0                         0                         6                         0 + 7 part           22080016          99.875               1.095              0.00               267.38                    53.02                 176760             1968214               81364  35015  8      17   
r10_8bins_1_raw        7                       7                        7                        7                        24061588                   24061588                    24061588                    24061588                    7          4763575         24061588      1805517           44.77   52.72             4043044  4763575  2843860  4763575  3    1     5    1     77               1                       1945672                      33                     0                         0                         6                         0 + 7 part           22114139          99.875               1.080              0.00               360.39                    345.30                176983             1943991               69730  34946  8      18   
r10_8bins_2_MP         7                       7                        7                        7                        24074631                   24074631                    24074631                    24074631                    7          4765403         24074631      1805517           44.80   52.72             4045596  4765403  2845427  4765403  3    1     5    1     74               1                       1947356                      11                     0                         0                         6                         0 + 7 part           22082419          99.943               1.104              0.00               267.36                    11.75                 177205             1986126               89789  35033  8      17   
r10_8bins_2_MP_helen   7                       7                        7                        7                        24069339                   24069339                    24069339                    24069339                    7          4765334         24069339      1805517           44.80   52.72             4045616  4765334  2845364  4765334  3    1     5    1     73               1                       1945118                      14                     0                         0                         6                         0 + 7 part           22080080          99.832               1.104              0.00               266.22                    10.76                 177205             1983173               87700  35032  8      17   
r10_8bins_2_r1_medaka  7                       7                        7                        7                        24071923                   24071923                    24071923                    24071923                    7          4765359         24071923      1805517           44.80   52.72             4045587  4765359  2845435  4765359  3    1     5    1     76               1                       1945358                      25                     0                         0                         6                         0 + 7 part           22084183          99.925               1.102              0.00               300.95                    16.85                 173114             1981709               89895  34836  8      17   
r10_8bins_2_r2_medaka  7                       7                        7                        7                        24062244                   24062244                    24062244                    24062244                    7          4765364         24062244      1805517           44.80   52.72             4045593  4765364  2845433  4765364  3    1     5    1     79               1                       1936107                      28                     0                         0                         6                         0 + 7 part           22083488          99.936               1.097              0.00               283.79                    12.91                 176980             1972702               85401  34837  8      17   
r10_8bins_2_racon_r1   7                       7                        7                        7                        24061038                   24061038                    24061038                    24061038                    7          4764683         24061038      1805517           44.79   52.72             4045258  4764683  2845287  4764683  3    1     5    1     75               1                       1935574                      43                     0                         0                         6                         0 + 7 part           22079927          99.913               1.098              0.00               270.05                    52.95                 173004             1976523               89780  34825  8      17   
r10_8bins_2_racon_r2   7                       7                        7                        7                        24054829                   24054829                    24054829                    24054829                    7          4764682         24054829      1805517           44.79   52.72             4045323  4764682  2845362  4764682  3    1     5    1     82               1                       1929159                      35                     0                         0                         6                         0 + 7 part           22077481          99.888               1.097              0.00               272.00                    51.57                 176835             1971181               79258  34811  8      18   
r10_8bins_2_raw        7                       7                        7                        7                        24060476                   24060476                    24060476                    24060476                    7          4763493         24060476      1805517           44.77   52.72             4042479  4763493  2843855  4763493  3    1     5    1     75               1                       1945498                      30                     0                         0                         6                         0 + 7 part           22105466          99.862               1.084              0.00               372.64                    351.95                176989             1951560               69730  34946  8      18   
r10_8bins_3_MP         7                       7                        7                        7                        24074724                   24074724                    24074724                    24074724                    7          4765471         24074724      1805517           44.80   52.72             4045596  4765471  2845427  4765471  3    1     5    1     74               1                       1947365                      12                     0                         0                         6                         0 + 7 part           22082736          99.936               1.104              0.00               265.66                    11.64                 177206             1988234               89790  35505  8      16   
r10_8bins_3_MP_helen   7                       7                        7                        7                        24069480                   24069480                    24069480                    24069480                    7          4765411         24069480      1805517           44.80   52.72             4045613  4765411  2845365  4765411  3    1     5    1     74               1                       1944965                      16                     0                         0                         6                         0 + 7 part           22081091          99.828               1.103              0.00               264.01                    14.93                 177206             1982248               87652  35032  8      17   
r10_8bins_3_r1_medaka  7                       7                        7                        7                        24072032                   24072032                    24072032                    24072032                    7          4765372         24072032      1805517           44.80   52.72             4045582  4765372  2845437  4765372  3    1     5    1     76               1                       1945429                      21                     0                         0                         6                         0 + 7 part           22083283          99.872               1.103              0.00               318.25                    18.91                 173025             1985090               79490  35032  8      18   
r10_8bins_3_r2_medaka  7                       7                        7                        7                        24064645                   24064645                    24064645                    24064645                    7          4765365         24064645      1805517           44.80   52.72             4045587  4765365  2845434  4765365  3    1     5    1     78               1                       1938538                      30                     0                         0                         6                         0 + 7 part           22085685          99.932               1.097              0.00               275.04                    10.75                 173046             1972955               81501  35032  8      17   
