Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# misassemblies	8	6	6	6	6	6	10	8	6	6	6	6	6	10	8	6	6	6	6	6	10
  # contig misassemblies	8	6	6	6	6	6	10	8	6	6	6	6	6	10	8	6	6	6	6	6	10
    # c. relocations	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
    # c. translocations	7	6	6	6	6	6	10	7	6	6	6	6	6	10	7	6	6	6	6	6	10
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792200	6792201	6792230	6792235	6791646	6791695	6788614	6792246	6792183	6792245	6792249	6791667	6791726	6788581	6792689	6792361	6792415	6792413	6791833	6791907	6788292
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	16	18	18	18	18	18	34	16	18	18	18	18	18	34	16	18	18	18	18	18	34
# local misassemblies	11	11	11	11	11	11	24	11	11	11	11	11	11	25	12	11	11	11	11	11	31
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	20	21	21	21	21	21	16	20	21	21	21	21	21	16	20	21	21	21	21	21	16
# unaligned mis. contigs	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# mismatches	3978	3779	3798	3826	3999	4009	4397	3941	3754	3776	3748	3906	3886	4354	3905	3720	3746	3743	3900	3909	4490
# indels	383	254	244	248	890	826	6545	365	339	244	244	897	832	6528	381	347	250	244	932	830	6506
    # indels (<= 5 bp)	288	159	151	155	796	732	6421	270	242	150	150	802	738	6405	285	249	156	150	834	736	6386
    # indels (> 5 bp)	95	95	93	93	94	94	124	95	97	94	94	95	94	123	96	98	94	94	98	94	120
Indels length	5428	5291	5244	5247	6019	5920	12976	5398	5399	5261	5261	6030	5935	12917	5434	5417	5268	5259	6078	5927	12810
