All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly               # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75    LGA50  LGA75
r10_8bins_1_MP         8                       8                        8                        8                        30866945                   30866945                    30866945                    30866945                    8          6792200         30866945      6728151           49.50   66.21             4758957  6792200  2992094  6792200  3    1     5    1     8                1                       6792200                      11                     0                         0                         7                         0 + 8 part           24047149          99.894               1.015              0.00               59.19                     5.70                  1643775            6816496               1188532  1070191  3      4    
r10_8bins_1_MP_helen   8                       8                        8                        8                        30862930                   30862930                    30862930                    30862930                    8          6792201         30862930      6728151           49.51   66.21             4758026  6792201  2992072  6792201  3    1     5    1     6                1                       6792201                      11                     0                         0                         7                         0 + 8 part           24043641          99.894               1.015              0.00               56.23                     3.78                  2052277            6816006               1643772  1070208  2      4    
r10_8bins_1_r1_medaka  8                       8                        8                        8                        30864385                   30864385                    30864385                    30864385                    8          6792230         30864385      6728151           49.50   66.21             4758581  6792230  2992073  6792230  3    1     5    1     6                1                       6792230                      11                     0                         0                         7                         0 + 8 part           24044751          99.894               1.015              0.00               56.51                     3.63                  2052324            6816351               1643775  1070187  2      4    
r10_8bins_1_r2_medaka  8                       8                        8                        8                        30856589                   30856589                    30856589                    30856589                    8          6792235         30856589      6728151           49.50   66.21             4758584  6792235  2992074  6792235  3    1     5    1     6                1                       6792235                      11                     0                         0                         7                         0 + 8 part           24036610          99.894               1.015              0.00               56.93                     3.69                  2052323            6816696               1643778  1070189  2      4    
r10_8bins_1_racon_r1   8                       8                        8                        8                        30852831                   30852831                    30852831                    30852831                    8          6791646         30852831      6728151           49.49   66.21             4758019  6791646  2991951  6791646  3    1     5    1     6                1                       6791646                      11                     0                         0                         7                         0 + 8 part           24033406          99.894               1.015              0.00               59.50                     13.24                 2052185            6816143               1643618  1070107  2      4    
r10_8bins_1_racon_r2   8                       8                        8                        8                        30845731                   30845731                    30845731                    30845731                    8          6791695         30845731      6728151           49.49   66.21             4758050  6791695  2991999  6791695  3    1     5    1     6                1                       6791695                      11                     0                         0                         7                         0 + 8 part           24026051          99.894               1.015              0.00               59.65                     12.29                 2052199            6816397               1643621  1070110  2      4    
r10_8bins_1_raw        8                       8                        8                        8                        30850202                   30850202                    30850202                    30850202                    8          6788614         30850202      6728151           49.48   66.21             4755933  6788614  2990636  6788614  3    1     5    1     10               1                       6788614                      24                     0                         0                         6                         0 + 8 part           24077409          99.875               1.008              0.00               65.44                     97.40                 2098661            6770274               1471541  569700   2      4    
r10_8bins_2_MP         8                       8                        8                        8                        30866877                   30866877                    30866877                    30866877                    8          6792246         30866877      6728151           49.50   66.21             4758981  6792246  2992084  6792246  3    1     5    1     8                1                       6792246                      11                     0                         0                         7                         0 + 8 part           24047444          99.893               1.015              0.00               58.64                     5.43                  1643841            6815681               1274460  1070337  3      4    
r10_8bins_2_MP_helen   8                       8                        8                        8                        30861522                   30861522                    30861522                    30861522                    8          6792183         30861522      6728151           49.51   66.21             4757842  6792183  2992066  6792183  3    1     5    1     6                1                       6792183                      11                     0                         0                         7                         0 + 8 part           24042659          99.893               1.015              0.00               55.86                     5.04                  2052184            6815111               1643839  1070325  2      4    
r10_8bins_2_r1_medaka  8                       8                        8                        8                        30864168                   30864168                    30864168                    30864168                    8          6792245         30864168      6728151           49.50   66.21             4758589  6792245  2992073  6792245  3    1     5    1     6                1                       6792245                      11                     0                         0                         7                         0 + 8 part           24044582          99.893               1.015              0.00               56.18                     3.63                  2052214            6815834               1643847  1070330  2      4    
r10_8bins_2_r2_medaka  8                       8                        8                        8                        30854493                   30854493                    30854493                    30854493                    8          6792249         30854493      6728151           49.50   66.21             4758101  6792249  2992074  6792249  3    1     5    1     6                1                       6792249                      11                     0                         0                         7                         0 + 8 part           24035233          99.893               1.015              0.00               55.77                     3.63                  2052213            6815508               1643850  1070330  2      4    
r10_8bins_2_racon_r1   8                       8                        8                        8                        30852705                   30852705                    30852705                    30852705                    8          6791667         30852705      6728151           49.49   66.21             4757934  6791667  2991957  6791667  3    1     5    1     6                1                       6791667                      11                     0                         0                         7                         0 + 8 part           24034373          99.893               1.015              0.00               58.12                     13.35                 2052082            6814580               1643676  1070256  2      4    
r10_8bins_2_racon_r2   8                       8                        8                        8                        30846555                   30846555                    30846555                    30846555                    8          6791726         30846555      6728151           49.49   66.21             4757912  6791726  2991981  6791726  3    1     5    1     6                1                       6791726                      11                     0                         0                         7                         0 + 8 part           24028213          99.893               1.015              0.00               57.82                     12.38                 2052082            6814590               1643706  1070258  2      4    
r10_8bins_2_raw        8                       8                        8                        8                        30849057                   30849057                    30849057                    30849057                    8          6788581         30849057      6728151           49.48   66.21             4756088  6788581  2990626  6788581  3    1     5    1     10               1                       6788581                      25                     0                         0                         7                         0 + 8 part           24077072          99.878               1.008              0.00               64.79                     97.15                 2098630            6769510               1471418  610213   2      4    
r10_8bins_3_MP         8                       8                        8                        8                        30867413                   30867413                    30867413                    30867413                    8          6792689         30867413      6728151           49.50   66.21             4758992  6792689  2992095  6792689  3    1     5    1     8                1                       6792689                      12                     0                         0                         7                         0 + 8 part           24048207          99.895               1.015              0.00               58.10                     5.67                  1643844            6815454               1070341  687824   3      5    
r10_8bins_3_MP_helen   8                       8                        8                        8                        30861841                   30861841                    30861841                    30861841                    8          6792361         30861841      6728151           49.51   66.21             4758031  6792361  2992076  6792361  3    1     5    1     6                1                       6792361                      11                     0                         0                         7                         0 + 8 part           24043465          99.894               1.015              0.00               55.35                     5.16                  2052193            6814624               1643834  734836   2      4    
r10_8bins_3_r1_medaka  8                       8                        8                        8                        30864447                   30864447                    30864447                    30864447                    8          6792415         30864447      6728151           49.50   66.21             4758588  6792415  2992076  6792415  3    1     5    1     6                1                       6792415                      11                     0                         0                         7                         0 + 8 part           24045328          99.894               1.015              0.00               55.74                     3.72                  2052213            6815367               1643848  734836   2      4    
r10_8bins_3_r2_medaka  8                       8                        8                        8                        30857058                   30857058                    30857058                    30857058                    8          6792413         30857058      6728151           49.50   66.21             4758092  6792413  2992073  6792413  3    1     5    1     6                1                       6792413                      11                     0                         0                         7                         0 + 8 part           24037932          99.894               1.015              0.00               55.69                     3.63                  2052213            6815374               1643850  734836   2      4    
r10_8bins_3_racon_r1   8                       8                        8                        8                        30851941                   30851941                    30851941                    30851941                    8          6791833         30851941      6728151           49.49   66.21             4757964  6791833  2991935  6791833  3    1     5    1     6                1                       6791833                      11                     0                         0                         7                         0 + 8 part           24033377          99.894               1.015              0.00               58.03                     13.87                 2052077            6814813               1643680  734762   2      4    
r10_8bins_3_racon_r2   8                       8                        8                        8                        30847715                   30847715                    30847715                    30847715                    8          6791907         30847715      6728151           49.49   66.21             4757944  6791907  2991970  6791907  3    1     5    1     6                1                       6791907                      11                     0                         0                         7                         0 + 8 part           24028998          99.894               1.015              0.00               58.16                     12.35                 2052084            6814965               1643716  734775   2      4    
