Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# misassemblies	13	13	13	13	13	13	15	13	13	13	13	13	13	13	14	14	14	14	14	14	13
  # contig misassemblies	13	13	13	13	13	13	15	13	13	13	13	13	13	13	14	14	14	14	14	14	13
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	13	13	13	13	13	13	15	13	13	13	13	13	13	13	14	14	14	14	14	14	13
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2719941	2718121	2719506	2719603	2720301	2720317	2718868	2719784	2717999	2719522	2719572	2720345	2720410	2718437	2719778	2718019	2719548	2719556	2720274	2720341	2718429
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	10	10	10	10	10	10	20	10	10	10	10	10	10	16	10	10	10	10	10	10	16
# local misassemblies	9	10	10	10	9	10	19	9	9	9	9	9	9	19	9	10	9	9	10	10	20
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	26	26	26	26	26	26	21	26	26	26	26	26	26	25	26	26	26	26	26	26	24
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	6	6	6	5
# mismatches	7554	6718	7601	7553	7407	7865	6768	7689	6869	7673	7810	7613	8095	6711	7536	6714	7607	7600	7596	7891	6404
# indels	2961	1090	2026	2022	2893	2935	4439	2991	1140	2018	2032	2953	2945	4264	2957	1109	2032	1995	2898	2902	4231
    # indels (<= 5 bp)	2897	1030	1975	1970	2842	2883	4384	2923	1078	1967	1981	2900	2894	4204	2889	1047	1981	1944	2846	2850	4170
    # indels (> 5 bp)	64	60	51	52	51	52	55	68	62	51	51	53	51	60	68	62	51	51	52	52	61
Indels length	6745	4763	5357	5353	6635	6604	8522	6858	4878	5362	5367	6743	6654	8366	6818	4826	5382	5315	6633	6553	8352
