Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_8bins_1_MP	15	15	0	13	2	0	0	0	0	1	4758957	1	6	8	0	0	14	6	19279	989	894	95	5560
r10_8bins_1_MP_helen	15	15	0	13	2	0	0	0	0	1	4758026	1	4	8	0	0	14	6	19167	714	620	94	5270
r10_8bins_1_r1_medaka	15	15	0	13	2	0	0	0	0	1	4758581	1	4	8	0	0	14	6	19216	539	448	91	5023
r10_8bins_1_r2_medaka	15	15	0	13	2	0	0	0	0	1	4758584	1	4	8	0	0	14	6	19220	536	445	91	5022
r10_8bins_1_racon_r1	15	15	0	13	2	0	0	0	0	1	4758019	1	4	8	0	0	14	6	19673	1640	1549	91	6299
r10_8bins_1_racon_r2	15	15	0	13	2	0	0	0	0	1	4758050	1	4	8	0	0	14	6	19536	1582	1491	91	6170
r10_8bins_1_raw	19	19	0	17	2	0	0	0	0	1	4755933	1	18	28	0	0	7	6	21979	10315	10145	170	18545
r10_8bins_2_MP	15	15	0	13	2	0	0	0	0	1	4758981	1	6	8	0	0	14	6	19310	1000	904	96	5545
r10_8bins_2_MP_helen	16	16	0	14	2	0	0	0	0	1	4757842	1	4	8	0	0	14	6	19189	736	639	97	5267
r10_8bins_2_r1_medaka	15	15	0	13	2	0	0	0	0	1	4758589	1	4	8	0	0	14	6	19202	540	450	90	4972
r10_8bins_2_r2_medaka	15	15	0	13	2	0	0	0	0	1	4758101	1	4	8	0	0	14	6	19269	539	449	90	4971
r10_8bins_2_racon_r1	15	15	0	13	2	0	0	0	0	1	4757934	1	4	8	0	0	14	6	19222	1663	1572	91	6258
r10_8bins_2_racon_r2	15	15	0	13	2	0	0	0	0	1	4757912	1	4	8	0	0	14	6	19589	1578	1488	90	6130
r10_8bins_2_raw	18	18	0	16	2	0	0	0	0	1	4756088	1	14	20	0	0	11	6	21607	10545	10369	176	19245
r10_8bins_3_MP	15	15	0	13	2	0	0	0	0	1	4758992	1	6	8	0	0	14	6	19236	1023	926	97	5612
r10_8bins_3_MP_helen	15	15	0	13	2	0	0	0	0	1	4758031	1	4	8	0	0	14	6	19153	725	630	95	5258
r10_8bins_3_r1_medaka	15	15	0	13	2	0	0	0	0	1	4758588	1	4	8	0	0	14	6	18936	532	443	89	4956
r10_8bins_3_r2_medaka	15	15	0	13	2	0	0	0	0	1	4758092	1	4	7	0	0	14	6	18961	532	441	91	5049
r10_8bins_3_racon_r1	15	15	0	13	2	0	0	0	0	1	4757964	1	4	8	0	0	14	6	19632	1678	1588	90	6272
r10_8bins_3_racon_r2	15	15	0	13	2	0	0	0	0	1	4757944	1	4	8	0	0	14	6	19429	1545	1455	90	6099
r10_8bins_3_raw	18	18	0	16	2	0	0	0	0	1	4756065	1	14	23	0	0	9	6	21654	10520	10349	171	19063
