All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  N50      N75      L50  L75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NA50     NA75    LA50  LA75
MP_helen_r10_1   8                    8                       8                       8                        8                        8                        30864326                30864326                   30864326                   30864326                    30864326                    30864326                    8          6792182         30864326      30512959          4757850  2992057  3    5    170              8                       30864326                     114                    0                         0                         0                         0 + 7 part           78334             99.399               1.044              0.00               167.14                    23.20                 2719520            30741396              948395   394044  10    22  
MP_helen_r10_2   8                    8                       8                       8                        8                        8                        30862898                30862898                   30862898                   30862898                    30862898                    30862898                    8          6792182         30862898      30512959          4758004  2992066  3    5    168              8                       30862898                     121                    0                         0                         0                         0 + 7 part           79238             99.394               1.044              0.00               168.33                    23.57                 2593983            30752516              1070324  381362  10    23  
MP_helen_r10_3   8                    8                       8                       8                        8                        8                        30864265                30864265                   30864265                   30864265                    30864265                    30864265                    8          6792182         30864265      30512959          4757772  2992057  3    5    170              8                       30864265                     117                    0                         0                         0                         0 + 7 part           78141             99.399               1.044              0.00               167.79                    23.67                 2719520            30751752              948397   391214  10    22  
MP_r10_1         8                    8                       8                       8                        8                        8                        30868202                30868202                   30868202                   30868202                    30868202                    30868202                    8          6792248         30868202      30512959          4758987  2992056  3    5    170              8                       30868202                     115                    0                         0                         0                         0 + 7 part           77559             99.400               1.044              0.00               175.57                    38.49                 2719519            30745916              949083   394057  10    23  
MP_r10_2         8                    8                       8                       8                        8                        8                        30867654                30867654                   30867654                   30867654                    30867654                    30867654                    8          6792248         30867654      30512959          4759001  2992083  3    5    171              8                       30867654                     116                    0                         0                         0                         0 + 7 part           78440             99.400               1.044              0.00               176.79                    38.54                 2594051            30753243              949084   381621  11    24  
MP_r10_3         8                    8                       8                       8                        8                        8                        30868747                30868747                   30868747                   30868747                    30868747                    30868747                    8          6792248         30868747      30512959          4758968  2992056  3    5    170              8                       30868747                     117                    0                         0                         0                         0 + 7 part           77994             99.400               1.044              0.00               176.43                    38.64                 2719519            30756160              949081   391220  10    23  
r1_medaka_r10_1  8                    8                       8                       8                        8                        8                        30867074                30867074                   30867074                   30867074                    30867074                    30867074                    8          6792245         30867074      30512959          4758591  2992047  3    5    168              8                       30867074                     126                    0                         0                         0                         0 + 7 part           80389             99.399               1.044              0.00               177.79                    27.16                 2719510            30742019              948951   394044  10    22  
r1_medaka_r10_2  8                    8                       8                       8                        8                        8                        30864387                30864387                   30864387                   30864387                    30864387                    30864387                    8          6792245         30864387      30512959          4758589  2992072  3    5    171              8                       30864387                     134                    0                         0                         0                         0 + 7 part           81606             99.399               1.043              0.00               175.84                    26.83                 2594058            30749368              1070329  381538  10    23  
r1_medaka_r10_3  8                    8                       8                       8                        8                        8                        30867120                30867120                   30867120                   30867120                    30867120                    30867120                    8          6792245         30867120      30512959          4758585  2992048  3    5    168              8                       30867120                     122                    0                         0                         0                         0 + 7 part           79327             99.399               1.044              0.00               177.91                    26.75                 2719511            30753312              948995   391209  10    22  
r2_medaka_r10_1  8                    8                       8                       8                        8                        8                        30860600                30860600                   30860600                   30860600                    30860600                    30860600                    8          6792246         30860600      30512959          4758094  2992047  3    5    168              8                       30860600                     130                    0                         0                         0                         0 + 7 part           80339             99.399               1.044              0.00               175.14                    26.41                 2719510            30733107              948963   394045  10    22  
r2_medaka_r10_2  8                    8                       8                       8                        8                        8                        30852160                30852160                   30852160                   30852160                    30852160                    30852160                    8          6792246         30852160      30512959          4758113  2992073  3    5    177              8                       30852160                     130                    0                         0                         0                         0 + 7 part           81948             99.395               1.043              0.00               174.97                    26.16                 2594056            30734452              1070329  381556  10    23  
r2_medaka_r10_3  8                    8                       8                       8                        8                        8                        30863991                30863991                   30863991                   30863991                    30863991                    30863991                    8          6792246         30863991      30512959          4758100  2992046  3    5    169              8                       30863991                     128                    0                         0                         0                         0 + 7 part           80562             99.399               1.044              0.00               176.56                    26.24                 2719509            30746514              948996   391212  10    22  
racon_r1_r10_1   8                    8                       8                       8                        8                        8                        30855559                30855559                   30855559                   30855559                    30855559                    30855559                    8          6791651         30855559      30512959          4757969  2991930  3    5    168              8                       30855559                     149                    0                         0                         0                         0 + 7 part           77865             99.398               1.043              0.00               178.87                    62.35                 2719399            30730889              949205   393993  10    22  
racon_r1_r10_2   8                    8                       8                       8                        8                        8                        30852449                30852449                   30852449                   30852449                    30852449                    30852449                    8          6791651         30852449      30512959          4758019  2991945  3    5    171              8                       30852449                     148                    0                         0                         0                         0 + 7 part           77619             99.398               1.043              0.00               177.74                    61.70                 2593948            30738104              1070253  381631  10    23  
racon_r1_r10_3   8                    8                       8                       8                        8                        8                        30856954                30856954                   30856954                   30856954                    30856954                    30856954                    8          6791651         30856954      30512959          4757945  2991935  3    5    168              8                       30856954                     145                    0                         0                         0                         0 + 7 part           77776             99.398               1.043              0.00               178.06                    62.07                 2719404            30744934              949230   391199  10    22  
