All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50   NGA75   LGA50  LGA75
MP_helen_r10_1   7                       7                        7                        7                        24072144                   24072144                    24072144                    24072144                    7          4765293         24072144      3985829           44.81   43.82             4045616  4765293  2845381  4765293  3    1     5    1     33               1                       4045616                      13                     0                         0                         6                         0 + 7 part           19975897          99.998               1.028              0.00               95.52                     11.22                 788614             4095983               329412  257054  4      8    
MP_helen_r10_2   7                       7                        7                        7                        24070716                   24070716                    24070716                    24070716                    7          4765903         24070716      3985829           44.80   43.82             4045633  4765903  2845365  4765903  3    1     5    1     34               1                       4045633                      13                     0                         0                         6                         0 + 7 part           19974197          99.999               1.028              0.00               96.09                     11.29                 788687             4096076               315070  257052  5      8    
MP_helen_r10_3   7                       7                        7                        7                        24072083                   24072083                    24072083                    24072083                    7          4765296         24072083      3985829           44.81   43.82             4045623  4765296  2845381  4765296  3    1     5    1     33               1                       4045623                      13                     0                         0                         6                         0 + 7 part           19975685          99.997               1.028              0.00               95.97                     11.09                 788686             4095955               329470  257052  4      8    
MP_r10_1         7                       7                        7                        7                        24075954                   24075954                    24075954                    24075954                    7          4765362         24075954      3985829           44.80   43.82             4045594  4765362  2845424  4765362  3    1     5    1     33               1                       4045594                      13                     0                         0                         6                         0 + 7 part           19978205          99.998               1.028              0.00               97.77                     11.11                 788615             4097485               329413  257049  4      8    
MP_r10_2         7                       7                        7                        7                        24075406                   24075406                    24075406                    24075406                    7          4766035         24075406      3985829           44.80   43.82             4045600  4766035  2845426  4766035  3    1     5    1     34               1                       4045600                      13                     0                         0                         6                         0 + 7 part           19977516          99.999               1.028              0.00               98.05                     11.19                 788681             4097393               315065  257049  5      8    
MP_r10_3         7                       7                        7                        7                        24076499                   24076499                    24076499                    24076499                    7          4765940         24076499      3985829           44.80   43.82             4045599  4765940  2845425  4765940  3    1     5    1     33               1                       4045599                      13                     0                         0                         6                         0 + 7 part           19978721          99.997               1.028              0.00               97.93                     11.22                 788681             4097281               329482  257049  4      8    
r1_medaka_r10_1  7                       7                        7                        7                        24074829                   24074829                    24074829                    24074829                    7          4765290         24074829      3985829           44.80   43.82             4045600  4765290  2845435  4765290  3    1     5    1     33               1                       4045600                      13                     0                         0                         6                         0 + 7 part           19978148          99.998               1.028              0.00               96.19                     10.69                 788617             4096471               329410  257050  4      8    
r1_medaka_r10_2  7                       7                        7                        7                        24072142                   24072142                    24072142                    24072142                    7          4765413         24072142      3985829           44.80   43.82             4045603  4765413  2845435  4765413  3    1     5    1     34               1                       4045603                      13                     0                         0                         6                         0 + 7 part           19975547          99.999               1.028              0.00               96.04                     10.44                 788690             4096152               315067  257052  5      8    
r1_medaka_r10_3  7                       7                        7                        7                        24074875                   24074875                    24074875                    24074875                    7          4765355         24074875      3985829           44.80   43.82             4045599  4765355  2845432  4765355  3    1     5    1     33               1                       4045599                      13                     0                         0                         6                         0 + 7 part           19977854          99.997               1.028              0.00               97.30                     10.71                 788691             4096578               329466  257051  4      8    
r2_medaka_r10_1  7                       7                        7                        7                        24068354                   24068354                    24068354                    24068354                    7          4765312         24068354      3985829           44.80   43.82             4045597  4765312  2845432  4765312  3    1     5    1     33               1                       4045597                      13                     0                         0                         6                         0 + 7 part           19971350          99.998               1.028              0.00               96.87                     10.66                 788616             4096794               329410  257050  4      8    
