All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75   LGA50  LGA75
MP_helen_r10_1   7                       7                        7                        7                        24072144                   24072144                    24072144                    24072144                    7          4765293         24072144      4787036           44.81   50.45             4045616  4765293  2845381  4765293  3    1     5    1     21               1                       4765293                      36                     0                         0                         6                         0 + 7 part           19037503          97.703               1.077              0.00               438.57                    17.26                 1414788            5028232               1102964  394044  2      5    
MP_helen_r10_2   7                       7                        7                        7                        24070716                   24070716                    24070716                    24070716                    7          4765903         24070716      4787036           44.80   50.45             4045633  4765903  2845365  4765903  3    1     5    1     21               1                       4765903                      37                     0                         0                         6                         0 + 7 part           19038179          97.703               1.076              0.00               432.65                    18.26                 1409105            5027143               1103266  393567  2      5    
MP_helen_r10_3   7                       7                        7                        7                        24072083                   24072083                    24072083                    24072083                    7          4765296         24072083      4787036           44.81   50.45             4045623  4765296  2845381  4765296  3    1     5    1     21               1                       4765296                      37                     0                         0                         6                         0 + 7 part           19037191          97.701               1.077              0.00               438.86                    18.18                 1408813            5031914               1105651  393564  2      5    
MP_r10_1         7                       7                        7                        7                        24075954                   24075954                    24075954                    24075954                    7          4765362         24075954      4787036           44.80   50.45             4045594  4765362  2845424  4765362  3    1     5    1     21               1                       4765362                      36                     0                         0                         6                         0 + 7 part           19044228          97.703               1.076              0.00               435.36                    20.46                 1414847            5025305               1102965  394057  2      5    
MP_r10_2         7                       7                        7                        7                        24075406                   24075406                    24075406                    24075406                    7          4766035         24075406      4787036           44.80   50.45             4045600  4766035  2845426  4766035  3    1     5    1     21               1                       4766035                      37                     0                         0                         6                         0 + 7 part           19042871          97.703               1.076              0.00               436.13                    20.91                 1409411            5027153               1103287  393568  2      5    
MP_r10_3         7                       7                        7                        7                        24076499                   24076499                    24076499                    24076499                    7          4765940         24076499      4787036           44.80   50.45             4045599  4765940  2845425  4765940  3    1     5    1     21               1                       4765940                      37                     0                         0                         6                         0 + 7 part           19043951          97.703               1.076              0.00               437.42                    20.96                 1408886            5027154               1103294  393570  2      5    
r1_medaka_r10_1  7                       7                        7                        7                        24074829                   24074829                    24074829                    24074829                    7          4765290         24074829      4787036           44.80   50.45             4045600  4765290  2845435  4765290  3    1     5    1     21               1                       4765290                      36                     0                         0                         6                         0 + 7 part           19039034          97.703               1.077              0.00               442.21                    15.87                 1414826            5029385               1102953  394044  2      5    
r1_medaka_r10_2  7                       7                        7                        7                        24072142                   24072142                    24072142                    24072142                    7          4765413         24072142      4787036           44.80   50.45             4045603  4765413  2845435  4765413  3    1     5    1     21               1                       4765413                      36                     0                         0                         6                         0 + 7 part           19035704          97.703               1.077              0.00               442.87                    15.65                 1408941            5031101               1103270  393564  2      5    
r1_medaka_r10_3  7                       7                        7                        7                        24074875                   24074875                    24074875                    24074875                    7          4765355         24074875      4787036           44.80   50.45             4045599  4765355  2845432  4765355  3    1     5    1     21               1                       4765355                      36                     0                         0                         6                         0 + 7 part           19040429          97.703               1.077              0.00               438.49                    15.14                 1408883            5029109               1103279  393559  2      5    
r2_medaka_r10_1  7                       7                        7                        7                        24068354                   24068354                    24068354                    24068354                    7          4765312         24068354      4787036           44.80   50.45             4045597  4765312  2845432  4765312  3    1     5    1     21               1                       4765312                      36                     0                         0                         6                         0 + 7 part           19032199          97.703               1.077              0.00               442.63                    15.61                 1414828            5029774               1102960  394045  2      5    
r2_medaka_r10_2  7                       7                        7                        7                        24059914                   24059914                    24059914                    24059914                    7          4765387         24059914      4787036           44.80   50.45             4045604  4765387  2845433  4765387  3    1     5    1     21               1                       4765387                      37                     0                         0                         6                         0 + 7 part           19023615          97.701               1.077              0.00               442.54                    15.05                 1408918            5033335               1105647  393564  2      5    
