Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
MP_helen_r10_1	1	1	0	1	0	0	0	0	0	1	2845381	0	0	16	0	0	19	6	7023	421	381	40	2381
MP_helen_r10_2	1	1	0	1	0	0	0	0	0	1	2845365	0	0	16	0	0	19	6	7043	444	403	41	2417
MP_helen_r10_3	1	1	0	1	0	0	0	0	0	1	2845381	0	0	16	0	0	19	6	6971	424	384	40	2385
MP_r10_1	1	1	0	1	0	0	0	0	0	1	2845424	0	0	16	0	0	19	6	6993	438	398	40	2399
MP_r10_2	1	1	0	1	0	0	0	0	0	1	2845426	0	0	16	0	0	19	6	7009	437	397	40	2398
MP_r10_3	1	1	0	1	0	0	0	0	0	1	2845425	0	0	16	0	0	19	6	6996	440	400	40	2401
r1_medaka_r10_1	1	1	0	1	0	0	0	0	0	1	2845435	0	0	16	0	0	19	6	7037	403	363	40	2333
r1_medaka_r10_2	1	1	0	1	0	0	0	0	0	1	2845435	0	0	16	0	0	19	6	7010	397	357	40	2313
r1_medaka_r10_3	1	1	0	1	0	0	0	0	0	1	2845432	0	0	16	0	0	19	6	7074	399	359	40	2328
r2_medaka_r10_1	1	1	0	1	0	0	0	0	0	1	2845432	0	0	16	0	0	19	6	7099	398	358	40	2327
r2_medaka_r10_2	1	1	0	1	0	0	0	0	0	1	2845433	0	0	16	0	0	19	6	7068	383	344	39	2296
r2_medaka_r10_3	1	1	0	1	0	0	0	0	0	1	2845433	0	0	16	0	0	19	6	7099	406	366	40	2341
racon_r1_r10_1	1	1	0	1	0	0	0	0	0	1	2845317	0	0	16	0	0	19	5	6596	589	552	37	2512
racon_r1_r10_2	1	1	0	1	0	0	0	0	0	1	2845303	0	0	16	0	0	19	6	6612	608	571	37	2525
racon_r1_r10_3	1	1	0	1	0	0	0	0	0	1	2845316	0	0	16	0	0	19	6	6777	621	585	36	2564
racon_r2_r10_1	1	1	0	1	0	0	0	0	0	1	2845298	0	0	16	0	0	19	6	7047	625	588	37	2598
racon_r2_r10_2	1	1	0	1	0	0	0	0	0	1	2845330	0	0	16	0	0	19	6	7011	647	609	38	2620
racon_r2_r10_3	1	1	0	1	0	0	0	0	0	1	2845342	0	0	16	0	0	19	6	6988	623	585	38	2570
raw_r10_1	1	1	0	1	0	0	0	0	0	1	2843358	1	6	21	0	0	10	6	4283	3594	3557	37	6231
raw_r10_2	1	1	0	1	0	0	0	0	0	1	2843843	1	6	20	0	0	11	5	4271	3536	3502	34	6061
raw_r10_3	1	1	0	1	0	0	0	0	0	1	2843366	1	6	21	0	0	11	6	4219	3568	3532	36	6103
