All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50  NGA75  LGA50  LGA75
MP_helen_r10_1   7                       7                        7                        7                        24072144                   24072144                    24072144                    24072144                    7          4765293         24072144      1805517           44.81   52.72             4045616  4765293  2845381  4765293  3    1     5    1     75               1                       1947899                      12                     0                         0                         6                         0 + 7 part           22079400          99.934               1.105              0.00               263.62                    11.92                 177187             1986914               69796  35503  8      18   
MP_helen_r10_2   7                       7                        7                        7                        24070716                   24070716                    24070716                    24070716                    7          4765903         24070716      1805517           44.80   52.72             4045633  4765903  2845365  4765903  3    1     5    1     73               1                       1945703                      14                     0                         0                         6                         0 + 7 part           22080830          99.858               1.104              0.00               265.43                    10.54                 177211             1983807               88201  35032  8      17   
MP_helen_r10_3   7                       7                        7                        7                        24072083                   24072083                    24072083                    24072083                    7          4765296         24072083      1805517           44.81   52.72             4045623  4765296  2845381  4765296  3    1     5    1     75               1                       1947905                      13                     0                         0                         6                         0 + 7 part           22079301          99.934               1.105              0.00               263.90                    12.08                 177186             1986952               69794  35504  8      18   
MP_r10_1         7                       7                        7                        7                        24075954                   24075954                    24075954                    24075954                    7          4765362         24075954      1805517           44.80   52.72             4045594  4765362  2845424  4765362  3    1     5    1     74               1                       1948632                      11                     0                         0                         6                         0 + 7 part           22082014          99.943               1.105              0.00               263.37                    12.08                 177188             1988052               81537  35503  8      17   
MP_r10_2         7                       7                        7                        7                        24075406                   24075406                    24075406                    24075406                    7          4766035         24075406      1805517           44.80   52.72             4045600  4766035  2845426  4766035  3    1     5    1     74               1                       1947378                      11                     0                         0                         6                         0 + 7 part           22083090          99.943               1.104              0.00               267.75                    11.75                 177208             1986237               89790  35032  8      17   
MP_r10_3         7                       7                        7                        7                        24076499                   24076499                    24076499                    24076499                    7          4765940         24076499      1805517           44.80   52.72             4045599  4765940  2845425  4765940  3    1     5    1     74               1                       1948619                      11                     0                         0                         6                         0 + 7 part           22082058          99.943               1.105              0.00               266.64                    11.58                 177188             1988553               81536  35504  8      17   
r1_medaka_r10_1  7                       7                        7                        7                        24074829                   24074829                    24074829                    24074829                    7          4765290         24074829      1805517           44.80   52.72             4045600  4765290  2845435  4765290  3    1     5    1     74               1                       1948337                      23                     0                         0                         6                         0 + 7 part           22083303          99.926               1.104              0.00               307.99                    14.80                 177182             1985686               81506  35504  8      17   
r1_medaka_r10_2  7                       7                        7                        7                        24072142                   24072142                    24072142                    24072142                    7          4765413         24072142      1805517           44.80   52.72             4045603  4765413  2845435  4765413  3    1     5    1     76               1                       1945464                      29                     0                         0                         6                         0 + 7 part           22085751          99.928               1.101              0.00               290.85                    13.53                 173119             1980360               89788  34836  8      17   
r1_medaka_r10_3  7                       7                        7                        7                        24074875                   24074875                    24074875                    24074875                    7          4765355         24074875      1805517           44.80   52.72             4045599  4765355  2845432  4765355  3    1     5    1     74               1                       1948309                      18                     0                         0                         6                         0 + 7 part           22082523          99.934               1.104              0.00               305.19                    14.19                 177183             1986471               81506  35504  8      17   
r2_medaka_r10_1  7                       7                        7                        7                        24068354                   24068354                    24068354                    24068354                    7          4765312         24068354      1805517           44.80   52.72             4045597  4765312  2845432  4765312  3    1     5    1     74               1                       1942334                      27                     0                         0                         6                         0 + 7 part           22083679          99.922               1.100              0.00               281.72                    12.03                 177184             1978775               81470  35415  8      17   
