All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75   LGA50  LGA75
MP_helen_r10_1   7                       7                        7                        7                        24072144                   24072144                    24072144                    24072144                    7          4765293         24072144      2689205           44.81   32.69             4045616  4765293  2845381  4765293  3    1     5    1     14               1                       2718048                      9                      0                         0                         6                         0 + 7 part           21275028          99.546               1.045              0.00               251.63                    41.09                 948267             2795142               480285   381246  2      4    
MP_helen_r10_2   7                       7                        7                        7                        24070716                   24070716                    24070716                    24070716                    7          4765903         24070716      2689205           44.80   32.69             4045633  4765903  2845365  4765903  3    1     5    1     14               1                       2718042                      10                     0                         0                         6                         0 + 7 part           21272586          99.546               1.045              0.00               256.82                    42.10                 948395             2796156               480282   381243  2      4    
MP_helen_r10_3   7                       7                        7                        7                        24072083                   24072083                    24072083                    24072083                    7          4765296         24072083      2689205           44.81   32.69             4045623  4765296  2845381  4765296  3    1     5    1     14               1                       2718049                      9                      0                         0                         6                         0 + 7 part           21273911          99.546               1.045              0.00               256.89                    41.54                 948269             2796198               480291   381245  2      4    
MP_r10_1         7                       7                        7                        7                        24075954                   24075954                    24075954                    24075954                    7          4765362         24075954      2689205           44.80   32.69             4045594  4765362  2845424  4765362  3    1     5    1     14               1                       2719899                      9                      0                         0                         6                         0 + 7 part           21276931          99.546               1.046              0.00               282.41                    111.32                948955             2797046               480587   381503  2      4    
MP_r10_2         7                       7                        7                        7                        24075406                   24075406                    24075406                    24075406                    7          4766035         24075406      2689205           44.80   32.69             4045600  4766035  2845426  4766035  3    1     5    1     14               1                       2719883                      9                      0                         0                         6                         0 + 7 part           21275570          99.546               1.046              0.00               287.67                    111.66                948956             2797859               480580   381502  2      4    
MP_r10_3         7                       7                        7                        7                        24076499                   24076499                    24076499                    24076499                    7          4765940         24076499      2689205           44.80   32.69             4045599  4765940  2845425  4765940  3    1     5    1     14               1                       2719892                      9                      0                         0                         6                         0 + 7 part           21276465          99.546               1.046              0.00               287.71                    112.33                948953             2798057               480578   381503  2      4    
r1_medaka_r10_1  7                       7                        7                        7                        24074829                   24074829                    24074829                    24074829                    7          4765290         24074829      2689205           44.80   32.69             4045600  4765290  2845435  4765290  3    1     5    1     14               1                       2719529                      9                      0                         0                         6                         0 + 7 part           21275929          99.546               1.046              0.00               284.46                    77.48                 948823             2796935               480485   381420  2      4    
r1_medaka_r10_2  7                       7                        7                        7                        24072142                   24072142                    24072142                    24072142                    7          4765413         24072142      2689205           44.80   32.69             4045603  4765413  2845435  4765413  3    1     5    1     14               1                       2719566                      9                      0                         0                         6                         0 + 7 part           21273481          99.546               1.045              0.00               283.34                    77.06                 948881             2796696               480484   381419  2      4    
r1_medaka_r10_3  7                       7                        7                        7                        24074875                   24074875                    24074875                    24074875                    7          4765355         24074875      2689205           44.80   32.69             4045599  4765355  2845432  4765355  3    1     5    1     14               1                       2719547                      9                      0                         0                         6                         0 + 7 part           21276200          99.546               1.045              0.00               283.34                    76.65                 948867             2796710               480483   381413  2      4    
r2_medaka_r10_1  7                       7                        7                        7                        24068354                   24068354                    24068354                    24068354                    7          4765312         24068354      2689205           44.80   32.69             4045597  4765312  2845432  4765312  3    1     5    1     14               1                       2719538                      9                      0                         0                         6                         0 + 7 part           21269804          99.546               1.045              0.00               283.68                    76.13                 948835             2796585               480490   381435  2      4    
r2_medaka_r10_2  7                       7                        7                        7                        24059914                   24059914                    24059914                    24059914                    7          4765387         24059914      2689205           44.80   32.69             4045604  4765387  2845433  4765387  3    1     5    1     14               1                       2719579                      9                      0                         0                         6                         0 + 7 part           21260462          99.546               1.046              0.00               288.27                    77.62                 948843             2797486               480473   381437  2      4    
r2_medaka_r10_3  7                       7                        7                        7                        24071745                   24071745                    24071745                    24071745                    7          4765372         24071745      2689205           44.80   32.69             4045600  4765372  2845433  4765372  3    1     5    1     14               1                       2719575                      9                      0                         0                         6                         0 + 7 part           21271842          99.546               1.046              0.00               289.88                    77.74                 948868             2797937               480489   381431  2      4    
racon_r1_r10_1   7                       7                        7                        7                        24063908                   24063908                    24063908                    24063908                    7          4764581         24063908      2689205           44.79   32.69             4045299  4764581  2845317  4764581  3    1     5    1     14               1                       2720266                      9                      0                         0                         6                         0 + 7 part           21266901          99.546               1.045              0.00               289.62                    109.26                949077             2795042               480605   381516  2      4    
racon_r1_r10_2   7                       7                        7                        7                        24060798                   24060798                    24060798                    24060798                    7          4764920         24060798      2689205           44.79   32.69             4045286  4764920  2845303  4764920  3    1     5    1     14               1                       2720345                      10                     0                         0                         6                         0 + 7 part           21264136          99.546               1.045              0.00               284.35                    109.41                949302             2794696               480595   381512  2      4    
racon_r1_r10_3   7                       7                        7                        7                        24065303                   24065303                    24065303                    24065303                    7          4764661         24065303      2689205           44.79   32.69             4045284  4764661  2845316  4764661  3    1     5    1     14               1                       2720243                      9                      0                         0                         6                         0 + 7 part           21268392          99.546               1.045              0.00               284.12                    109.38                949102             2794946               480596   381510  2      4    
racon_r2_r10_1   7                       7                        7                        7                        24061249                   24061249                    24061249                    24061249                    7          4764695         24061249      2689205           44.79   32.69             4045354  4764695  2845298  4764695  3    1     5    1     14               1                       2720247                      10                     0                         0                         6                         0 + 7 part           21261735          99.546               1.046              0.00               297.72                    108.63                949216             2797548               480622   381539  2      4    
racon_r2_r10_2   7                       7                        7                        7                        24053400                   24053400                    24053400                    24053400                    7          4764766         24053400      2689205           44.78   32.69             4045343  4764766  2845330  4764766  3    1     5    1     14               1                       2720315                      9                      0                         0                         6                         0 + 7 part           21255747          99.546               1.045              0.00               288.94                    108.74                949124             2795686               480618   381544  2      4    
racon_r2_r10_3   7                       7                        7                        7                        24062516                   24062516                    24062516                    24062516                    7          4764706         24062516      2689205           44.79   32.69             4045342  4764706  2845342  4764706  3    1     5    1     14               1                       2720337                      10                     0                         0                         6                         0 + 7 part           21264703          99.546               1.045              0.00               290.36                    108.03                949250             2795846               480629   381556  2      4    
raw_r10_1        7                       7                        7                        7                        24062559                   24062559                    24062559                    24062559                    7          4763429         24062559      2689205           44.77   32.69             4043031  4763429  2843358  4763429  3    1     5    1     13               1                       2718430                      19                     0                         0                         5                         0 + 7 part           21322323          99.538               1.024              0.00               246.68                    158.44                1350628            2738321               1350628  381299  1      3    
raw_r10_2        7                       7                        7                        7                        24061175                   24061175                    24061175                    24061175                    7          4763874         24061175      2689205           44.77   32.69             4042943  4763874  2843843  4763874  3    1     5    1     13               1                       2718436                      20                     0                         0                         5                         0 + 7 part           21319249          99.538               1.024              0.00               249.29                    159.89                1350628            2740011               1350628  381299  1      3    
raw_r10_3        7                       7                        7                        7                        24061500                   24061500                    24061500                    24061500                    7          4763424         24061500      2689205           44.77   32.69             4042477  4763424  2843366  4763424  3    1     5    1     13               1                       2718434                      20                     0                         0                         5                         0 + 7 part           21319439          99.538               1.024              0.00               250.26                    159.89                1350628            2740146               1350628  381298  1      3    
