S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
56	80800	1	80746	lf_ill_lf_contig4	contig_14	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	844	80748	81591	lf_ill_lf_contig2	contig_14	99.78		True
translocation
1	11301	92890	81592	lf_ill_lf_contig43	contig_14	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	730	92891	93565	lf_ill_lf_contig85	contig_14	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	789	94310	93577	lf_ill_lf_contig81	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3047	94311	97357	lf_ill_lf_contig66	contig_14	100.0		True
translocation
80303	80800	97358	97856	lf_ill_lf_contig4	contig_14	99.83		True
fake: not a misassembly [fragmentation of reference genome]
1	899	97858	98756	lf_ill_lf_contig2	contig_14	99.78		True
translocation
55	582	99284	98757	lf_ill_lf_contig88	contig_14	100.0		True
translocation
88184	89169	100270	99285	lf_ill_lf_contig3	contig_14	97.54		True
translocation
1	5064	100271	105334	lf_ill_lf_contig55	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	980	105335	106259	lf_ill_lf_contig79	contig_14	99.8		True
fake: not a misassembly [fragmentation of reference genome]
1	2853	109377	106525	lf_ill_lf_contig67	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	110610	109378	lf_ill_lf_contig73	contig_14	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	46568	157178	110611	lf_ill_lf_contig11	contig_14	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	73582	157428	231010	lf_ill_lf_contig6	contig_14	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1332	231012	232353	lf_ill_lf_contig57	contig_14	99.25		True
local misassembly
1544	3911	232370	234737	lf_ill_lf_contig57	contig_14	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	703	235440	234738	lf_ill_lf_contig82	contig_14	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	2464	235626	238089	lf_ill_lf_contig69	contig_14	100.0		True
translocation
114820	115148	238090	238418	lf_ill_lf_contig1	contig_14	99.7		True
fake: not a misassembly [fragmentation of reference genome]
37144	37666	239183	238661	lf_ill_lf_contig17	contig_14	99.81		True
translocation
80301	80800	239184	239683	lf_ill_lf_contig4	contig_14	99.6		True
fake: not a misassembly [fragmentation of reference genome]
1	844	239685	240528	lf_ill_lf_contig2	contig_14	99.56		True
translocation
8037	40416	272909	240529	lf_ill_lf_contig14	contig_14	99.98		True
local misassembly
