S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
46754	47071	3	320	pa_ill_pa_contig35	contig_2	98.43		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3149	998	pa_ill_pa_contig55	contig_2	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3150	235719	pa_ill_pa_contig10	contig_2	99.98		True
translocation
129	1718	235720	237309	pa_ill_pa_contig57	contig_2	100.0		True
translocation
232388	237415	237310	242336	pa_ill_pa_contig10	contig_2	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	244769	242337	pa_ill_pa_contig48	contig_2	99.6		True
local misassembly
1	1079	246003	244925	pa_ill_pa_contig48	contig_2	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	246004	246849	pa_ill_pa_contig70	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	249858	246850	pa_ill_pa_contig51	contig_2	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	367765	249859	pa_ill_pa_contig11	contig_2	99.98		True
local misassembly
1	92856	460622	367766	pa_ill_pa_contig11	contig_2	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	460623	461497	pa_ill_pa_contig69	contig_2	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	461498	510467	pa_ill_pa_contig34	contig_2	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	510468	516070	pa_ill_pa_contig44	contig_2	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	622397	516071	pa_ill_pa_contig22	contig_2	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	712927	622773	pa_ill_pa_contig23	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	712928	714014	pa_ill_pa_contig67	contig_2	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	714015	1179673	pa_ill_pa_contig3	contig_2	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1179674	1182131	pa_ill_pa_contig54	contig_2	99.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1182582	1182132	pa_ill_pa_contig83	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	1182583	1183450	pa_ill_pa_contig74	contig_2	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	1184254	1303259	pa_ill_pa_contig18	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	1303260	1308917	pa_ill_pa_contig44	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	1308918	1309755	pa_ill_pa_contig63	contig_2	100.0		True
translocation
56	1405	1311105	1309756	pa_ill_pa_contig12	contig_2	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1437	1311106	1312542	pa_ill_pa_contig61	contig_2	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21904	1312543	1334446	pa_ill_pa_contig41	contig_2	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	868	1335974	1335101	pa_ill_pa_contig74	contig_2	98.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1335975	1336425	pa_ill_pa_contig83	contig_2	95.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1338884	1336426	pa_ill_pa_contig54	contig_2	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
132	56432	1395184	1338885	pa_ill_pa_contig31	contig_2	99.93		True
local misassembly
3	591	1395796	1395208	pa_ill_pa_contig31	contig_2	94.06		True
local misassembly [fragmentation of reference genome]
1	483	1396771	1397253	pa_ill_pa_contig14	contig_2	97.57		True
local misassembly
1	187635	1397254	1584888	pa_ill_pa_contig14	contig_2	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	123	1584935	1585057	pa_ill_pa_contig7	contig_2	99.19		True
local misassembly
1	77	1585277	1585353	pa_ill_pa_contig7	contig_2	98.7		True
local misassembly
1	265097	1585733	1850831	pa_ill_pa_contig7	contig_2	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1538	1851282	1852819	pa_ill_pa_contig60	contig_2	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	3511	1856702	1853192	pa_ill_pa_contig49	contig_2	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	38146	1857291	1895436	pa_ill_pa_contig36	contig_2	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	1895437	1901040	pa_ill_pa_contig44	contig_2	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	61716	1901041	1962755	pa_ill_pa_contig29	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	1963842	1962756	pa_ill_pa_contig67	contig_2	99.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	847683	2811535	1963843	pa_ill_pa_contig1	contig_2	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2207	2811536	2813687	pa_ill_pa_contig55	contig_2	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	47071	2861438	2814366	pa_ill_pa_contig35	contig_2	99.99		True
translocation
2917	3517	2861439	2862039	pa_ill_pa_contig6	contig_2	94.81		True
relocation, inconsistency = -3525
1	266935	2862048	3128983	pa_ill_pa_contig6	contig_2	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	3240193	3128984	pa_ill_pa_contig20	contig_2	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	3245590	3240194	pa_ill_pa_contig45	contig_2	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	3245591	3364284	pa_ill_pa_contig19	contig_2	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	3364285	3364776	pa_ill_pa_contig80	contig_2	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	3366013	3364777	pa_ill_pa_contig65	contig_2	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	3366902	3366014	pa_ill_pa_contig71	contig_2	98.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	3366903	3367549	pa_ill_pa_contig8	contig_2	99.05		True
translocation
1	23992	3367550	3391541	pa_ill_pa_contig40	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	3391542	3392899	pa_ill_pa_contig62	contig_2	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	3392900	3449581	pa_ill_pa_contig30	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	3449582	3450398	pa_ill_pa_contig73	contig_2	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	3655281	3450399	pa_ill_pa_contig12	contig_2	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	3655282	3656663	pa_ill_pa_contig61	contig_2	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	3656664	3763460	pa_ill_pa_contig21	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	3764608	3763461	pa_ill_pa_contig64	contig_2	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	3764609	3798936	pa_ill_pa_contig15	contig_2	99.86		True
local misassembly
34236	173697	3798937	3938477	pa_ill_pa_contig15	contig_2	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	3938478	3939112	pa_ill_pa_contig76	contig_2	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	3940255	3939228	pa_ill_pa_contig68	contig_2	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	3941014	3941605	pa_ill_pa_contig77	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	3941606	3942295	pa_ill_pa_contig76	contig_2	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	3943383	3942411	pa_ill_pa_contig68	contig_2	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	3944989	3943384	pa_ill_pa_contig59	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	3944990	3946616	pa_ill_pa_contig58	contig_2	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	3946617	3951587	pa_ill_pa_contig46	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	3951588	3953159	pa_ill_pa_contig58	contig_2	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	3953160	3956397	pa_ill_pa_contig50	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	3956398	3957141	pa_ill_pa_contig75	contig_2	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	3963977	3957831	pa_ill_pa_contig43	contig_2	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	3963978	3964721	pa_ill_pa_contig75	contig_2	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	3965411	4033743	pa_ill_pa_contig28	contig_2	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	4033744	4034618	pa_ill_pa_contig69	contig_2	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	4065386	4034619	pa_ill_pa_contig38	contig_2	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	4067819	4065387	pa_ill_pa_contig48	contig_2	99.4		True
local misassembly
56	1079	4068998	4067975	pa_ill_pa_contig48	contig_2	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	4068999	4075588	pa_ill_pa_contig42	contig_2	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	4078542	4075589	pa_ill_pa_contig51	contig_2	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	4078543	4105336	pa_ill_pa_contig39	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	4105829	4105337	pa_ill_pa_contig79	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	4364397	4105830	pa_ill_pa_contig8	contig_2	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	4364398	4365231	pa_ill_pa_contig71	contig_2	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	4365232	4366468	pa_ill_pa_contig65	contig_2	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	4366960	4366469	pa_ill_pa_contig80	contig_2	99.17		True
