All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# misassemblies                                 1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
  # contig misassemblies                        1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # c. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # c. translocations                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     2845426         2845369               2845429                2845431                2845288               2845343               2843857          2845426         2845369               2845430                2845431                2845286               2845339               2843857          2845426         2845369               2845430                2845431                2845286               2845339               2843857        
# possibly misassembled contigs                 0               0                     0                      0                      0                     0                     1                0               0                     0                      0                      0                     0                     1                0               0                     0                      0                      0                     0                     1              
    # possible misassemblies                    0               0                     0                      0                      0                     0                     6                0               0                     0                      0                      0                     0                     6                0               0                     0                      0                      0                     0                     6              
# local misassemblies                           16              16                    16                     16                     16                    16                    20               16              16                    16                     16                     16                    16                    20               16              16                    16                     16                     16                    16                    20             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  19              19                    19                     19                     19                    19                    11               19              19                    19                     19                     19                    19                    11               19              19                    19                     19                     19                    19                    11             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     5                6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6              
# mismatches                                    7037            7077                  7083                   7163                   6553                  6809                  4134             6986            7102                  7109                   7181                   6616                  6612                  4194             6986            7104                  7101                   6932                   6614                  6719                  4195           
# indels                                        438             443                   400                    415                    582                   591                   3549             437             443                   399                    403                    616                   570                   3566             437             444                   403                    386                    609                   564                   3566           
    # indels (<= 5 bp)                          397             401                   359                    374                    543                   554                   3513             396             401                   360                    363                    578                   533                   3530             396             402                   364                    346                    570                   528                   3530           
    # indels (> 5 bp)                           41              42                    41                     41                     39                    37                    36               41              42                    39                     40                     38                    37                    36               41              42                    39                     40                     39                    36                    36             
Indels length                                   2456            2473                  2370                   2425                   2566                  2592                  6143             2455            2473                  2359                   2393                   2605                  2547                  6163             2455            2474                  2366                   2346                   2608                  2519                  6163           
