S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200288	1	ec_ill_ec_contig2	contig_14	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200289	200774	ec_ill_ec_contig98	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216135	200775	ec_ill_ec_contig54	contig_14	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216688	216203	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314076	216784	ec_ill_ec_contig19	contig_14	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314077	316601	ec_ill_ec_contig71	contig_14	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316817	317392	ec_ill_ec_contig95	contig_14	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317393	325087	ec_ill_ec_contig61	contig_14	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325542	325088	ec_ill_ec_contig101	contig_14	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352887	325543	ec_ill_ec_contig46	contig_14	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352888	353460	ec_ill_ec_contig96	contig_14	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353803	353461	ec_ill_ec_contig85	contig_14	93.45		True
translocation
1	1970	355773	353804	ec_ill_ec_contig74	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356747	355774	ec_ill_ec_contig82	contig_14	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356748	371123	ec_ill_ec_contig55	contig_14	99.98		True
translocation
1	384	371507	371124	ec_ill_ec_contig50	contig_14	98.97		True
fake: not a misassembly [fragmentation of reference genome]
1	395	371627	372020	ec_ill_ec_contig9	contig_14	96.99		True
translocation
1	18741	372021	390761	ec_ill_ec_contig51	contig_14	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391314	390829	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391410	423097	ec_ill_ec_contig42	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435965	423098	ec_ill_ec_contig57	contig_14	100.0		True
local misassembly [fragmentation of reference genome]
22	507	436061	436546	ec_ill_ec_contig104	contig_14	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535386	436614	ec_ill_ec_contig18	contig_14	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536617	535387	ec_ill_ec_contig79	contig_14	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707919	536618	ec_ill_ec_contig3	contig_14	99.99		True
local misassembly
1	57666	765585	707920	ec_ill_ec_contig3	contig_14	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765586	766159	ec_ill_ec_contig96	contig_14	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766521	766160	ec_ill_ec_contig85	contig_14	94.88		True
translocation
56	550	767016	766522	ec_ill_ec_contig102	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767608	767017	ec_ill_ec_contig93	contig_14	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767609	768447	ec_ill_ec_contig88	contig_14	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769530	768448	ec_ill_ec_contig82	contig_14	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769531	770395	ec_ill_ec_contig87	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770396	770920	ec_ill_ec_contig100	contig_14	99.66		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771872	771368	ec_ill_ec_contig50	contig_14	94.43		True
translocation
1	13785	771873	785657	ec_ill_ec_contig56	contig_14	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	786210	785725	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	292	787073	787364	ec_ill_ec_contig13	contig_14	97.96		True
translocation
9004	9482	787365	787843	ec_ill_ec_contig55	contig_14	96.15		True
translocation
1	595	787844	788438	ec_ill_ec_contig99	contig_14	100.0		True
translocation
70844	71136	788644	788936	ec_ill_ec_contig26	contig_14	99.32		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	789449	789056	ec_ill_ec_contig9	contig_14	96.71		True
translocation
1	70438	789450	859887	ec_ill_ec_contig27	contig_14	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	859888	861009	ec_ill_ec_contig80	contig_14	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38051	899063	861010	ec_ill_ec_contig38	contig_14	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	902795	899677	ec_ill_ec_contig69	contig_14	99.74		True
fake: not a misassembly [fragmentation of reference genome]
1	71131	903677	974835	ec_ill_ec_contig26	contig_14	99.94		True
local misassembly [fragmentation of reference genome]
