S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	189	189	1	sa_ill_sa_contig13	contig_102	100.0		False
305	382	370371	370449	sa_ill_sa_contig51	contig_102	98.73		False
1	161	370371	370544	sa_ill_sa_contig51	contig_102	92.53		False
105	186	403509	403428	sa_ill_sa_contig25	contig_102	100.0		False
164	242	403513	403591	sa_ill_sa_contig23	contig_102	100.0		False
306	382	403687	403764	sa_ill_sa_contig51	contig_102	98.72		False
9108	9197	404079	404168	sa_ill_sa_contig20	contig_102	97.78		False
890	964	404251	404177	ef_ill_ef_contig21	contig_102	93.33		False
691	759	404460	404392	ef_ill_ef_contig21	contig_102	95.65		False
1	75	404541	404467	ef_ill_ef_contig16	contig_102	100.0		False
610	689	404545	404466	ef_ill_ef_contig21	contig_102	100.0		False
439	523	404551	404467	lm_ill_lm_contig37	contig_102	96.47		False
98793	98873	404823	404903	bs_ill_bs_contig3	contig_102	93.83		False
276	350	404984	404910	sa_ill_sa_contig25	contig_102	100.0		False
98882	98963	404904	404985	bs_ill_bs_contig3	contig_102	93.9		False
92	173	404986	404905	bs_ill_bs_contig1326	contig_102	93.9		False
1	79	405156	405078	sa_ill_sa_contig25	contig_102	100.0		False
87	460	404911	405284	sa_ill_sa_contig23	contig_102	99.2		False
688	765	408495	408572	sa_ill_sa_contig51	contig_102	100.0		False
1243	1307	408662	408598	lf_ill_lf_contig69	contig_102	100.0		False
1412	1806	409145	408751	ef_ill_ef_contig19	contig_102	90.38		False
3804	3891	409168	409255	se_ill_se_contig42	contig_102	90.91		False
950	1024	409257	409183	ec_ill_ec_contig65	contig_102	94.67		False
779	853	409258	409184	lf_ill_lf_contig57	contig_102	98.67		False
1289	1407	409268	409150	ef_ill_ef_contig19	contig_102	96.64		False
1397	1503	409425	409319	pa_ill_pa_contig44	contig_102	96.26		False
786	906	409425	409305	ec_ill_ec_contig65	contig_102	93.39		False
3937	4076	409305	409444	se_ill_se_contig42	contig_102	91.43		False
500	748	409541	409293	lf_ill_lf_contig57	contig_102	91.57		False
4115	4186	409484	409555	se_ill_se_contig42	contig_102	94.44		False
656	727	409556	409485	ec_ill_ec_contig65	contig_102	94.44		False
810	1268	409751	409293	ef_ill_ef_contig19	contig_102	93.9		False
734	807	409825	409752	ef_ill_ef_contig19	contig_102	95.95		False
199	289	409840	409750	lf_ill_lf_contig57	contig_102	91.21		False
1	982	410024	409042	bs_ill_bs_contig933	contig_102	92.44		False
2	120	409971	410089	bs_ill_bs_contig3	contig_102	90.76		False
470	710	410089	409849	ef_ill_ef_contig19	contig_102	91.29		False
174	1724	410303	408751	lm_ill_lm_contig16	contig_102	90.51		False
261	334	410231	410304	bs_ill_bs_contig3	contig_102	93.24		False
142	348	438388	438594	sa_ill_sa_contig31	contig_102	97.58		False
1	133	478526	478394	sa_ill_sa_contig31	contig_102	98.5		False
134184	134302	478448	478566	sa_ill_sa_contig7	contig_102	97.48		False
131884	131983	478657	478558	sa_ill_sa_contig8	contig_102	98.0		False
45829	46373	478674	478131	sa_ill_sa_contig14	contig_102	98.17		False
106923	107136	478675	478462	sa_ill_sa_contig3	contig_102	99.53		False
38188	38352	540946	541110	sa_ill_sa_contig23	contig_102	95.76		False
343	460	541205	541321	sa_ill_sa_contig23	contig_102	99.15		False
304	384	541499	541579	lm_ill_lm_contig12	contig_102	92.59		False
8	169	541660	541499	bs_ill_bs_contig13	contig_102	95.06		False
396	700	541591	541895	lm_ill_lm_contig12	contig_102	97.7		False
325	721	541499	541895	ef_ill_ef_contig17	contig_102	94.96		False
322	545	541673	541896	se_ill_se_contig42	contig_102	90.62		False
4288	4511	541896	541673	ec_ill_ec_contig65	contig_102	90.62		False
4903	5134	541905	541673	pa_ill_pa_contig44	contig_102	90.56		False
701	885	541897	542081	lm_ill_lm_contig12	contig_102	90.81		False
223	726	541591	542095	lf_ill_lf_contig82	contig_102	95.64		False
722	923	541897	542098	ef_ill_ef_contig17	contig_102	93.56		False
960	1053	542312	542405	se_ill_se_contig42	contig_102	96.81		False
3780	3873	542405	542312	ec_ill_ec_contig65	contig_102	96.81		False
4403	4500	542405	542308	pa_ill_pa_contig44	contig_102	96.94		False
1019	1366	542194	542541	ef_ill_ef_contig17	contig_102	95.11		False
965	1346	542161	542542	lm_ill_lm_contig12	contig_102	94.76		False
3436	3788	542548	542196	lf_ill_lf_contig57	contig_102	92.07		False
1367	1447	542562	542642	lm_ill_lm_contig12	contig_102	97.53		False
1	1068	541613	542680	bs_ill_bs_contig839	contig_102	93.74		False
1677	1863	542874	543060	lm_ill_lm_contig12	contig_102	90.91		False
2688	2883	543303	543108	lf_ill_lf_contig57	contig_102	93.37		False
1921	2135	543105	543319	ef_ill_ef_contig17	contig_102	95.35		False
1910	2127	543102	543319	lm_ill_lm_contig12	contig_102	91.74		False
105	553	542871	543319	bs_ill_bs_contig991	contig_102	91.31		False
2165	2233	543349	543417	ef_ill_ef_contig17	contig_102	95.65		False
2567	2643	543424	543348	lf_ill_lf_contig57	contig_102	90.91		False
2249	2365	543432	543548	ef_ill_ef_contig17	contig_102	92.31		False
2427	2596	543618	543787	lm_ill_lm_contig12	contig_102	92.35		False
611	720	543790	543681	bs_ill_bs_contig1146	contig_102	96.36		False
170	288	543790	543908	ef_ill_ef_contig25	contig_102	91.6		False
2081	2197	543909	543793	lf_ill_lf_contig57	contig_102	91.45		False
480	610	543923	543793	bs_ill_bs_contig1146	contig_102	94.66		False
2597	2730	543790	543923	lm_ill_lm_contig12	contig_102	93.28		False
1863	1977	544128	544014	lf_ill_lf_contig57	contig_102	91.3		False
2799	2936	543991	544128	lm_ill_lm_contig12	contig_102	93.48		False
386	504	544012	544130	ef_ill_ef_contig25	contig_102	96.64		False
