S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207318	310075	1	102755	ec_ill_ec_contig2	contig_33	100.0		True
local misassembly
310191	312944	102756	105509	ec_ill_ec_contig2	contig_33	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303862	105599	ec_ill_ec_contig4	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306834	303863	ec_ill_ec_contig65	contig_33	99.93		True
local misassembly
1	1463	308694	307232	ec_ill_ec_contig65	contig_33	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309061	346357	ec_ill_ec_contig39	contig_33	100.0		True
local misassembly [fragmentation of reference genome]
22	350	346453	346781	ec_ill_ec_contig104	contig_33	91.19		True
indel: indel (> 5bp)
384	502	346782	346900	ec_ill_ec_contig104	contig_33	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346973	392274	ec_ill_ec_contig15	contig_33	99.94		True
local misassembly
45064	105217	392289	452441	ec_ill_ec_contig15	contig_33	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452442	453673	ec_ill_ec_contig79	contig_33	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453674	514088	ec_ill_ec_contig31	contig_33	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514276	857496	ec_ill_ec_contig1	contig_33	100.0		True
local misassembly
343563	393863	857497	907795	ec_ill_ec_contig1	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980751	907796	ec_ill_ec_contig16	contig_33	100.0		True
local misassembly
1	31383	1012134	980752	ec_ill_ec_contig16	contig_33	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015162	1012136	ec_ill_ec_contig65	contig_33	99.93		True
local misassembly
1	1463	1017028	1015566	ec_ill_ec_contig65	contig_33	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058577	1017299	ec_ill_ec_contig37	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059497	1058578	ec_ill_ec_contig83	contig_33	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059498	1206990	ec_ill_ec_contig7	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206991	1208914	ec_ill_ec_contig73	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209476	1208915	ec_ill_ec_contig91	contig_33	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209477	1210121	ec_ill_ec_contig94	contig_33	98.91		True
fake: not a misassembly [fragmentation of reference genome]
