S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
62389	62604	1	216	sa_ill_sa_contig14	contig_7	100.0		True
local misassembly
62396	62502	266	372	sa_ill_sa_contig14	contig_7	98.6		True
translocation
203	3323	373	3493	sa_ill_sa_contig41	contig_7	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	3912	5511	sa_ill_sa_contig8	contig_7	99.36		True
translocation
19	34443	39934	5512	sa_ill_sa_contig24	contig_7	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	78706	39935	sa_ill_sa_contig22	contig_7	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	78707	79239	sa_ill_sa_contig63	contig_7	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	113589	79240	sa_ill_sa_contig25	contig_7	99.92		True
translocation
203	3323	113754	116876	sa_ill_sa_contig41	contig_7	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	117249	249210	sa_ill_sa_contig8	contig_7	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	249552	398974	sa_ill_sa_contig5	contig_7	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	399020	429916	sa_ill_sa_contig27	contig_7	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	429917	430722	sa_ill_sa_contig53	contig_7	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	433763	430841	sa_ill_sa_contig43	contig_7	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	447454	433764	sa_ill_sa_contig35	contig_7	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	448186	573845	sa_ill_sa_contig10	contig_7	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	573846	574510	sa_ill_sa_contig60	contig_7	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	576112	575629	sa_ill_sa_contig65	contig_7	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	596939	576113	sa_ill_sa_contig32	contig_7	99.99		True
translocation
1	130429	727248	596940	sa_ill_sa_contig9	contig_7	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	727249	731829	sa_ill_sa_contig40	contig_7	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	731830	737148	sa_ill_sa_contig38	contig_7	99.98		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	741729	737149	sa_ill_sa_contig40	contig_7	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	767903	741730	sa_ill_sa_contig29	contig_7	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	857	768269	769125	sa_ill_sa_contig54	contig_7	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	771326	769655	sa_ill_sa_contig46	contig_7	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	771327	814822	sa_ill_sa_contig18	contig_7	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	815355	814823	sa_ill_sa_contig63	contig_7	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	815356	958202	sa_ill_sa_contig6	contig_7	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	958356	979397	sa_ill_sa_contig31	contig_7	99.99		True
translocation
98057	98213	979398	979554	sa_ill_sa_contig11	contig_7	98.58		True
local misassembly
98340	98561	979555	979776	sa_ill_sa_contig11	contig_7	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1006371	979777	sa_ill_sa_contig12	contig_7	99.37		True
local misassembly
46	44268	1050585	1006372	sa_ill_sa_contig12	contig_7	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1050586	1101283	sa_ill_sa_contig17	contig_7	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1101284	1106277	sa_ill_sa_contig39	contig_7	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1106278	1120635	sa_ill_sa_contig33	contig_7	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1121346	1120636	sa_ill_sa_contig55	contig_7	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1128034	1121347	sa_ill_sa_contig37	contig_7	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1128060	1130899	sa_ill_sa_contig44	contig_7	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1132476	1130900	sa_ill_sa_contig47	contig_7	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1173563	1132502	sa_ill_sa_contig20	contig_7	99.94		True
translocation
1	1649	1175212	1173564	sa_ill_sa_contig8	contig_7	99.94		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1178719	1175600	sa_ill_sa_contig41	contig_7	99.84		True
translocation
38161	38352	1179002	1178812	sa_ill_sa_contig23	contig_7	95.31		True
local misassembly
38187	38352	1179255	1179090	sa_ill_sa_contig23	contig_7	98.8		True
local misassembly
1	38352	1217697	1179348	sa_ill_sa_contig23	contig_7	99.93		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1218088	1217837	sa_ill_sa_contig51	contig_7	94.44		True
translocation
1	1703	1219805	1218102	sa_ill_sa_contig8	contig_7	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	3323	1223453	1220135	sa_ill_sa_contig41	contig_7	99.88		True
translocation
1	1604	1225057	1223454	sa_ill_sa_contig8	contig_7	99.82		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1228475	1225354	sa_ill_sa_contig41	contig_7	99.81		True
translocation
1	56123	1284930	1228927	sa_ill_sa_contig15	contig_7	99.72		True
indel: indel (<= 5bp) [fragmentation of reference genome]
4	718	1284931	1285645	sa_ill_sa_contig58	contig_7	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3261	1288905	1285646	sa_ill_sa_contig42	contig_7	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	211909	1289105	1500984	sa_ill_sa_contig2	contig_7	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	207093	1500985	1707821	sa_ill_sa_contig3	contig_7	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	78138	1707834	1785830	sa_ill_sa_contig7	contig_7	99.79		True
local misassembly
78271	134302	1785831	1841834	sa_ill_sa_contig7	contig_7	99.89		True
fake: not a misassembly [fragmentation of reference genome]
21	50729	1892594	1841897	sa_ill_sa_contig16	contig_7	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	177172	2069728	1892595	sa_ill_sa_contig4	contig_7	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	41771	2069917	2111683	sa_ill_sa_contig19	contig_7	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
63108	66060	2114636	2111684	sa_ill_sa_contig13	contig_7	99.69		True
local misassembly
1	63338	2177946	2114637	sa_ill_sa_contig13	contig_7	99.9		True
translocation
124942	125431	2177947	2178435	sa_ill_sa_contig10	contig_7	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	720	2178436	2179155	sa_ill_sa_contig60	contig_7	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2180755	2180272	sa_ill_sa_contig65	contig_7	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	2404037	2180756	sa_ill_sa_contig1	contig_7	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	2404038	2405365	sa_ill_sa_contig48	contig_7	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	2503927	2405366	sa_ill_sa_contig11	contig_7	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	2503928	2511008	sa_ill_sa_contig36	contig_7	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	2532792	2511009	sa_ill_sa_contig30	contig_7	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	2532793	2533503	sa_ill_sa_contig55	contig_7	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	2547710	2533504	sa_ill_sa_contig34	contig_7	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	2547863	2580825	sa_ill_sa_contig26	contig_7	99.96		True
local misassembly [fragmentation of reference genome]
2	925	2581030	2581942	sa_ill_sa_contig51	contig_7	98.38		True
translocation
198	3323	2582495	2585620	sa_ill_sa_contig41	contig_7	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	2586042	2587645	sa_ill_sa_contig8	contig_7	99.71		True
translocation
1	28120	2587646	2615759	sa_ill_sa_contig28	contig_7	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	2615764	2655478	sa_ill_sa_contig21	contig_7	99.94		True
local misassembly [fragmentation of reference genome]
98092	98471	2655857	2655479	sa_ill_sa_contig11	contig_7	97.97		True
translocation
1	62389	2655858	2718048	sa_ill_sa_contig14	contig_7	99.67		True
CONTIG	contig_7	2718048	misassembled
497	1540	1404841	1405884	sa_ill_sa_contig41	contig_2	94.25		True
unknown
1867	2316	1406211	1406660	sa_ill_sa_contig41	contig_2	90.89		True
unknown
2615	2916	1406960	1407261	sa_ill_sa_contig41	contig_2	93.38		True
unknown
35	1591	1407819	1409373	sa_ill_sa_contig8	contig_2	92.03		True
unknown
497	1540	1697610	1698653	sa_ill_sa_contig41	contig_2	94.16		True
unknown
1867	2316	1698980	1699429	sa_ill_sa_contig41	contig_2	90.89		True
unknown
2615	2916	1699729	1700030	sa_ill_sa_contig41	contig_2	93.38		True
unknown
35	1591	1700588	1702142	sa_ill_sa_contig8	contig_2	92.03		True
unknown
497	1540	2151068	2152111	sa_ill_sa_contig41	contig_2	94.25		True
unknown
1867	2316	2152438	2152887	sa_ill_sa_contig41	contig_2	90.67		True
unknown
2615	2916	2153187	2153488	sa_ill_sa_contig41	contig_2	93.38		True
unknown
35	1591	2154046	2155600	sa_ill_sa_contig8	contig_2	91.9		True
unknown
497	3301	2156069	2158875	sa_ill_sa_contig41	contig_2	90.0		True
unknown
35	1591	2159047	2160601	sa_ill_sa_contig8	contig_2	91.9		True
unknown
497	1540	2161682	2162725	sa_ill_sa_contig41	contig_2	94.25		True
unknown
1867	2316	2163052	2163501	sa_ill_sa_contig41	contig_2	90.89		True
unknown
2615	2916	2163801	2164102	sa_ill_sa_contig41	contig_2	93.38		True
unknown
35	1591	2164660	2166214	sa_ill_sa_contig8	contig_2	91.9		True
unknown
497	1492	2226224	2227219	sa_ill_sa_contig41	contig_2	94.18		True
unknown
1867	2316	2227593	2228042	sa_ill_sa_contig41	contig_2	90.89		True
unknown
2615	2916	2228342	2228643	sa_ill_sa_contig41	contig_2	93.38		True
unknown
35	1591	2229201	2230755	sa_ill_sa_contig8	contig_2	92.03		True
unknown
497	3301	2232146	2234952	sa_ill_sa_contig41	contig_2	90.0		True
unknown
35	1591	2235124	2236678	sa_ill_sa_contig8	contig_2	92.03		True
unknown
497	3301	2292303	2295109	sa_ill_sa_contig41	contig_2	90.0		True
unknown
35	1591	2295458	2297012	sa_ill_sa_contig8	contig_2	91.96		True
unknown
497	1540	2312915	2313958	sa_ill_sa_contig41	contig_2	94.25		True
unknown
1867	2316	2314285	2314734	sa_ill_sa_contig41	contig_2	90.89		True
unknown
2615	2916	2315034	2315335	sa_ill_sa_contig41	contig_2	93.38		True
unknown
35	1591	2316070	2317624	sa_ill_sa_contig8	contig_2	92.03		True
unknown
35	1591	3391549	3389994	sa_ill_sa_contig8	contig_2	91.91		True
unknown
497	3301	3394527	3391721	sa_ill_sa_contig41	contig_2	90.0		True
unknown
788	861	3395658	3395585	sa_ill_sa_contig51	contig_2	97.3		True
unknown
691	765	3395740	3395666	sa_ill_sa_contig51	contig_2	97.33		True
unknown
589	679	3395838	3395748	sa_ill_sa_contig51	contig_2	90.11		True
unknown
492	565	3395912	3395839	sa_ill_sa_contig51	contig_2	93.24		True
unknown
CONTIG	contig_2	4045616	mis_unaligned
500	577	1	78	sa_ill_sa_contig41	contig_11	92.31		True
unknown
589	1151	90	652	sa_ill_sa_contig41	contig_11	93.25		True
unknown
1158	1540	659	1041	sa_ill_sa_contig41	contig_11	94.78		True
unknown
1559	1639	1061	1141	sa_ill_sa_contig41	contig_11	97.53		True
unknown
1871	2057	1371	1557	sa_ill_sa_contig41	contig_11	90.37		True
unknown
2099	2316	1604	1821	sa_ill_sa_contig41	contig_11	91.74		True
unknown
2614	2917	2121	2424	sa_ill_sa_contig41	contig_11	93.09		True
unknown
2985	3136	2493	2644	sa_ill_sa_contig41	contig_11	92.11		True
unknown
38	1590	3060	4610	sa_ill_sa_contig8	contig_11	90.82		True
unknown
497	577	598266	598346	sa_ill_sa_contig41	contig_11	92.59		True
unknown
589	1151	598358	598920	sa_ill_sa_contig41	contig_11	93.25		True
unknown
1158	1540	598927	599309	sa_ill_sa_contig41	contig_11	94.78		True
unknown
1559	1639	599329	599409	sa_ill_sa_contig41	contig_11	97.53		True
unknown
1871	2057	599639	599825	sa_ill_sa_contig41	contig_11	90.37		True
unknown
2099	2316	599872	600089	sa_ill_sa_contig41	contig_11	91.74		True
unknown
2614	2917	600389	600692	sa_ill_sa_contig41	contig_11	93.09		True
unknown
2985	3136	600761	600912	sa_ill_sa_contig41	contig_11	92.11		True
unknown
38	1590	601579	603129	sa_ill_sa_contig8	contig_11	90.82		True
unknown
20702	20898	1098571	1098375	sa_ill_sa_contig15	contig_11	90.86		True
unknown
20320	20490	1098953	1098783	sa_ill_sa_contig15	contig_11	90.64		True
unknown
38	1590	1147926	1146376	sa_ill_sa_contig8	contig_11	90.82		True
unknown
2985	3136	1148744	1148593	sa_ill_sa_contig41	contig_11	92.11		True
unknown
2614	2917	1149116	1148813	sa_ill_sa_contig41	contig_11	93.09		True
unknown
2099	2316	1149633	1149416	sa_ill_sa_contig41	contig_11	91.74		True
unknown
1871	2057	1149866	1149680	sa_ill_sa_contig41	contig_11	90.37		True
unknown
1559	1639	1150176	1150096	sa_ill_sa_contig41	contig_11	97.53		True
unknown
1158	1540	1150578	1150196	sa_ill_sa_contig41	contig_11	94.78		True
unknown
589	1151	1151147	1150585	sa_ill_sa_contig41	contig_11	93.25		True
unknown
497	577	1151239	1151159	sa_ill_sa_contig41	contig_11	92.59		True
unknown
38	1590	1385726	1384176	sa_ill_sa_contig8	contig_11	90.82		True
unknown
2985	3136	1386293	1386142	sa_ill_sa_contig41	contig_11	92.11		True
unknown
2614	2917	1386665	1386362	sa_ill_sa_contig41	contig_11	93.09		True
unknown
2099	2316	1387182	1386965	sa_ill_sa_contig41	contig_11	91.74		True
unknown
1871	2057	1387415	1387229	sa_ill_sa_contig41	contig_11	90.37		True
unknown
1559	1639	1387725	1387645	sa_ill_sa_contig41	contig_11	97.53		True
unknown
1158	1540	1388127	1387745	sa_ill_sa_contig41	contig_11	94.78		True
unknown
589	1151	1388696	1388134	sa_ill_sa_contig41	contig_11	93.25		True
unknown
497	577	1388788	1388708	sa_ill_sa_contig41	contig_11	92.59		True
unknown
38	1590	1391745	1390195	sa_ill_sa_contig8	contig_11	90.88		True
unknown
2985	3136	1392312	1392161	sa_ill_sa_contig41	contig_11	92.11		True
unknown
2614	2917	1392684	1392381	sa_ill_sa_contig41	contig_11	93.09		True
unknown
2099	2316	1393201	1392984	sa_ill_sa_contig41	contig_11	91.74		True
unknown
1871	2057	1393434	1393248	sa_ill_sa_contig41	contig_11	90.37		True
unknown
1559	1639	1393744	1393664	sa_ill_sa_contig41	contig_11	97.53		True
unknown
1158	1540	1394146	1393764	sa_ill_sa_contig41	contig_11	94.78		True
unknown
589	1151	1394715	1394153	sa_ill_sa_contig41	contig_11	93.25		True
unknown
497	577	1394807	1394727	sa_ill_sa_contig41	contig_11	92.59		True
unknown
492	565	2886061	2886134	sa_ill_sa_contig51	contig_11	95.95		True
unknown
691	768	2886261	2886338	sa_ill_sa_contig51	contig_11	97.44		True
unknown
787	862	2886356	2886431	sa_ill_sa_contig51	contig_11	100.0		True
unknown
497	577	2887382	2887462	sa_ill_sa_contig41	contig_11	92.59		True
unknown
589	1089	2887474	2887974	sa_ill_sa_contig41	contig_11	94.61		True
unknown
1158	1540	2888044	2888426	sa_ill_sa_contig41	contig_11	94.78		True
unknown
1559	1639	2888446	2888526	sa_ill_sa_contig41	contig_11	97.53		True
