Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 10000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 25000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 50000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Total length (>= 5000 bp)	24074745	24070729	24072155	24064354	24061185	24054036	24061588	24074631	24069339	24071923	24062244	24061038	24054829	24060476	24074724	24069480	24072032	24064645	24060108	24055808	24060952
Total length (>= 10000 bp)	24074745	24070729	24072155	24064354	24061185	24054036	24061588	24074631	24069339	24071923	24062244	24061038	24054829	24060476	24074724	24069480	24072032	24064645	24060108	24055808	24060952
Total length (>= 25000 bp)	24074745	24070729	24072155	24064354	24061185	24054036	24061588	24074631	24069339	24071923	24062244	24061038	24054829	24060476	24074724	24069480	24072032	24064645	24060108	24055808	24060952
Total length (>= 50000 bp)	24074745	24070729	24072155	24064354	24061185	24054036	24061588	24074631	24069339	24071923	24062244	24061038	24054829	24060476	24074724	24069480	24072032	24064645	24060108	24055808	24060952
# contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Largest contig	4765396	4765339	4765361	4765365	4764689	4764726	4763575	4765403	4765334	4765359	4765364	4764683	4764682	4763493	4765471	4765411	4765372	4765365	4764770	4764744	4763941
Total length	24074745	24070729	24072155	24064354	24061185	24054036	24061588	24074631	24069339	24071923	24062244	24061038	24054829	24060476	24074724	24069480	24072032	24064645	24060108	24055808	24060952
Reference length	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517	1805517
GC (%)	44.80	44.80	44.80	44.80	44.79	44.79	44.77	44.80	44.80	44.80	44.80	44.79	44.79	44.77	44.80	44.80	44.80	44.80	44.79	44.79	44.77
Reference GC (%)	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72	52.72
N50	4045595	4045615	4045602	4045598	4045293	4045319	4043044	4045596	4045616	4045587	4045593	4045258	4045323	4042479	4045596	4045613	4045582	4045587	4045248	4045358	4043002
NG50	4765396	4765339	4765361	4765365	4764689	4764726	4763575	4765403	4765334	4765359	4765364	4764683	4764682	4763493	4765471	4765411	4765372	4765365	4764770	4764744	4763941
N75	2845436	2845374	2845428	2845430	2845286	2845307	2843860	2845427	2845364	2845435	2845433	2845287	2845362	2843855	2845427	2845365	2845437	2845434	2845286	2845324	2843844
NG75	4765396	4765339	4765361	4765365	4764689	4764726	4763575	4765403	4765334	4765359	4765364	4764683	4764682	4763493	4765471	4765411	4765372	4765365	4764770	4764744	4763941
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	74	73	73	77	73	80	77	74	73	76	79	75	82	75	74	74	76	78	79	83	77
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	1947326	1946182	1945604	1937700	1935646	1928318	1945672	1947356	1945118	1945358	1936107	1935574	1929159	1945498	1947365	1944965	1945429	1938538	1934631	1930127	1945410
# local misassemblies	11	15	27	30	44	39	33	11	14	25	28	43	35	30	12	16	21	30	46	32	33
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
