S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200292	1	ec_ill_ec_contig2	contig_14	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200293	200783	ec_ill_ec_contig98	contig_14	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216169	200784	ec_ill_ec_contig54	contig_14	99.73		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216722	216237	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314108	216818	ec_ill_ec_contig19	contig_14	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314109	316633	ec_ill_ec_contig71	contig_14	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316849	317424	ec_ill_ec_contig95	contig_14	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317425	325117	ec_ill_ec_contig61	contig_14	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325572	325118	ec_ill_ec_contig101	contig_14	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352917	325573	ec_ill_ec_contig46	contig_14	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352918	353491	ec_ill_ec_contig96	contig_14	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353835	353492	ec_ill_ec_contig85	contig_14	93.66		True
translocation
1	1970	355805	353836	ec_ill_ec_contig74	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356779	355806	ec_ill_ec_contig82	contig_14	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356780	371156	ec_ill_ec_contig55	contig_14	99.97		True
translocation
1	384	371540	371157	ec_ill_ec_contig50	contig_14	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	372054	371660	ec_ill_ec_contig9	contig_14	97.18		True
translocation
1	18741	372055	390793	ec_ill_ec_contig51	contig_14	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391346	390861	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391442	423129	ec_ill_ec_contig42	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435997	423130	ec_ill_ec_contig57	contig_14	100.0		True
local misassembly [fragmentation of reference genome]
22	507	436093	436578	ec_ill_ec_contig104	contig_14	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535420	436646	ec_ill_ec_contig18	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536652	535421	ec_ill_ec_contig79	contig_14	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707949	536653	ec_ill_ec_contig3	contig_14	100.0		True
local misassembly
1	57666	765615	707950	ec_ill_ec_contig3	contig_14	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765616	766189	ec_ill_ec_contig96	contig_14	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766551	766190	ec_ill_ec_contig85	contig_14	94.88		True
translocation
56	550	767046	766552	ec_ill_ec_contig102	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767638	767047	ec_ill_ec_contig93	contig_14	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767639	768477	ec_ill_ec_contig88	contig_14	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
