S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207318	310075	1	102756	ec_ill_ec_contig2	contig_57	99.99		True
local misassembly
310191	312944	102757	105510	ec_ill_ec_contig2	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303858	105600	ec_ill_ec_contig4	contig_57	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306829	303859	ec_ill_ec_contig65	contig_57	99.9		True
local misassembly
1	1463	308689	307227	ec_ill_ec_contig65	contig_57	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309056	346355	ec_ill_ec_contig39	contig_57	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346451	346779	ec_ill_ec_contig104	contig_57	91.19		True
indel: indel (> 5bp)
384	502	346780	346898	ec_ill_ec_contig104	contig_57	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346971	392277	ec_ill_ec_contig15	contig_57	99.94		True
local misassembly
45064	105217	392292	452446	ec_ill_ec_contig15	contig_57	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452447	453678	ec_ill_ec_contig79	contig_57	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453679	514091	ec_ill_ec_contig31	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514279	857498	ec_ill_ec_contig1	contig_57	99.99		True
local misassembly
343563	393863	857499	907798	ec_ill_ec_contig1	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980759	907799	ec_ill_ec_contig16	contig_57	99.99		True
local misassembly
1	31383	1012141	980760	ec_ill_ec_contig16	contig_57	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015169	1012143	ec_ill_ec_contig65	contig_57	99.93		True
local misassembly
1	1463	1017036	1015573	ec_ill_ec_contig65	contig_57	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058584	1017307	ec_ill_ec_contig37	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059505	1058585	ec_ill_ec_contig83	contig_57	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059506	1207003	ec_ill_ec_contig7	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1207004	1208927	ec_ill_ec_contig73	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209489	1208928	ec_ill_ec_contig91	contig_57	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209490	1210134	ec_ill_ec_contig94	contig_57	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210388	1212116	ec_ill_ec_contig75	contig_57	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212565	1213050	ec_ill_ec_contig104	contig_57	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1221023	1213118	ec_ill_ec_contig60	contig_57	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222145	1221024	ec_ill_ec_contig80	contig_57	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93076	1222146	1315218	ec_ill_ec_contig20	contig_57	99.99		True
local misassembly
93043	93344	1315686	1315989	ec_ill_ec_contig20	contig_57	99.44		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1979	1315990	1317967	ec_ill_ec_contig73	contig_57	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1318529	1317968	ec_ill_ec_contig91	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1318530	1319155	ec_ill_ec_contig94	contig_57	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1319156	1391001	ec_ill_ec_contig25	contig_57	99.94		True
local misassembly [fragmentation of reference genome]
1	5324	1396434	1391109	ec_ill_ec_contig64	contig_57	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396717	1412787	ec_ill_ec_contig53	contig_57	99.98		True
translocation
